Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Intangible Assets Under Development,Capital Goods,Preference Share Capital,Equity Share Application Money,Government/Other Grants,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2015-03-31,80.0,80.0,1274.88,1274.88,0.0,1354.88,2.47,0.15,11.27,13.88,0.0,33.08,44.93,115.69,193.7,1562.46,287.18,19.99,4.0,311.18,307.35,11.55,21.06,1.34,652.48,461.98,254.21,91.25,51.26,51.29,909.98,1562.46,767.71,186.78,0.0,1129.82,3.27,65.62,224.76,100.0,464.82,1.3,0.0,0.0,24.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,80.0,80.0,1470.93,1470.93,0.0,1550.93,2.57,0.12,11.73,14.42,0.0,110.04,51.49,50.57,212.1,1777.44,281.12,14.89,1.38,297.38,265.33,8.44,17.15,87.01,675.32,482.76,381.51,53.0,114.14,70.72,1102.12,1777.44,731.37,266.27,0.0,1306.71,2.38,65.62,138.16,142.22,491.44,0.0,0.0,0.0,17.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,80.0,80.0,1734.41,1734.41,0.0,1814.41,2.17,0.0,13.95,27.19,0.0,117.09,48.37,52.43,217.89,2059.49,250.11,22.2,2.89,275.2,493.44,0.0,43.98,97.77,910.39,449.97,478.14,49.73,0.75,170.53,1149.11,2059.49,96.37,540.21,0.0,0.0,1611.5,65.62,223.32,270.13,449.97,0.0,11.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,80.0,80.0,1973.2,1973.2,0.0,2053.2,1.66,0.0,14.34,15.99,0.0,71.67,95.32,42.8,209.8,2279.0,232.39,11.75,0.73,245.61,550.49,3.17,94.58,10.14,903.99,591.63,342.51,118.19,0.45,322.23,1375.01,2279.0,97.32,485.85,0.0,0.0,1772.2,65.62,280.36,270.13,591.63,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,79.12,79.12,2142.07,2142.07,0.0,2221.19,1.2,0.0,15.85,17.04,0.0,101.91,82.32,66.41,250.64,2488.87,213.03,8.39,1.18,228.63,754.4,5.56,11.6,49.64,1049.82,329.55,242.99,521.93,0.66,343.92,1439.05,2488.87,947.05,628.1,0.0,0.0,2048.87,65.62,0.0,341.25,0.0,0.0,0.0,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,76.43,76.43,2192.96,2192.96,29.15,2298.54,0.71,19.13,18.28,38.11,0.0,97.25,168.63,59.04,324.92,2661.57,231.82,4.7,4.83,255.06,837.99,31.74,12.36,68.83,1205.97,516.48,288.31,293.8,0.48,356.54,1455.6,2661.57,998.6,524.12,0.0,0.0,1920.73,63.38,0.0,396.52,0.0,0.0,0.0,13.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,76.43,76.43,2641.98,2641.98,47.12,2765.52,0.55,30.47,24.09,55.12,0.0,93.84,246.24,114.56,454.64,3275.28,258.49,17.17,11.23,286.88,777.95,24.57,5.22,44.55,1139.18,637.5,296.63,824.97,4.93,372.07,2136.1,3275.28,1162.4,0.0,0.0,0.0,0.0,63.38,0.0,434.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,76.43,76.43,3127.98,3127.98,114.48,3318.89,0.37,61.18,24.55,86.1,0.19,85.5,226.58,226.97,539.25,3944.23,340.52,78.07,107.1,525.7,873.48,26.67,394.37,78.47,1898.69,434.69,442.68,660.17,0.0,508.0,2045.54,3944.23,2042.07,415.49,0.0,0.0,3427.29,63.38,286.33,585.55,0.0,434.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,76.43,76.43,3643.02,3643.02,222.2,3941.65,0.18,110.98,36.95,148.12,0.19,136.56,412.49,259.79,809.03,4898.8,607.26,80.93,15.63,703.82,1214.56,39.78,287.0,168.07,2413.22,187.97,1048.04,540.98,0.0,708.59,2485.58,4898.8,2004.39,474.96,0.0,0.0,3492.11,63.38,293.32,905.98,0.0,187.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,77.03,77.03,4478.86,4478.86,222.77,4778.65,0.0,96.86,53.12,149.98,0.19,268.78,650.66,203.74,1123.37,6052.0,529.68,74.58,32.67,636.92,1408.16,49.38,276.0,182.97,2553.43,262.31,1682.95,649.93,0.0,903.39,3498.58,6052.0,2558.45,854.8,0.0,0.0,4840.38,63.38,275.83,1108.6,0.0,262.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,77.93,77.93,5896.08,5896.08,0.0,5974.01,0.0,171.68,6.91,178.58,0.0,1019.26,569.11,264.1,1852.47,8005.06,791.15,116.97,3.81,911.93,1486.09,36.19,369.49,175.54,2979.23,333.5,1641.41,674.48,0.0,2376.45,5025.83,8005.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
