Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,544.88,544.88,290.59,14.03,159.49,80.77,40.97,121.75,1.07,120.68,0.0,120.68,30.72,89.96,89.96,76.43,0.0,11.77,11.77,0.0,0.0,0.0,0.0,0.0
2020-03-31,566.14,566.14,294.43,13.65,123.01,135.06,32.33,167.39,0.97,166.42,0.0,166.42,38.94,127.48,127.48,76.43,0.0,16.68,16.68,0.0,0.0,0.0,0.0,0.0
2020-06-30,556.14,556.14,305.73,13.18,108.18,129.05,29.38,158.43,0.88,157.55,0.0,157.55,36.07,121.48,121.48,76.43,0.0,15.89,15.89,0.0,0.0,0.0,0.0,0.0
2020-09-30,596.18,596.18,326.51,13.91,116.08,139.69,20.72,160.41,0.98,159.43,0.0,159.43,41.79,117.64,117.64,76.43,0.0,15.39,15.39,0.0,0.0,0.0,0.0,0.0
2020-12-31,642.63,642.63,369.96,14.04,129.39,129.25,32.54,161.79,0.84,160.95,0.0,160.95,35.04,125.9,125.9,76.43,0.0,16.47,16.47,0.0,0.0,0.0,0.0,0.0
2021-03-31,684.66,684.66,407.12,15.55,105.74,156.24,34.98,191.22,1.12,190.1,0.0,190.1,50.02,140.07,140.07,76.43,0.0,18.33,18.33,0.0,0.0,0.0,0.0,0.0
2021-06-30,764.83,764.83,477.88,16.27,82.32,188.37,34.47,222.84,1.85,220.99,0.0,220.99,54.89,166.1,166.1,76.43,0.0,21.73,21.73,0.0,0.0,0.0,0.0,0.0
2021-09-30,846.99,846.99,510.98,19.78,134.78,181.44,28.17,209.61,1.72,207.89,0.0,207.89,55.5,152.4,152.4,76.43,0.0,19.94,19.94,0.0,0.0,0.0,0.0,0.0
2021-12-31,928.65,928.65,577.0,21.87,134.77,195.0,30.73,225.74,1.59,224.15,0.0,224.15,51.26,172.89,172.89,76.43,0.0,22.62,22.62,0.0,0.0,0.0,0.0,0.0
2022-03-31,1035.01,1035.01,656.13,25.83,131.38,221.67,39.09,260.76,1.72,259.03,0.0,259.03,64.55,194.49,194.49,76.43,0.0,25.45,25.45,0.0,0.0,0.0,0.0,0.0
2022-06-30,1102.08,1102.08,695.53,28.45,168.79,209.31,23.78,233.08,1.99,231.1,0.0,231.1,56.22,174.88,174.88,76.43,0.0,22.88,22.88,0.0,0.0,0.0,0.0,0.0
2022-09-30,1224.77,1224.77,775.86,33.22,190.21,225.47,10.72,236.19,2.93,233.26,0.0,233.26,58.15,175.11,175.11,76.43,0.0,22.91,22.91,0.0,0.0,0.0,0.0,0.0
2022-12-31,1307.23,1307.23,883.9,34.17,142.56,246.6,28.3,274.9,3.53,271.37,-29.66,241.71,58.97,182.75,182.75,76.43,0.0,23.91,23.91,0.0,0.0,0.0,0.0,0.0
2023-03-31,1483.48,1483.48,935.28,38.65,171.78,337.78,11.08,348.85,4.65,344.21,0.0,344.21,85.81,258.4,258.4,76.43,0.0,33.81,33.81,0.0,0.0,0.0,0.0,0.0
2023-06-30,1544.53,1544.53,1010.82,39.27,196.19,298.25,28.95,327.2,4.18,323.02,0.0,323.02,79.47,243.55,243.55,76.93,0.0,31.67,31.67,0.0,0.0,0.0,0.0,0.0
2023-09-30,1669.37,1669.37,1123.01,40.42,173.34,332.6,60.73,393.33,4.36,388.96,0.0,388.96,90.57,298.39,298.39,76.93,0.0,38.79,38.79,0.0,0.0,0.0,0.0,0.0
2023-12-31,1669.41,1669.41,1142.98,41.28,172.26,312.89,39.63,352.52,4.39,348.13,0.0,348.13,88.37,259.77,259.77,76.93,0.0,33.77,33.77,0.0,0.0,0.0,0.0,0.0
2024-03-31,1630.9,1630.9,1156.52,41.4,207.69,225.29,35.18,260.47,4.06,256.42,0.0,256.42,72.46,183.96,183.96,77.03,0.0,11.95,11.95,0.0,0.0,0.0,0.0,0.0
2024-06-30,2691.4,2691.4,1973.89,35.85,397.04,284.62,63.13,347.75,7.47,340.28,0.0,340.28,92.34,247.94,247.94,77.03,0.0,16.11,16.11,0.0,0.0,0.0,0.0,0.0
2024-09-30,2847.41,2847.41,2050.86,41.12,383.26,372.17,49.95,422.12,13.06,409.06,0.0,409.06,123.1,285.96,285.96,77.93,0.0,18.46,18.46,0.0,0.0,0.0,0.0,0.0
2024-12-31,3001.67,3001.67,1266.47,52.15,1258.61,424.44,51.75,476.19,12.21,463.98,0.0,463.98,130.38,333.61,333.61,77.93,0.0,21.41,21.41,0.0,0.0,0.0,0.0,0.0
2025-03-31,3187.55,3187.55,1271.41,47.08,1510.56,358.5,16.0,374.5,14.73,359.77,0.0,359.77,72.13,287.64,287.64,77.93,0.0,18.46,18.46,0.0,0.0,0.0,0.0,0.0
