Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,521.05,12.86,533.91,154.93,83.07,-13.67,62.36,25.17,74.65,0.0,137.2,10.2,8.7,18.9,2.64,16.26,0.0,16.26,2.49,13.77,0.0,13.77,10.4,2.64,2.64,0.0,0.0,0.0,0.0,0.0
2016-03-31,679.24,17.24,696.48,163.38,175.11,7.73,57.44,31.99,49.27,0.0,149.39,62.17,5.3,67.47,1.43,66.04,0.0,66.04,18.33,47.71,0.0,47.71,10.4,9.18,9.18,0.0,0.0,0.0,0.0,0.0
2016-06-30,465.59,13.37,478.96,112.49,109.51,-5.77,78.4,22.91,32.29,0.0,110.28,18.85,11.98,30.83,2.02,28.81,0.0,28.81,6.43,22.38,0.0,22.38,10.4,4.3,4.3,0.0,0.0,0.0,0.0,0.0
2016-09-30,533.21,6.21,539.42,171.96,55.51,90.0,59.52,23.33,31.85,0.0,125.43,-18.18,13.68,-4.5,0.41,-4.91,0.0,-4.91,-1.77,-3.14,0.0,-3.14,10.4,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0
2016-12-31,435.12,6.85,441.97,195.4,110.98,-145.49,54.55,24.19,32.83,0.0,124.69,44.82,12.49,57.31,1.73,55.58,0.0,55.58,17.14,38.44,0.0,38.44,10.4,7.4,7.4,0.0,0.0,0.0,0.0,0.0
2017-03-31,760.96,8.69,769.65,157.09,230.15,58.36,45.15,23.87,34.82,0.0,141.71,78.5,4.95,83.45,-0.14,83.59,0.0,83.59,27.76,55.83,0.0,55.83,10.4,10.74,10.74,0.0,0.0,0.0,0.0,0.0
2017-06-30,491.94,6.21,498.15,171.96,55.51,48.73,59.52,23.33,31.85,0.0,125.43,-18.18,13.68,-4.5,0.41,-4.91,0.0,-4.91,-1.77,-3.14,0.0,-3.14,10.4,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0
2017-09-30,633.68,13.75,647.43,181.05,140.65,18.57,51.07,23.67,34.41,0.0,130.69,67.32,16.64,83.96,0.35,83.61,0.0,83.61,24.81,58.8,0.0,58.8,10.4,11.31,11.31,0.0,0.0,0.0,0.0,0.0
2017-12-31,572.38,9.56,581.94,181.19,103.09,-5.25,53.55,24.66,34.71,0.0,123.02,66.97,8.08,75.05,0.32,74.73,20.0,94.73,32.74,61.99,0.0,61.99,10.4,11.92,11.92,0.0,0.0,0.0,0.0,0.0
2018-03-31,541.88,1.41,543.29,137.13,92.2,25.13,46.38,23.99,30.43,0.0,141.44,46.59,14.7,61.29,0.43,60.86,0.0,60.86,17.75,43.11,0.0,43.11,10.4,8.29,8.29,0.0,0.0,0.0,0.0,0.0
