Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Borrowings,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2014-12-31,16.62,16.62,1088.89,1090.87,1107.49,1.52,32.9,49.82,0.0,216.06,42.0,18.82,276.88,1434.19,369.94,0.3,20.12,390.36,4.35,0.0,99.94,0.0,494.65,190.89,290.05,329.45,120.19,8.96,939.54,1434.19,62.78,241.41,39.43,5.12,5.12,1.18,4.52,0.0,4.35,1.98,0.0,15.4,17.33,312.69,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,16.62,16.62,1270.7,1272.62,1289.24,1.45,22.08,32.21,0.0,240.48,69.04,24.41,333.93,1655.38,345.64,0.08,51.88,397.6,0.0,0.0,128.32,0.0,525.92,220.25,336.44,470.41,85.31,17.05,1129.46,1655.38,99.06,269.47,41.51,6.4,297.3,2.37,4.52,0.0,0.0,1.92,0.0,8.68,14.32,288.86,36.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,16.62,16.62,1434.04,1435.9,1452.52,1.27,25.96,28.93,0.0,280.31,66.18,28.94,375.43,1856.88,386.13,0.04,24.13,410.3,0.0,0.0,141.67,0.0,551.97,273.99,331.81,640.55,39.08,19.48,1304.91,1856.88,51.99,253.91,48.8,8.53,294.73,1.47,4.52,0.0,0.0,1.86,0.0,1.7,21.51,366.66,37.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,16.62,16.62,2308.54,2308.54,2325.16,1.01,44.6,102.53,12.46,593.53,132.55,14.15,752.69,3180.38,743.72,0.5,53.45,797.67,0.0,16.67,1.0,114.24,929.58,600.64,640.18,893.77,3.0,113.21,2250.8,3180.38,131.15,1079.27,124.43,10.24,425.88,2.62,4.52,0.0,0.0,0.0,56.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,31.26,31.26,2674.87,2674.87,2706.13,0.99,38.36,44.22,52.87,787.8,146.55,29.8,1017.02,3767.37,730.38,0.32,161.72,892.42,0.0,32.49,0.0,178.73,1103.64,910.07,751.33,847.6,3.53,151.2,2663.73,3767.37,398.22,1527.02,99.69,14.49,463.57,0.62,4.52,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,31.26,31.26,2930.9,2930.9,2962.16,3.35,42.14,45.49,0.0,499.15,119.81,18.62,637.58,3645.23,894.34,0.25,166.25,1060.84,0.0,23.5,9.53,286.67,1380.54,720.49,631.94,835.36,7.84,69.06,2264.69,3645.23,316.09,1610.06,83.19,69.52,472.26,4.34,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,31.26,31.26,3109.03,3109.03,3140.29,58.97,40.29,99.26,0.0,768.66,117.59,25.63,911.88,4151.43,1005.69,0.15,160.41,1166.25,0.0,36.32,9.63,224.78,1436.98,713.63,691.72,1245.9,4.99,58.21,2714.45,4151.43,116.95,1392.89,74.37,81.1,396.17,5.57,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,31.26,31.26,3622.41,3622.41,3653.67,54.21,1.17,55.38,0.0,932.89,187.74,66.59,1187.22,4896.27,1068.48,1.22,89.23,1158.93,0.0,39.98,9.68,271.86,1480.45,1086.49,846.27,1415.67,3.62,63.77,3415.82,4896.27,167.89,2164.94,106.43,88.05,682.61,10.88,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,31.26,31.26,4254.64,4254.64,4285.9,49.35,1.2,50.55,0.0,1111.73,215.84,62.7,1390.27,5726.72,1122.14,0.57,249.34,1372.05,0.0,38.45,0.0,325.41,1735.91,1243.37,1032.41,1554.53,0.0,160.5,3990.81,5726.72,493.1,2470.38,129.83,185.38,1054.67,41.75,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-31,31.26,31.26,4784.1,4784.1,4815.36,51.53,4.48,56.01,0.0,1051.46,278.02,68.14,1397.62,6268.99,1279.45,0.83,490.77,1771.05,142.4,45.18,16.95,202.69,2178.27,1311.12,1049.23,1585.04,0.0,145.33,4090.72,6268.99,574.16,2712.43,141.0,278.04,936.49,31.92,4.52,0.0,142.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,31.26,31.26,5352.04,5352.04,5383.3,46.58,2.65,49.23,9.85,1118.73,259.39,77.62,1465.59,6898.12,1803.97,0.6,449.11,2253.68,142.4,40.5,70.0,181.69,2688.27,1454.13,1273.82,1349.49,0.0,132.41,4209.85,6898.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
