Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-09-30,247.15,0.0,247.15,0.0,-3.16,16.24,10.41,100.11,123.55,76.07,199.62,0.6,199.02,199.02,43.06,155.96,0.0,155.96,339.6,0.0,4.59,4.59,0.0,0.0,0.0,0.0,0.0
2017-12-31,263.51,0.0,263.51,0.0,-20.85,12.57,9.62,129.66,132.51,9.37,141.88,0.6,141.28,141.28,48.47,92.81,0.0,92.81,339.6,0.0,2.73,2.73,0.0,0.0,0.0,0.0,0.0
2018-03-31,261.37,0.0,261.37,0.0,-20.52,13.33,9.2,126.68,132.68,11.63,144.31,0.71,143.6,143.6,48.26,95.34,0.0,95.34,339.6,0.0,2.81,2.81,0.0,0.0,0.0,0.0,0.0
2018-06-30,479.23,0.0,479.23,0.0,29.55,16.06,8.27,161.52,263.83,78.15,341.98,3.64,338.34,338.34,92.29,246.05,0.0,246.05,363.6,0.0,7.19,7.19,0.0,0.0,0.0,0.0,0.0
2018-09-30,219.48,0.0,219.48,0.0,6.01,16.24,7.91,71.12,118.2,20.95,139.15,4.5,134.65,134.65,44.64,90.01,0.0,90.01,363.6,0.0,2.48,2.48,0.0,0.0,0.0,0.0,0.0
2018-12-31,149.8,0.0,149.8,0.0,-15.22,14.55,7.81,75.39,67.27,16.42,83.69,3.67,80.02,80.02,25.51,54.51,0.0,54.51,363.6,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0
2019-03-31,180.14,0.0,180.14,0.0,-19.04,15.31,7.52,95.87,80.48,14.11,94.59,2.73,91.86,91.86,28.75,63.11,0.0,63.11,363.6,0.0,1.74,1.74,0.0,0.0,0.0,0.0,0.0
2019-06-30,200.1,0.0,200.1,0.0,-2.05,15.01,7.54,85.6,94.0,14.65,108.65,4.41,104.24,104.24,33.14,71.1,0.0,71.1,363.6,0.0,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2019-09-30,126.65,0.0,126.65,0.0,-1001.4,14.73,7.74,1045.93,59.65,84.54,144.19,4.14,140.05,140.05,19.05,121.0,0.0,121.0,363.6,0.0,3.33,3.33,0.0,0.0,0.0,0.0,0.0
2019-12-31,179.42,0.0,179.42,0.0,-22.87,13.11,7.79,81.76,99.63,11.92,111.55,1.75,109.8,109.8,33.96,75.84,0.0,75.84,363.6,0.0,2.09,2.09,0.0,0.0,0.0,0.0,0.0
2020-03-31,113.48,0.0,113.48,0.0,-54.53,12.19,7.77,94.2,53.85,12.56,66.41,1.58,64.83,64.83,17.92,46.91,0.0,46.91,363.6,0.0,1.29,1.29,0.0,0.0,0.0,0.0,0.0
2020-06-30,63.41,0.0,63.41,39.69,-30.39,9.66,7.14,4.95,32.36,11.9,44.26,1.42,42.84,42.84,11.12,31.72,0.0,31.72,363.6,0.0,0.87,0.87,0.0,0.0,0.0,0.0,0.0
2020-09-30,167.49,0.0,167.49,0.0,-0.34,8.0,6.81,51.41,101.61,12.28,113.89,1.56,112.33,112.33,16.25,96.08,0.0,96.08,363.6,0.0,2.64,2.64,0.0,0.0,0.0,0.0,0.0
2020-12-31,320.49,0.0,320.49,0.0,42.51,12.44,6.88,63.57,195.09,13.08,208.17,3.61,204.56,204.56,24.07,180.49,0.0,180.49,363.6,0.0,4.96,4.96,0.0,0.0,0.0,0.0,0.0
2021-03-31,298.28,0.0,298.28,49.26,69.58,9.65,6.63,24.7,138.46,14.24,152.7,3.93,148.77,148.77,40.45,108.32,0.0,108.32,363.6,0.0,2.98,2.98,0.0,0.0,0.0,0.0,0.0
2021-06-30,98.62,0.0,98.62,31.25,-7.74,10.18,6.67,8.43,49.83,12.03,61.86,2.45,59.41,59.41,13.22,46.19,0.0,46.19,363.6,0.0,1.27,1.27,0.0,0.0,0.0,0.0,0.0
2021-09-30,378.29,0.0,378.29,200.87,-75.03,10.98,6.67,14.22,220.58,14.82,235.4,2.49,232.91,232.91,54.92,177.99,0.0,177.99,363.6,0.0,4.9,4.9,0.0,0.0,0.0,0.0,0.0
2021-12-31,297.3,0.0,297.3,344.0,-203.6,11.63,6.47,15.41,123.39,15.68,139.07,5.76,133.31,133.31,30.63,102.68,0.0,102.68,363.6,0.0,2.82,2.82,0.0,0.0,0.0,0.0,0.0
2022-03-31,238.27,0.0,238.27,0.0,-243.42,14.4,6.32,389.55,71.42,19.81,91.23,18.34,72.89,72.89,17.86,55.03,0.0,55.03,363.6,1715.83,1.51,1.51,0.0,0.0,0.0,0.0,0.0
2022-06-30,384.58,0.0,384.58,0.0,4.58,13.98,6.4,102.1,257.52,19.07,276.59,18.46,258.13,258.13,61.43,196.7,0.0,196.7,363.6,0.0,5.41,5.41,0.0,0.0,0.0,0.0,0.0
2022-09-30,128.91,0.0,128.91,0.0,-25.9,15.47,6.54,95.71,37.09,129.22,166.31,18.85,147.46,147.46,8.26,139.2,0.0,139.2,363.6,0.0,3.83,3.83,0.0,0.0,0.0,0.0,0.0
2022-12-31,374.02,0.0,374.02,0.0,-82.61,15.0,6.74,157.1,277.79,19.97,297.76,18.87,278.89,278.89,67.57,211.32,0.0,211.32,363.6,0.0,5.81,5.81,0.0,0.0,0.0,0.0,0.0
2023-03-31,532.58,0.0,532.58,0.0,-3973.29,14.97,6.41,4277.71,206.78,41.35,248.13,41.46,206.67,206.67,47.89,158.78,0.0,158.78,363.6,0.0,4.3,4.3,0.0,0.0,0.0,0.0,0.0
2023-06-30,327.02,0.0,327.02,0.0,40.58,18.84,8.29,73.89,185.42,24.23,209.65,50.04,159.61,159.61,38.89,120.72,0.0,120.72,363.6,0.0,3.32,3.32,0.0,0.0,0.0,0.0,0.0
2023-09-30,636.01,0.0,636.01,0.0,42.0,17.59,8.33,276.37,291.72,24.83,316.55,47.19,269.36,269.36,75.01,194.35,0.0,194.35,363.6,0.0,5.35,5.35,0.0,0.0,0.0,0.0,0.0
2023-12-31,366.57,0.0,366.57,0.0,-1387.35,21.3,8.26,1511.99,212.37,26.29,238.66,40.16,198.5,198.5,48.74,149.76,0.0,149.76,363.6,0.0,4.12,4.12,0.0,0.0,0.0,0.0,0.0
2024-03-31,1104.62,0.0,1104.62,0.0,244.78,25.53,13.47,181.95,638.89,238.16,877.05,44.18,832.87,832.87,146.82,686.05,0.0,686.05,363.6,13068.46,18.87,18.87,0.0,0.0,0.0,0.0,0.0
2024-06-30,1173.97,0.0,1173.97,0.0,189.74,23.48,20.1,312.91,627.74,36.88,664.62,57.86,606.76,606.76,147.48,459.28,0.0,459.28,363.6,0.0,12.63,12.63,0.0,0.0,0.0,0.0,0.0
2024-09-30,1009.56,0.0,1009.56,383.65,-88.76,25.23,20.75,40.75,627.94,37.75,665.69,51.16,614.53,614.53,150.68,463.85,0.0,463.85,363.6,0.0,12.76,12.76,0.0,0.0,0.0,0.0,0.0
2024-12-31,1276.69,0.0,1276.69,254.82,188.36,30.92,23.17,53.5,725.92,49.14,775.06,73.61,701.45,701.45,164.92,536.53,0.0,536.53,363.6,0.0,14.76,14.76,0.0,0.0,0.0,0.0,0.0
2025-03-31,911.76,0.0,911.76,0.0,-44.81,22.52,22.66,482.04,429.35,62.32,491.67,78.28,413.39,413.39,104.32,309.07,0.0,309.07,363.6,3298.29,8.5,8.5,0.0,0.0,0.0,0.0,0.0
