Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Raw Materials,Preference Share Capital
2016-03-31,339.3,339.3,3376.73,3376.73,3716.03,0.0,22.43,28.84,1.2,52.46,108.61,33.27,602.87,2.35,747.1,4515.6,846.13,2.5,10.92,0.0,0.0,859.56,318.31,0.0,0.0,1499.42,85.89,903.5,38.53,87.58,1890.54,10.14,3016.18,4515.6,767.29,0.0,2.19,14.23,0.0,59.35,286.07,318.31,11.23,74.68,321.55,8.1,0.0
2017-03-31,339.54,339.54,3770.6,3770.6,4110.13,0.0,23.93,49.4,1.36,74.69,99.5,28.46,349.68,1.51,479.15,4663.98,216.35,2.03,6.31,0.47,597.48,822.64,616.93,0.0,138.37,1577.94,78.59,1055.21,27.39,218.91,1319.49,386.46,3086.03,4663.98,0.0,0.0,0.07,13.3,0.0,57.45,286.07,616.93,0.0,78.59,0.0,13.6,0.0
2018-03-31,339.6,339.6,4122.3,4122.3,4461.9,678.64,22.25,63.2,1.35,765.44,196.23,51.05,329.75,0.4,577.42,5804.77,196.24,2.36,7.02,0.19,582.33,788.13,774.72,0.0,136.76,1699.62,0.0,1114.48,79.55,48.18,1858.4,1004.55,4105.15,5804.77,79.18,0.0,0.31,11.26,0.0,60.47,286.07,774.72,0.0,0.0,0.0,9.91,0.0
2019-03-31,363.6,363.6,5672.13,5672.13,6035.73,588.51,21.48,95.5,1.46,706.96,82.4,48.45,194.25,0.77,325.88,7068.57,184.54,1.65,24.09,0.93,566.33,777.53,737.89,0.0,149.12,1664.55,0.0,1100.25,23.69,277.46,2999.06,1003.56,5404.02,7068.57,85.59,0.0,0.63,18.63,0.0,59.73,286.07,737.89,0.0,0.0,0.0,0.55,0.0
2020-03-31,363.6,363.6,5912.9,5912.9,6276.5,0.0,22.97,83.3,1.6,107.87,962.64,27.6,219.3,1.72,1211.25,7595.62,196.18,1.85,63.51,0.52,551.2,813.26,713.29,0.0,547.2,2073.75,26.89,2168.91,17.72,44.04,3155.92,108.4,5521.87,7595.62,1231.94,0.07,1.74,24.64,0.0,52.97,286.07,713.29,26.89,0.0,0.0,0.0,0.0
2021-03-31,363.6,363.6,6329.29,6329.29,6692.9,27.33,20.3,119.34,1.05,168.03,746.92,20.97,360.92,0.7,1129.52,7990.44,198.66,1.97,301.35,0.15,529.38,1031.51,653.45,0.0,601.19,2286.15,29.38,1969.51,58.37,28.93,3349.03,269.08,5704.29,7990.44,1521.4,0.09,0.42,2.4,0.0,1.68,286.07,653.45,29.38,0.0,0.0,0.0,0.0
2022-03-31,363.6,363.6,6710.85,6710.85,7074.46,1662.11,4.11,135.09,1.07,1802.37,53.72,139.24,1119.58,58.42,1370.96,10247.79,190.45,2.37,1189.29,0.13,516.86,1899.1,687.42,0.0,556.45,3142.97,339.6,2499.3,56.83,198.79,3643.98,366.32,7104.82,10247.79,2269.76,0.15,0.05,12.81,0.0,5.84,286.07,687.42,339.6,0.0,0.0,0.0,0.0
2023-03-31,363.6,363.6,7303.85,7303.85,7667.46,2557.0,0.0,116.6,1.07,2674.68,2184.9,59.51,921.38,44.7,3210.49,13552.63,188.62,2.1,1718.83,0.0,501.03,2410.58,509.33,4.17,435.17,3359.25,152.3,6576.53,11.32,329.67,2720.21,403.35,10193.38,13552.63,2135.85,0.64,0.39,20.13,0.0,49.58,286.07,509.33,152.3,0.0,0.0,0.0,0.0
2024-03-31,363.6,363.6,12647.77,12647.77,13011.37,2073.63,0.0,255.6,1.76,2330.99,326.71,453.05,1916.72,46.98,2743.46,18085.81,216.19,1.59,1239.98,0.0,2834.12,4291.89,417.58,0.02,606.35,5315.83,347.74,9186.67,118.46,615.9,1292.01,1209.2,12769.98,18085.81,803.82,0.0,6.16,9.13,0.0,60.34,286.07,417.58,347.74,0.0,0.0,0.0,0.0
2025-03-31,363.6,363.6,14051.75,14051.75,14415.35,2894.85,20.33,494.15,2.12,3411.45,403.44,511.59,2021.95,4.07,2941.05,20767.85,3221.08,1.07,1201.16,0.0,0.0,4423.31,532.49,0.0,584.3,5540.1,1960.77,8927.16,102.21,828.01,1714.51,1695.09,15227.75,20767.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
