Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Short Term Loans And Advances,Equity Share Application Money,Capital Work-In-Progress,Long Term Borrowings,Short Term Borrowings,Inventories,Trade Receivables,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,111.29,111.29,5418.34,5418.34,5529.63,4.69,25.58,0.04,30.31,1.05,11.42,411.72,5971.66,24.84,0.0,24.84,0.0,52.4,5333.33,336.27,265.0,36.99,638.33,5971.66,357.57,0.0,0.0,0.0,96.76,28791.07,569.21,336.27,399.25,5029.33,226.76,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,111.29,111.29,5851.58,5851.58,5962.87,5.21,25.65,0.15,31.01,1.09,14.22,462.75,6456.63,24.63,0.0,24.63,0.0,0.0,5976.02,372.74,45.19,51.97,480.61,6456.63,393.38,0.01,0.0,0.0,96.76,33516.13,712.51,296.07,447.44,5799.77,151.62,10.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,111.29,111.29,6686.76,6686.76,6798.05,6.16,25.78,1.26,33.2,0.52,24.7,138.79,6970.04,24.42,0.0,24.42,0.0,0.0,5447.27,22.75,1421.46,65.98,1522.77,6970.04,0.0,0.0,0.0,0.0,96.76,37568.91,730.96,22.75,113.57,5285.62,137.23,12.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,111.29,111.29,7224.94,7224.94,7336.23,6.39,25.73,2.59,34.71,0.7,17.38,31.33,7402.27,24.02,0.0,24.02,0.0,0.0,5485.67,1807.9,5.83,102.82,1916.6,7402.27,0.0,1.3,0.0,0.0,96.76,58756.65,595.16,143.11,13.25,5282.58,179.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,111.29,111.29,10110.45,10110.45,10221.74,0.0,31.52,4.37,35.89,0.48,31.23,31.71,10289.34,23.86,191.13,214.99,188.49,38.98,442.46,9596.6,81.14,169.14,9846.88,10289.34,424.66,1.21,0.0,0.0,96.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,111.29,111.29,10878.13,10878.13,10989.42,0.0,14.93,5.52,20.45,1.12,34.52,35.64,11045.51,6.24,187.19,193.43,139.39,281.08,613.9,10294.86,10.01,126.74,10431.61,11045.51,420.5,207.23,0.0,180.7,96.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,111.29,111.29,10581.2,10581.2,10692.49,0.0,16.57,6.01,22.58,3.92,207.39,211.31,10926.38,175.18,183.87,359.05,45.17,35.94,440.16,10334.95,30.24,121.03,10486.22,10926.38,454.9,36.68,0.0,0.0,96.76,0.0,0.0,10334.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,111.29,111.29,13905.48,13905.48,14016.77,295.74,13.5,6.28,315.52,1.05,169.86,170.91,14503.2,146.99,180.55,327.54,0.0,25.17,352.71,14020.0,26.85,103.64,14150.49,14503.2,518.15,37.04,0.0,0.0,96.76,0.0,0.0,14020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,111.29,111.29,15276.57,15276.57,15387.86,510.28,13.69,2.78,526.75,3.83,150.47,154.3,16068.91,119.7,177.25,296.95,0.0,152.1,449.05,15492.46,28.19,99.21,15619.86,16068.91,620.88,39.62,0.0,0.0,96.76,0.0,0.0,15492.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,111.29,111.29,15553.98,15553.98,15665.27,504.71,13.76,3.79,522.26,1.59,131.5,133.09,16320.62,91.55,173.93,265.48,0.0,195.6,461.08,15724.39,34.02,101.13,15859.54,16320.62,563.36,45.61,0.0,0.0,96.76,0.0,0.0,15724.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,111.29,111.29,18723.67,18723.67,18834.96,716.64,38.81,4.56,760.01,2.64,103.76,106.4,19701.37,63.24,170.61,233.85,0.0,23.36,257.21,19288.9,47.42,107.84,19444.16,19701.37,527.3,52.82,0.0,0.0,96.76,0.0,0.0,19288.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
