Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Other Assets,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Share Capital Suspense,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,58.44,58.44,2075.87,2105.08,2163.51,844.58,290.03,0.0,13.53,1148.14,283.61,582.66,272.53,14.74,1153.55,4465.2,2741.56,18.44,121.38,2881.38,93.19,77.54,3.87,3055.98,25.03,631.16,545.18,74.64,131.77,1.44,1409.22,4465.2,785.13,207.02,975.35,8.86,1.93,0.0,93.19,25.14,0.0,29.2,0.0,1028.43,13.64,0.0,36.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,58.44,58.44,1586.48,2339.48,2397.92,1093.64,344.3,49.98,16.69,1504.6,183.08,421.37,350.06,10.87,965.38,4867.9,3031.79,103.04,118.15,3252.98,83.65,127.17,5.58,3469.38,94.22,637.59,478.55,65.16,120.3,2.7,1398.52,4867.9,311.65,114.58,960.34,7.34,1.93,0.0,83.65,91.55,4.22,753.0,0.0,875.78,24.08,3.16,38.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,58.44,58.44,2745.19,2745.19,2803.63,1341.09,246.88,0.0,18.57,1606.54,184.27,508.33,305.54,5.24,1003.38,5413.55,3209.6,94.26,130.22,3435.49,87.93,29.98,171.48,3724.88,160.6,579.97,371.68,329.69,9.12,237.61,1688.67,5413.55,614.14,75.18,1197.97,8.0,1.94,0.0,87.93,0.0,160.6,0.0,1.41,843.16,21.89,33.14,74.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,58.44,58.44,3086.41,3086.41,3144.85,960.0,264.91,5.38,22.25,1252.54,349.28,645.31,570.7,5.13,1570.42,5967.81,3534.79,82.16,271.83,3888.78,108.72,42.03,152.94,4192.47,170.76,727.48,514.59,56.38,12.05,294.08,1775.34,5967.81,774.13,1770.1,0.0,1296.97,1.94,0.0,108.72,0.0,170.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,58.44,58.44,3391.23,3391.23,3449.67,1504.57,255.5,14.4,24.87,1799.34,666.37,804.87,549.97,3.79,2025.0,7274.01,4228.29,114.14,556.93,4899.36,83.72,30.51,197.68,5211.27,121.7,827.62,491.41,77.39,12.67,531.95,2062.74,7274.01,621.49,1789.88,0.0,1442.2,1.94,0.0,83.72,0.0,121.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,58.5,58.5,3860.14,3860.14,3918.64,1694.92,302.23,2.08,26.89,2026.12,1042.83,1092.15,587.42,5.14,2727.54,8672.3,4735.7,110.27,692.07,5538.04,83.71,34.05,214.92,5870.72,100.49,1099.11,856.15,172.13,7.33,566.37,2801.58,8672.3,277.41,2224.79,0.0,2250.11,1.94,0.0,83.71,0.0,100.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,58.5,58.5,4625.75,4625.75,4684.25,1117.43,124.42,96.85,33.28,1371.98,804.8,957.44,995.47,5.64,2763.35,8819.58,5531.22,117.08,345.88,5994.18,87.76,43.89,78.85,6204.68,198.5,1110.32,768.71,107.29,8.41,421.67,2614.9,8819.58,237.41,1808.14,0.0,2645.08,1.94,0.0,87.76,0.0,198.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,60.26,60.26,6235.01,6235.01,6295.27,1422.24,326.46,64.37,38.23,1851.3,762.26,1196.49,598.98,7.0,2564.73,10711.3,5785.08,110.5,436.13,6331.71,87.76,382.61,251.8,7053.88,412.52,1286.7,1012.0,230.43,283.67,432.1,3657.42,10711.3,769.96,1686.7,0.0,3325.05,1.94,0.0,87.76,215.36,197.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,297.44,297.44,7327.36,7327.36,7624.8,1189.73,613.04,248.71,44.86,2096.34,1585.17,1340.37,286.12,5.42,3217.08,12938.22,6005.85,108.13,1617.04,7731.02,92.82,410.05,369.32,8603.21,316.74,1750.88,1350.99,328.51,178.42,409.47,4335.01,12938.22,973.63,3114.78,0.0,4614.26,238.92,0.0,92.82,194.88,121.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,297.44,297.44,8956.11,8956.11,9253.55,1726.53,749.34,285.2,51.84,2812.91,1312.73,1649.17,516.77,6.28,3484.95,15551.41,7568.12,106.08,2128.95,9803.15,92.82,291.35,360.62,10547.94,490.05,1848.67,1436.38,535.73,243.35,449.29,5003.47,15551.41,889.61,3487.15,0.0,6035.65,238.92,0.0,92.82,136.32,353.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,297.44,297.44,10216.27,10216.27,10513.71,1662.06,880.28,205.3,60.96,2808.6,1949.45,1567.81,517.8,7.27,4042.33,17364.64,10326.79,111.76,744.79,11183.34,629.77,50.04,511.56,12374.71,405.58,1901.01,1538.0,369.98,322.05,453.31,4989.93,17364.64,675.17,2712.75,0.0,4845.64,238.92,116.18,213.77,84.44,321.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
