Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Employees Stock Options,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,66.81,2.0,68.81,2262.59,2269.64,2338.45,0.0,1047.88,14.9,0.0,1332.73,1520.17,5458.94,1646.68,13.4,8639.2,12310.38,2492.37,3.79,143.36,0.0,2639.51,323.34,0.0,96.98,0.17,3060.0,11.06,3445.68,4566.94,378.96,710.1,137.65,9250.37,12310.38,1697.69,102.27,0.54,3598.76,1244.91,34.54,215.98,11.36,0.06,7.05,0.0,269.95,6864.48,3.18,1229.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,66.81,2.0,68.81,2131.76,2138.81,2207.62,0.0,699.62,203.95,0.0,1161.58,2548.33,6182.31,1734.19,35.15,10499.98,13869.18,2377.6,2.93,100.17,0.0,2480.7,281.83,0.0,135.24,0.26,2898.03,0.47,3059.46,5987.01,524.03,1272.35,127.83,10971.16,13869.18,4452.16,41.79,0.0,3359.6,1218.54,24.98,174.48,0.84,0.07,7.05,0.0,258.0,10448.41,4.33,1206.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,65.29,2.0,67.29,2408.11,2408.11,2477.41,0.0,60.38,100.06,2.33,978.08,4415.91,5983.67,2587.0,12.07,12998.66,16452.15,4119.1,1517.71,42.02,0.0,5678.83,144.81,0.0,73.33,117.3,6014.27,0.9,2358.15,6376.82,141.03,98.0,1462.96,10437.87,16452.15,1857.07,12112.03,0.0,0.0,3885.96,21.32,170.96,0.83,0.07,0.0,0.0,815.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,65.29,2.0,67.29,957.31,957.31,1025.71,0.0,58.62,7.99,0.0,511.97,4555.92,5180.7,1973.13,8.5,11718.25,13255.93,3985.14,1516.95,29.16,0.0,5531.26,87.78,0.0,65.59,124.31,5808.94,1.09,1238.86,5075.28,143.56,11.19,977.01,7446.99,13255.93,1527.05,5155.04,0.0,0.0,1376.96,14.01,82.41,0.08,0.08,0.0,1.1,445.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,65.29,2.0,67.29,-4613.89,-4613.89,-4546.59,0.0,55.76,6.06,0.0,61.82,6592.1,2907.92,2697.76,7.56,12205.34,7720.57,3841.68,1516.34,28.12,0.0,5386.14,34.71,0.0,39.13,115.8,5575.78,15.8,1191.06,249.61,176.43,5.59,506.29,2144.79,7720.57,1223.66,3167.27,0.0,0.0,697.82,14.18,20.54,1.11,14.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,65.29,2.0,67.29,-4543.49,-4543.49,-4476.2,0.0,14.07,5.53,6.81,26.41,7279.8,2235.38,2869.71,1.76,12386.65,7936.86,3708.08,1515.89,26.91,0.0,5250.89,14.51,0.0,35.3,100.53,5401.22,16.79,1260.85,262.24,430.04,1.13,564.6,2535.65,7936.86,1249.13,2793.96,0.0,0.0,463.73,9.46,5.04,1.21,15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,59.15,450.0,509.15,3311.75,3311.75,3820.9,0.0,2503.83,311.54,8.99,2824.36,630.3,172.01,418.94,1.11,1222.35,7867.61,3554.15,1515.85,25.2,0.0,5095.21,7.38,0.0,35.55,120.77,5258.9,12.81,1354.61,273.99,455.26,1.2,510.83,2608.71,7867.61,35.93,3205.45,0.0,0.0,241.37,5.83,1.54,0.93,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,59.15,450.0,509.15,4003.26,4003.26,4512.41,0.0,2429.85,326.08,9.24,2765.17,610.25,660.57,459.14,1.28,1731.24,9008.82,3438.59,1515.86,26.83,0.0,4981.28,18.63,166.37,34.47,119.97,5320.71,11.76,2363.36,438.42,386.69,1.12,486.74,3688.11,9008.82,86.97,4306.51,0.0,0.0,323.06,17.09,1.54,0.0,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,59.15,450.0,509.15,4821.88,4821.88,5331.04,1289.8,2255.54,337.26,11.23,2604.03,989.61,898.23,365.94,1.56,2255.34,11480.21,3370.87,1529.54,27.97,0.0,4928.38,29.21,39.27,0.0,127.91,5124.78,12.49,2905.33,796.22,2016.29,0.0,625.11,6355.43,11480.21,350.15,8249.8,0.0,0.0,243.3,27.67,1.54,0.0,12.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,72.38,78.13,150.51,9774.18,9774.18,9924.69,0.0,0.0,101.02,14.22,115.24,1375.51,1338.08,487.99,2.08,3203.65,13243.59,3583.03,1565.06,79.59,0.0,5227.69,19.9,53.28,0.0,114.27,5415.14,17.63,4069.98,1597.64,1140.52,0.0,1002.68,7828.45,13243.59,368.58,13914.88,0.0,0.0,476.82,18.36,1.55,5.36,12.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,72.38,0.0,72.38,10132.93,10132.93,10205.31,0.0,0.0,11.07,17.63,28.7,1047.54,1588.37,388.41,3.74,3028.06,13262.07,3409.34,1553.51,100.5,0.89,5064.24,28.68,86.03,0.0,308.81,5487.75,1012.45,3767.79,1434.36,833.58,0.0,726.14,7774.32,13262.07,763.69,12753.62,0.0,0.0,282.67,27.13,1.55,1.58,1010.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
