Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-12-31,4465.32,0.0,4465.32,3891.44,142.5,-196.2,33.41,33.47,2.5,250.24,307.96,10.27,318.24,90.79,227.44,0.0,227.44,0.0,227.44,227.44,59.15,7.69,7.69,0.0,0.0,0.0,0.0,0.0
2021-03-31,4838.51,0.0,4838.51,4237.94,167.23,-166.34,37.58,32.89,-0.83,313.32,216.71,21.0,237.71,89.74,147.96,0.0,147.96,-166.37,314.33,314.33,59.15,10.63,10.63,0.0,0.0,0.0,0.0,0.0
2021-06-30,5266.16,0.0,5266.16,4289.61,331.59,25.91,40.81,32.7,0.0,247.21,298.34,29.83,328.17,89.55,238.62,0.0,238.62,65.08,173.53,173.53,59.15,5.87,5.87,0.0,0.0,0.0,0.0,0.0
2021-09-30,5995.03,0.0,5995.03,4572.19,586.61,115.51,46.87,33.68,0.0,344.14,296.02,15.96,311.99,91.52,220.47,0.0,220.47,56.2,164.27,164.27,59.15,5.55,5.55,0.0,0.0,0.0,0.0,0.0
2021-12-31,6280.46,0.0,6280.46,5091.86,580.44,-220.25,48.7,33.14,0.0,359.55,387.02,20.74,407.76,88.15,319.61,0.0,319.61,85.53,234.07,234.07,59.15,7.91,7.91,0.0,0.0,0.0,0.0,0.0
2022-03-31,6663.72,0.0,6663.72,5427.93,613.3,-246.58,49.43,37.21,0.0,413.57,368.87,12.47,381.34,85.65,295.69,0.0,295.69,61.26,234.43,234.43,59.15,7.93,7.93,0.0,0.0,0.0,0.0,0.0
2022-06-30,7210.97,0.0,7210.97,5745.42,839.97,-184.12,57.56,32.75,0.0,360.46,358.94,159.11,518.05,185.58,332.47,0.0,332.47,91.21,241.26,241.26,72.38,6.72,6.72,0.0,0.0,0.0,0.0,0.0
2022-09-30,8514.12,0.0,8514.12,6711.57,818.46,254.99,70.43,40.8,0.0,464.08,153.8,10.55,164.35,10.72,153.63,0.0,153.63,41.35,112.29,112.29,72.38,3.12,3.12,0.0,0.0,0.0,0.0,0.0
2022-12-31,7926.64,0.0,7926.64,6472.37,797.08,-321.6,72.79,42.75,0.0,537.96,325.29,37.11,362.4,18.94,343.47,0.0,343.47,74.28,269.19,269.19,72.38,7.46,7.46,0.0,0.0,0.0,0.0,0.0
2023-03-31,7872.92,0.0,7872.92,6157.24,831.36,-48.48,77.1,43.33,0.0,529.39,282.98,90.03,373.01,23.62,349.39,0.0,349.39,85.68,263.71,263.71,72.38,7.3,7.3,0.0,0.0,0.0,0.0,0.0
2023-06-30,7767.1,0.0,7767.1,5411.56,1569.21,-46.35,77.24,67.66,0.0,586.86,100.92,43.4,144.33,24.82,119.5,0.0,119.5,31.75,87.75,87.75,72.38,2.42,2.42,0.0,0.0,0.0,0.0,0.0
2023-09-30,7821.89,0.0,7821.89,5145.25,1646.25,33.03,90.61,60.1,0.0,511.45,335.19,23.9,359.1,24.02,335.08,0.0,335.08,80.54,254.54,254.54,72.38,7.03,7.03,0.0,0.0,0.0,0.0,0.0
2023-12-31,7910.7,0.0,7910.7,4956.98,2182.91,-234.02,85.36,59.7,0.0,575.44,284.34,46.6,330.94,25.15,305.79,0.0,305.79,89.25,216.54,216.54,72.38,5.98,5.98,0.0,0.0,0.0,0.0,0.0
2024-03-31,8221.66,0.0,8221.66,4162.42,2719.96,258.73,100.9,81.36,0.0,609.03,289.26,126.37,415.62,115.9,299.72,0.0,299.72,93.4,206.32,206.32,72.38,5.7,5.7,0.0,0.0,0.0,0.0,0.0
2024-06-30,7173.06,0.0,7173.06,4290.11,2045.14,-149.9,117.28,56.96,0.0,464.66,348.81,29.3,378.11,18.96,359.15,0.0,359.15,96.25,262.9,262.9,72.38,7.26,7.26,0.0,0.0,0.0,0.0,0.0
2024-09-30,8154.19,0.0,8154.19,4703.55,1997.96,204.21,130.11,56.45,0.0,668.84,393.07,44.34,437.41,20.13,417.28,0.0,417.28,108.31,308.97,308.97,72.38,8.54,8.54,0.0,0.0,0.0,0.0,0.0
2024-12-31,9103.13,0.0,9103.13,5981.5,2617.37,-937.08,144.06,69.71,0.0,756.7,470.88,40.65,511.53,20.29,491.25,0.0,491.25,120.32,370.93,370.93,72.38,10.25,10.25,0.0,0.0,0.0,0.0,0.0
2025-03-31,9692.21,0.0,9692.21,6122.58,2275.01,-309.26,161.29,85.27,0.0,926.22,431.08,52.53,483.6,25.12,458.49,0.0,458.49,99.95,358.54,358.54,72.42,9.91,9.91,0.0,0.0,0.0,0.0,0.0
