Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,3359.53,28.14,3387.67,3507.62,0.0,-1248.97,0.0,65.48,166.37,0.0,366.02,531.15,58.95,590.1,575.24,14.86,0.0,14.86,5.14,9.72,9.72,1377.33,0.07,0.07,85.66,62.19,0.13,0.24,0.09
2015-09-30,3167.91,41.93,3209.84,3136.0,0.0,-928.4,0.0,71.07,158.47,0.0,429.75,342.95,25.69,368.64,595.99,-227.35,0.0,-227.35,14.85,-242.2,-242.2,1377.33,-1.76,-1.76,86.44,62.76,0.13,0.25,0.09
2015-12-31,3264.05,30.52,3294.57,2152.75,0.0,1317.32,0.0,60.68,163.1,0.0,590.32,-989.6,16.17,-973.43,664.86,-1638.29,0.0,-1638.29,0.0,-1638.29,-1638.29,1377.33,-11.89,-11.89,86.54,62.83,3.08,6.01,2.23
2016-03-31,1839.02,21.29,1860.31,319.69,0.0,1436.59,0.0,59.91,147.41,2757.08,204.71,-3065.08,-13.83,-3078.91,689.36,-3768.27,0.0,-3768.27,-1916.24,-1852.03,-1852.03,1377.33,-13.45,-13.45,86.74,62.98,2.97,5.82,2.16
2016-06-30,1788.96,21.79,1810.75,1445.26,0.0,22.44,0.0,62.25,312.51,0.0,822.19,-853.9,46.59,-807.31,912.42,-1719.73,0.0,-1719.73,-507.69,-1212.04,-1212.04,1357.87,-8.93,-8.93,0.0,0.0,0.0,0.0,0.0
2016-09-30,1963.61,22.81,1986.42,1671.4,0.0,-45.97,0.0,72.08,204.45,62.41,424.72,-402.67,33.77,-368.9,689.02,-1057.92,0.0,-1057.92,-530.21,-527.71,-527.71,1357.87,-3.88,-3.88,0.0,0.0,0.0,0.0,0.0
2016-12-31,2096.36,16.59,2112.95,1777.47,0.0,50.61,0.0,69.99,203.82,305.0,311.0,-604.94,37.41,-567.53,856.07,-1423.6,0.0,-1423.6,-566.84,-856.76,-856.76,1357.87,-6.31,-6.31,0.0,0.0,0.0,0.0,0.0
2017-03-31,2415.94,0.0,2415.94,2564.57,0.0,65.47,0.0,78.94,-208.16,270.87,299.88,-655.63,47.92,-607.71,816.01,-1423.72,0.0,-1423.72,-518.8,-904.92,-904.92,1357.87,-6.67,-6.67,0.0,0.0,0.0,0.0,0.0
2017-06-30,2744.88,0.0,2744.88,3496.25,0.0,-4.13,0.0,68.49,134.01,4671.09,228.62,-5849.45,48.41,-5801.04,837.46,-6638.5,0.0,-6638.5,0.0,-6638.5,-6638.5,1357.87,-48.89,-48.89,0.0,0.0,0.0,0.0,0.0
2017-09-30,794.58,0.0,794.58,541.05,0.0,-67.77,0.0,73.33,126.55,3500.34,222.48,-3601.4,57.1,-3544.3,1965.59,-5509.89,0.0,-5509.89,-2.61,-5507.28,-5507.28,1357.87,-40.56,-40.56,0.0,0.0,0.0,0.0,0.0
2017-12-31,952.35,0.0,952.35,597.34,0.0,76.51,0.0,70.09,126.88,3721.51,291.72,-3931.7,24.45,-3907.25,838.08,-4745.33,0.0,-4745.33,0.0,-4745.33,-4745.33,1357.87,-34.95,-34.95,0.0,0.0,0.0,0.0,0.0
2018-03-31,841.81,0.0,841.81,552.79,0.0,-30.83,0.0,63.76,140.37,253.77,237.25,-375.3,106.35,-268.95,1041.74,-1310.69,0.0,-1310.69,13.8,-1324.49,-1324.49,1368.63,-9.75,-9.75,0.0,0.0,0.0,0.0,0.0
2018-06-30,786.5,0.0,786.5,521.76,0.0,7.61,0.0,65.07,133.15,0.0,211.97,-153.06,1.67,-151.39,1046.23,-1197.62,0.0,-1197.62,0.0,-1197.62,-1197.62,1368.63,-8.81,-8.81,0.0,0.0,0.0,0.0,0.0
2018-09-30,896.06,0.0,896.06,560.41,0.0,41.36,0.0,61.27,130.41,1.73,317.62,-216.74,1.65,-215.09,1151.62,-1366.71,0.0,-1366.71,0.0,-1366.71,-1366.71,1368.63,-10.05,-10.05,0.0,0.0,0.0,0.0,0.0
2018-12-31,675.68,0.0,675.68,506.1,0.0,4.27,0.0,61.68,136.87,0.22,210.15,-243.61,75.44,-168.17,1091.22,-1259.39,0.0,-1259.39,0.0,-1259.39,-1259.39,1368.63,-9.26,-9.26,0.0,0.0,0.0,0.0,0.0
2019-03-31,770.52,0.0,770.52,517.5,0.0,-7.73,0.0,64.94,132.74,26.87,153.08,-116.88,45.55,-71.33,868.93,-940.26,7045.19,6104.93,-0.91,6105.84,6105.84,1368.64,44.9,44.9,0.0,0.0,0.0,0.0,0.0
2019-06-30,817.38,0.0,817.38,532.35,0.0,3.68,0.0,56.25,139.44,-5.25,210.09,-119.18,65.19,-53.99,12.94,-66.93,0.0,-66.93,0.0,-66.93,-66.93,1368.64,-0.49,-0.49,0.0,0.0,0.0,0.0,0.0
2019-09-30,811.06,0.0,811.06,547.74,0.0,-46.11,0.0,67.62,135.87,0.0,248.39,-142.45,1.08,-141.37,11.91,-153.28,0.0,-153.28,0.0,-153.28,-153.28,1368.64,-1.13,-1.13,0.0,0.0,0.0,0.0,0.0
2019-12-31,824.87,0.0,824.87,517.55,0.0,23.64,0.0,65.79,136.42,0.0,255.85,-174.38,2.63,-171.75,17.71,-189.46,0.0,-189.46,0.0,-189.46,-189.46,1368.64,-1.38,-1.38,0.0,0.0,0.0,0.0,0.0
2020-03-31,713.04,0.0,713.04,469.24,0.0,5.97,0.0,67.33,117.72,0.0,433.48,-380.7,16.19,-364.51,56.01,-420.52,2052.55,1632.03,-0.73,1632.76,1632.76,221.08,2.82,1.03,0.0,0.0,0.0,0.0,0.0
2020-06-30,345.46,0.0,345.46,154.29,0.0,-45.42,0.0,62.8,132.01,261.59,243.2,-463.01,4.16,-458.85,115.74,-574.59,-8262.87,-8837.46,1355.33,-10192.79,-10192.79,221.08,-46.11,-21.64,0.0,0.0,0.0,0.0,0.0
2020-09-30,787.84,0.0,787.84,503.9,0.0,-78.27,0.0,65.29,54.07,346.79,242.23,-346.17,2.0,-344.17,126.43,-470.6,5023.12,4552.52,109.58,4442.94,4442.94,496.54,15.81,8.39,0.0,0.0,0.0,0.0,0.0
2020-12-31,1174.65,0.0,1174.65,677.97,0.0,-26.11,146.53,85.56,52.99,0.0,150.78,86.93,6.82,93.75,122.5,-28.75,0.0,-28.75,0.0,-28.75,-28.75,496.54,-0.06,-0.06,0.0,0.0,0.0,0.0,0.0
2021-03-31,1446.41,0.0,1446.41,1066.92,0.0,-194.6,174.21,98.76,46.37,0.0,266.09,-11.34,8.68,-2.66,115.52,-118.18,0.0,-118.18,-41.8,-76.38,-76.38,496.53,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0
2021-06-30,1223.07,0.0,1223.07,872.66,0.0,-112.01,156.54,87.71,82.49,0.0,119.96,15.72,5.32,21.04,113.48,-92.44,0.0,-92.44,0.0,-92.44,-92.44,496.53,-0.19,-0.19,0.0,0.0,0.0,0.0,0.0
2021-09-30,1873.45,0.0,1873.45,1293.12,0.0,20.24,198.97,96.11,83.08,1.93,145.54,34.46,5.53,39.99,114.51,-74.52,0.0,-74.52,0.0,-74.52,-74.52,496.53,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0
2021-12-31,2089.01,0.0,2089.01,1461.0,0.0,-32.68,0.0,98.99,83.54,0.0,359.54,118.62,12.29,130.91,118.85,12.06,0.0,12.06,0.0,12.06,12.06,496.53,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2022-03-31,1965.37,0.0,1965.37,1450.55,0.0,-135.31,0.0,112.11,83.88,0.0,384.65,69.49,17.19,86.68,115.95,-29.27,0.0,-29.27,0.0,-29.27,-29.27,496.53,-0.06,-0.06,0.0,0.0,0.0,0.0,0.0
2022-06-30,1915.76,0.0,1915.76,1381.91,0.0,9.45,221.64,110.84,89.21,1.82,149.0,-48.11,19.67,-28.44,114.01,-142.45,0.0,-142.45,0.0,-142.45,-142.45,496.53,-0.29,-0.29,0.0,0.0,0.0,0.0,0.0
2022-09-30,1667.95,0.0,1667.95,1104.51,0.0,94.47,201.76,104.59,88.73,0.0,159.44,-85.55,10.89,-74.66,116.39,-191.05,0.0,-191.05,0.0,-191.05,-191.05,496.53,-0.38,-0.38,0.0,0.0,0.0,0.0,0.0
2022-12-31,1654.32,0.0,1654.32,1119.66,0.0,156.81,0.0,102.55,88.51,0.0,313.7,-126.91,2.84,-124.07,117.36,-241.43,0.0,-241.43,0.0,-241.43,-241.43,496.53,-0.49,-0.49,0.0,0.0,0.0,0.0,0.0
2023-03-31,1510.29,0.0,1510.29,1158.54,14.28,-33.87,196.46,112.96,89.85,0.0,134.89,-162.82,2.76,-160.06,139.9,-299.96,0.0,-299.96,0.0,-299.96,-299.96,496.53,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0
2023-06-30,1361.86,0.0,1361.86,992.96,0.0,-47.02,185.27,105.1,87.55,0.0,112.5,-74.5,4.04,-70.46,150.34,-220.8,0.0,-220.8,0.0,-220.8,-220.8,496.53,-0.44,-0.44,0.0,0.0,0.0,0.0,0.0
2023-09-30,1325.83,0.0,1325.83,992.61,0.0,-95.59,0.0,104.67,76.69,0.0,288.86,-41.41,9.45,-31.96,138.57,-170.53,0.0,-170.53,0.0,-170.53,-170.53,496.53,-0.34,-0.34,0.0,0.0,0.0,0.0,0.0
2023-12-31,1217.2,0.0,1217.2,801.54,0.0,56.15,0.0,88.39,77.3,0.0,269.28,-75.46,0.34,-75.12,140.38,-215.5,0.0,-215.5,0.0,-215.5,-215.5,496.53,-0.43,-0.43,0.0,0.0,0.0,0.0,0.0
2024-03-31,1435.43,0.0,1435.43,819.3,0.0,166.59,158.84,114.73,75.44,0.0,160.43,-59.9,5.35,-54.55,152.33,-206.88,0.0,-206.88,0.0,-206.88,-206.88,496.53,-0.42,-0.42,0.0,0.0,0.0,0.0,0.0
2024-06-30,968.67,0.0,968.67,488.16,0.0,48.39,168.08,101.29,75.45,0.0,137.46,-50.16,5.28,-44.88,152.63,-197.51,0.0,-197.51,0.0,-197.51,-197.51,496.53,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0
2024-09-30,852.84,0.0,852.84,424.57,0.0,62.88,0.0,100.59,70.16,0.0,305.68,-111.04,4.25,-106.79,153.81,-260.6,0.0,-260.6,0.0,-260.6,-260.6,496.53,-0.52,-0.52,0.0,0.0,0.0,0.0,0.0
2024-12-31,822.17,0.0,822.17,450.55,0.0,-32.43,0.0,118.76,72.96,0.0,308.01,-95.68,7.49,-88.19,154.76,-242.95,0.0,-242.95,0.0,-242.95,-242.95,496.53,-0.49,-0.49,0.0,0.0,0.0,0.0,0.0
2025-03-31,912.91,0.0,912.91,459.54,0.0,15.52,0.0,114.26,73.47,0.0,315.45,-65.33,55.7,-9.63,152.26,-161.89,94.14,-67.75,0.0,-67.75,-67.75,496.53,-0.14,-0.14,0.0,0.0,0.0,0.0,0.0
