Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Current Investments,Trade/Other Goods,Equity Share Application Money,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2015-03-31,1377.33,0.0,1377.33,4038.49,4038.49,5415.82,7223.5,2764.35,21.03,10877.14,6044.09,3380.18,3394.25,240.96,13059.48,29352.44,8306.57,13.96,56.22,0.0,8376.75,348.15,1748.27,0.0,10473.17,8284.58,7531.75,634.75,2273.1,152.28,18879.27,29352.44,1853.02,439.82,836250.0,3513.82,0.0,0.75,0.0,348.15,2.81,868.26,0.0,468.51,14.03,31.01,2.81,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1357.87,0.0,1357.87,5072.03,5072.03,6429.9,7997.97,2835.73,29.2,11534.28,10639.67,1024.07,2951.31,113.04,14728.09,32692.27,16337.86,8.73,14.08,25.53,16386.2,193.09,894.97,78.49,17552.75,8053.61,5921.09,137.88,750.86,276.08,15139.52,32692.27,1066.1,163.15,0.0,1126.42,0.0,0.75,0.0,193.09,0.0,671.38,0.0,39.12,39.12,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1357.87,0.0,1357.87,1637.87,1637.87,2995.74,8956.14,77.63,36.97,9070.74,13390.32,1045.15,5852.25,7.98,20295.7,32362.18,15633.23,3.56,0.0,24.96,15661.75,110.37,1002.11,307.61,18504.95,3210.6,9940.46,80.14,487.61,138.42,13857.23,32362.18,415.17,0.0,0.0,0.0,0.0,0.75,0.0,110.37,0.0,0.0,1423.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1368.64,0.0,1368.64,-16567.72,-16567.72,-15199.08,7123.22,121.53,35.68,7280.43,17145.7,786.25,8560.58,5.58,26498.11,18579.46,15125.29,1.03,0.0,8.07,15134.39,92.43,942.32,224.37,17816.62,360.24,207.36,43.66,0.0,151.58,762.84,18579.46,693.22,90.14,0.0,843.22,0.0,0.75,0.0,92.43,0.0,0.0,1423.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1368.64,0.0,1368.64,-14290.82,-14290.82,-12922.18,5870.72,121.53,40.65,6032.9,16947.85,763.01,7074.67,3.61,24789.14,17899.86,14626.54,0.84,0.0,7.83,14635.21,92.43,874.88,184.82,17210.45,325.56,165.57,24.83,0.0,173.45,689.41,17899.86,1432.14,39.17,0.0,748.29,0.0,0.75,0.0,92.43,0.0,0.0,1423.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,221.08,0.0,221.08,-10909.76,-10909.76,-10688.68,28030.5,0.0,27.56,28058.06,0.0,352.0,76.83,4.1,432.93,17802.31,14095.89,0.71,0.0,7.58,14104.18,92.43,874.61,80.58,16574.91,334.74,164.09,470.29,0.0,258.28,1227.4,17802.31,641.65,28.86,0.0,706.0,0.0,0.75,0.0,92.43,0.0,0.0,1423.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,496.53,0.0,496.53,-16761.9,-16761.9,-16265.37,22736.6,0.0,33.6,22770.2,110.86,1054.99,64.73,3.75,1234.33,7739.16,5744.86,13.71,10.5,6.01,5775.08,0.05,184.88,101.47,6061.48,884.57,280.49,248.17,28.59,235.86,1677.68,7739.16,219.93,244.87,0.0,895.67,0.0,0.75,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,496.53,239.35,735.88,-16946.58,-16946.58,-16210.7,22168.99,0.0,42.15,22211.14,568.47,1284.47,75.76,5.4,1934.1,7934.54,5527.23,13.52,6.27,5.81,5552.83,0.05,182.12,96.26,5831.26,1182.75,475.11,40.39,60.67,344.36,2103.28,7934.54,394.92,226.31,0.0,1545.23,0.0,0.75,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,496.53,240.31,736.84,-17817.25,-17817.25,-17080.41,21569.39,76.66,41.43,21687.48,874.31,1625.25,47.13,6.34,2553.03,7160.1,5244.28,0.59,12.43,5.57,5262.87,0.05,182.12,80.47,5525.51,939.05,293.64,40.06,11.91,349.93,1634.59,7160.1,34.5,228.84,0.0,999.59,0.0,0.75,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,496.53,3541.36,4037.89,-18631.37,-18631.37,-14593.48,20829.74,2.48,39.48,20871.7,143.13,501.51,207.93,4.85,857.42,7135.64,4943.28,6.19,16.7,5.36,4971.53,0.05,171.78,340.74,5484.1,858.54,424.52,199.02,0.0,169.46,1651.54,7135.64,23.78,178.86,0.0,1004.66,0.0,0.75,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,496.53,0.0,496.53,-19399.39,-19399.39,-18902.86,24379.17,0.0,41.11,24420.28,52.81,458.26,518.39,3.86,1033.32,6550.74,4587.06,5.21,33.94,0.0,4626.21,0.05,204.06,323.64,5153.96,787.1,421.67,49.81,0.0,138.2,1396.78,6550.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
