Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-12-31,763.13,763.13,0.0,29.0,608.6,125.54,39.52,165.05,51.54,113.52,0.0,113.52,38.06,75.45,75.45,351.45,2.15,2.15,0.0,0.0,0.0,0.0,0.0
2018-03-31,703.96,703.96,0.0,35.75,597.92,70.29,126.11,196.4,52.76,143.64,0.0,143.64,15.77,127.87,127.87,351.45,3.64,3.64,0.0,0.0,0.0,0.0,0.0
2018-06-30,934.57,934.57,0.0,22.6,788.76,123.2,35.0,158.2,51.62,106.58,0.0,106.58,35.54,71.03,71.03,351.45,2.02,2.02,0.0,0.0,0.0,0.0,0.0
2018-09-30,665.78,665.78,0.0,24.63,565.98,75.18,129.6,204.78,54.0,150.78,0.0,150.78,23.7,127.08,127.08,351.45,3.62,3.62,0.0,0.0,0.0,0.0,0.0
2018-12-31,815.07,815.07,0.0,24.11,697.13,93.83,35.9,129.73,58.47,71.26,0.0,71.26,23.83,47.42,47.42,351.45,1.35,1.35,0.0,0.0,0.0,0.0,0.0
2019-03-31,969.35,969.35,0.0,-17.85,830.02,157.19,38.21,195.4,63.89,131.51,0.0,131.51,48.27,83.23,83.23,351.45,2.37,2.37,0.0,0.0,0.0,0.0,0.0
2019-06-30,879.23,879.23,0.0,19.06,751.67,108.5,37.31,145.81,60.78,85.04,0.0,85.04,29.71,55.33,55.33,351.45,1.57,1.57,0.0,0.0,0.0,0.0,0.0
2019-09-30,1079.22,1079.22,0.0,18.82,934.43,125.96,60.87,186.83,70.33,116.5,0.0,116.5,16.34,100.15,100.15,351.45,2.85,2.85,0.0,0.0,0.0,0.0,0.0
2019-12-31,1079.7,1079.7,68.63,17.64,856.9,136.53,35.85,172.38,82.94,89.44,0.0,89.44,22.79,66.64,66.64,351.45,1.9,1.9,0.0,0.0,0.0,0.0,0.0
2020-03-31,953.55,953.55,0.0,5.34,800.55,147.65,36.57,184.23,105.36,78.86,-1.65,77.21,20.14,57.08,57.08,351.45,1.62,1.62,0.0,0.0,0.0,0.0,0.0
2020-06-30,628.26,628.26,0.0,17.12,535.79,75.34,23.72,99.06,76.17,22.89,0.0,22.89,6.27,16.63,16.63,351.45,0.47,0.47,0.0,0.0,0.0,0.0,0.0
2020-09-30,689.92,689.92,0.0,16.89,591.61,81.42,202.78,284.19,130.26,153.93,0.0,153.93,-5.9,159.83,159.83,351.45,4.55,4.55,0.0,0.0,0.0,0.0,0.0
2020-12-31,816.61,816.61,0.0,13.31,681.31,121.99,26.39,148.38,136.7,11.68,0.0,11.68,3.53,8.15,8.15,351.45,0.23,0.23,0.0,0.0,0.0,0.0,0.0
2021-03-31,615.48,615.48,0.0,-4.72,524.16,96.04,66.89,162.94,148.8,14.14,0.0,14.14,10.24,3.9,3.9,351.45,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2021-06-30,724.99,724.99,0.0,15.62,583.62,125.75,58.21,183.96,175.11,8.85,0.0,8.85,2.29,6.55,6.55,351.45,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2021-09-30,767.91,767.91,0.0,9.44,650.5,107.98,56.96,164.94,172.77,-7.82,0.0,-7.82,-2.59,-5.24,-5.24,351.45,-0.15,-0.15,0.0,0.0,0.0,0.0,0.0
2021-12-31,324.5,324.5,0.0,11.3,271.25,41.96,225.52,267.48,247.83,19.65,0.0,19.65,5.11,14.54,14.54,603.9,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2022-03-31,782.29,782.29,357.28,11.45,14.92,398.64,135.02,533.66,124.42,409.24,0.0,409.24,105.3,303.94,303.94,603.9,5.03,5.03,0.0,0.0,0.0,0.0,0.0
2022-06-30,1341.02,1341.02,0.0,15.5,1085.75,239.77,54.69,294.46,91.39,203.07,0.0,203.07,52.13,150.94,150.94,603.9,2.5,2.5,0.0,0.0,0.0,0.0,0.0
2022-09-30,813.33,813.33,0.0,15.87,740.57,56.88,149.76,206.64,95.16,111.48,0.0,111.48,9.32,102.16,102.16,603.9,1.68,1.68,0.0,0.0,0.0,0.0,0.0
2022-12-31,942.18,942.18,0.0,26.86,859.97,55.36,106.1,161.46,93.76,67.69,0.0,67.69,4.32,63.37,63.37,603.9,1.05,1.05,0.0,0.0,0.0,0.0,0.0
2023-03-31,1063.91,1063.91,0.0,17.68,970.68,75.55,92.33,167.89,90.85,77.04,0.0,77.04,21.25,55.79,55.79,603.9,0.09,0.09,0.0,0.0,0.0,0.0,0.0
2023-06-30,945.94,945.94,0.0,14.82,857.48,73.64,158.22,231.86,99.56,132.3,0.0,132.3,22.25,110.05,110.05,603.9,0.18,0.18,0.0,0.0,0.0,0.0,0.0
2023-09-30,1113.87,1113.87,0.0,23.46,939.32,151.09,145.0,296.09,124.39,171.71,0.0,171.71,41.97,129.74,129.74,603.9,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2023-12-31,1340.28,1340.28,0.0,26.54,1192.49,121.25,204.12,325.37,126.31,199.06,0.0,199.06,-9.98,209.04,209.04,603.9,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2024-03-31,1425.95,1425.95,0.0,18.86,1166.69,240.4,517.33,757.74,357.04,400.69,0.0,400.69,87.12,313.57,313.57,603.9,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2024-06-30,1254.41,1254.41,0.0,20.41,1141.0,93.01,205.61,298.61,137.12,161.49,0.0,161.49,19.65,141.84,141.84,603.9,0.23,0.23,0.0,0.0,0.0,0.0,0.0
2024-09-30,993.75,993.75,0.0,18.32,901.62,73.8,256.41,330.21,129.98,200.24,0.0,200.24,40.35,159.89,159.89,603.9,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2024-12-31,1349.05,1349.05,0.0,20.58,1015.95,312.53,140.97,453.5,153.55,299.95,4794.91,5094.86,60.98,5033.89,5033.89,603.9,8.34,8.34,0.0,0.0,0.0,0.0,0.0
2025-03-31,1466.14,1466.14,0.0,10.62,1086.42,369.1,144.11,513.21,156.78,356.43,0.0,356.43,77.99,278.44,278.44,603.9,0.46,0.46,0.0,0.0,0.0,0.0,0.0
