Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Fixed Assets,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,332.36,332.36,1394.26,1394.26,1726.63,1333.36,0.0,778.94,0.98,2113.27,495.26,850.3,730.01,0.53,2076.09,5915.99,1854.21,0.48,1431.47,0.0,3286.16,13.14,131.22,865.64,1385.18,234.65,2629.83,5915.99,11346.6,0.0,0.13,1854.11,0.0,13.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,351.45,351.45,1798.32,1798.32,2149.77,1404.98,0.0,857.22,1.03,2263.23,592.47,454.59,1615.21,71.22,2733.49,7146.49,2308.73,0.65,2312.1,25.49,4646.97,8.0,92.4,885.26,1343.81,170.06,2499.53,7146.49,13875.12,1.96,0.14,2308.63,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,351.45,351.45,1982.65,1982.65,2334.1,1184.0,0.0,711.95,1.24,1897.2,1313.15,818.34,1490.09,0.82,3622.39,7853.68,2465.74,0.66,2868.37,21.41,5356.18,6.0,100.56,960.19,1414.14,16.62,2497.51,7853.68,16258.96,0.33,0.12,2465.64,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,351.45,351.45,2153.91,2153.91,2505.36,1600.55,0.0,2.22,1.46,1604.23,1478.6,970.75,2452.6,0.93,4902.88,9012.48,5356.64,0.67,1.72,6.51,5365.53,43.88,9.37,977.97,1463.86,1151.87,3646.95,9012.48,5988.64,0.0,0.14,1920.83,43.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,351.45,351.45,2157.92,2157.92,2509.37,957.01,0.0,0.4,2.49,959.91,3794.9,569.42,2547.27,1.07,6912.66,10381.93,5794.26,1.16,2.16,6.73,5804.32,9.72,708.4,885.45,1973.18,1000.87,4577.61,10381.93,5093.63,0.15,760.64,5033.63,9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,351.45,351.45,2281.27,2281.27,2632.72,918.25,0.0,0.0,2.59,920.84,2929.44,665.26,2632.81,1.24,6228.75,9782.31,6405.4,0.97,0.01,12.1,6418.48,12.49,451.56,934.52,1369.69,595.58,3363.83,9782.31,4382.7,0.03,612.41,5793.0,12.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,351.45,351.45,2214.45,2214.45,2565.9,1473.02,0.0,0.0,2.52,1475.54,6026.62,629.69,2120.34,1.43,8778.08,12819.52,6437.23,0.87,0.0,2493.24,8931.33,12.8,238.52,1255.79,444.36,1936.71,3888.19,12819.52,3643.91,0.05,237.44,6199.78,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,351.45,351.45,2504.83,2504.83,2856.28,5202.43,8.57,0.0,2.51,5213.51,4557.78,910.57,1536.52,1.37,7006.23,15076.03,8911.29,0.0,0.84,2116.02,11028.15,64.03,170.78,2058.82,564.21,1190.03,4047.88,15076.03,1966.19,11.2,496.47,8414.83,64.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,603.9,603.9,7883.44,7883.44,8487.34,3015.37,69.99,0.0,2.37,3087.72,2452.54,664.78,908.57,1.53,4027.41,15602.47,8269.52,0.0,1182.47,3154.34,12606.33,0.0,292.51,1492.53,486.37,724.73,2996.14,15602.47,2088.25,0.18,487.57,7781.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,603.9,603.9,8348.81,8348.81,8952.71,2823.42,82.47,0.0,1.33,2907.22,3041.89,1234.58,794.97,1.34,5072.77,16932.7,8751.85,0.0,1182.47,3210.39,13144.72,0.0,549.25,1678.53,626.47,933.73,3787.98,16932.7,1484.46,0.0,625.73,8126.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,603.9,603.9,8880.36,8880.36,9484.26,5215.78,134.39,62.16,1.49,5413.82,4109.67,1937.91,994.81,1.86,7044.25,21942.33,13528.79,0.0,1182.47,3760.05,18471.31,241.21,778.36,1445.96,78.88,926.6,3471.02,21942.33,1210.04,0.0,15929.2,6013.46,241.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
