Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Deferred Tax Assets [Net],Long Term Loans And Advances,Capital Goods,Equity Share Application Money,Preference Share Capital,Raw Materials,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,3319.63,3319.63,12264.72,12264.72,0.0,15584.35,17143.88,1397.27,216.71,20288.9,609.36,2634.37,4684.87,186.51,8115.1,43988.35,18296.72,7727.39,11380.12,0.0,37404.24,1641.21,0.0,41874.67,0.0,48.74,769.69,139.53,1152.26,3.47,2113.68,43988.35,14957.68,508.87,19.81,382.61,0.0,1641.21,0.0,1531.05,0.0,2829.23,1357.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,3597.84,3597.84,18292.3,18292.3,0.0,21890.14,16006.49,1174.89,282.07,19072.52,151.39,2970.18,13292.74,298.87,16713.18,57675.84,17898.05,14215.86,5079.45,0.0,37193.35,1646.61,0.0,42730.63,11167.5,58.3,932.19,1541.94,1139.12,106.17,14945.21,57675.84,54236.32,445.19,28.48,485.49,0.0,1646.61,11167.5,1609.08,0.0,3890.67,1319.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,3600.51,3600.51,21164.69,21164.69,0.0,24765.2,35904.04,2768.37,335.33,41243.47,1645.58,3203.87,7705.43,91.63,12646.52,78655.18,20963.36,44007.94,661.35,5377.48,71010.13,1666.85,2199.89,74879.37,832.85,85.15,1136.06,757.66,1.66,962.44,3760.32,78655.18,25478.46,0.0,0.0,0.0,0.0,1666.85,832.85,2235.73,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,3605.33,3605.33,20118.43,20118.43,0.0,23723.76,51637.83,1494.18,331.1,55142.21,33.65,3992.13,12854.49,16.17,16896.44,95762.42,22188.52,53936.46,1324.4,6204.8,83654.18,2226.6,3257.65,89141.01,4024.71,54.21,1258.1,31.27,2.06,1251.07,6621.41,95762.42,25012.69,0.0,0.0,0.0,0.0,2226.6,0.0,1679.11,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,4359.3,4359.3,26161.3,26161.3,80.2,30600.8,56940.8,3166.3,308.0,60723.0,21.7,3548.9,7034.5,21.8,10626.9,101950.7,24454.3,55230.8,651.3,2934.0,83270.4,6843.4,2194.9,92311.1,5612.9,33.9,887.4,22.2,2.0,3081.2,9639.6,101950.7,17374.5,0.0,0.0,0.0,0.0,0.0,0.0,307.9,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,8735.6,8735.6,54702.0,54702.0,66.9,63504.5,104402.9,11029.6,339.2,115771.7,4120.7,12674.3,36944.8,37.1,53776.9,233053.1,49341.1,127320.3,2332.5,2744.3,181738.2,6662.4,16431.7,213768.2,6689.0,0.0,3308.1,784.4,1339.6,7163.8,19284.9,233053.1,40573.6,4794.6,0.0,1061.1,0.0,0.0,0.0,0.0,8935.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,28735.4,28735.4,-19799.7,-19799.7,65.6,9001.3,96280.4,28178.4,329.3,124788.1,154.2,11480.4,83416.0,46.3,95096.9,228886.3,60705.2,119353.3,859.8,96.6,181014.9,4504.0,21547.2,207066.1,454.8,0.0,2919.1,2533.8,842.1,15070.4,21820.2,228886.3,18156.6,6817.9,0.0,1765.2,0.0,4504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,28735.4,28735.4,-66479.1,-66479.1,36.1,-37707.6,157415.5,17525.1,26.1,174966.7,73.0,13166.7,52590.2,42.4,65872.3,203131.4,52367.7,109854.2,534.3,6.3,162762.5,288.5,21164.5,184215.5,0.0,0.0,2440.8,2013.8,555.6,13905.7,18915.9,203131.4,25053.5,3948.6,0.0,2440.0,0.0,288.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,32118.8,32118.8,-93560.0,-93560.0,5.0,-61436.2,175950.8,18455.5,19.4,194425.7,15123.1,13324.1,32475.6,19.1,60941.9,193931.4,48857.0,103162.5,285.9,40.4,152345.8,288.5,19939.6,172573.9,0.0,0.3,2391.5,3378.2,314.1,15273.4,21357.5,193931.4,25831.6,3569.2,0.0,2732.7,0.0,288.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,48679.7,48679.7,-122522.3,-122522.3,3.8,-73838.8,189290.1,31885.4,7.1,221182.6,12530.4,13711.2,33676.3,11.4,59929.3,207273.1,55548.2,96432.9,241.7,17576.1,169798.9,162.6,19143.3,189104.8,0.0,0.4,2124.5,771.6,279.1,14992.7,18168.3,207273.1,24528.7,4196.4,0.0,3372.9,0.0,162.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,50119.8,50119.8,-153765.8,-153765.8,2.0,-103644.0,202896.2,31733.8,3.9,234633.9,4989.2,13921.6,35067.4,33.3,54011.5,185001.4,48455.1,87948.5,475.4,17550.3,154429.3,162.6,13780.5,168372.4,0.2,0.2,2122.2,453.9,235.6,13816.9,16629.0,185001.4,22920.8,3556.1,0.0,3527.5,0.0,162.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
