Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-06-30,8045.1,9.0,8054.1,0.0,379.7,2024.0,0.0,5887.1,-236.7,10.5,-226.2,1181.2,-1407.4,0.0,-1407.4,-484.6,-922.8,-922.8,3606.4,-2.56,-2.56,0.0,0.0,0.0,0.0,0.0
2017-09-30,7346.0,3.1,7349.1,0.0,404.0,2082.2,0.0,5546.9,-684.0,38.4,-645.6,1241.8,-1887.4,0.0,-1887.4,-650.6,-1236.8,-1236.8,3607.2,-3.43,-3.43,0.0,0.0,0.0,0.0,0.0
2017-12-31,6389.6,2.3,6391.9,0.0,388.7,2124.1,0.0,4892.3,-1013.2,21.1,-992.1,1190.0,-2182.1,0.0,-2182.1,-753.9,-1428.2,-1428.2,3607.5,-3.96,-3.96,0.0,0.0,0.0,0.0,0.0
2018-03-31,6019.4,14.2,6033.6,0.0,224.4,2085.7,0.0,4459.8,-736.3,228.1,-508.2,1311.5,-1819.7,0.0,-1819.7,-626.9,-1192.8,-1192.8,4359.3,-3.01,-3.01,0.0,0.0,0.0,0.0,0.0
2018-06-30,5804.5,22.3,5826.8,0.0,360.0,2092.7,0.0,4857.8,-1483.7,114.0,-1369.7,1525.1,-2894.8,3783.6,888.8,310.9,577.9,577.9,4359.9,1.33,1.33,0.0,0.0,0.0,0.0,0.0
2018-09-30,7621.9,16.9,7638.8,0.0,456.2,2984.2,0.0,6737.1,-2538.7,196.4,-2342.3,2162.2,-4504.5,-565.8,-5070.3,-63.8,-5006.5,-5006.5,8735.1,-8.58,-8.58,0.0,0.0,0.0,0.0,0.0
2018-12-31,11664.5,14.0,11678.5,0.0,624.9,4717.6,0.0,9978.9,-3642.9,240.5,-3402.4,2830.9,-6233.3,-810.9,-7044.2,-2011.2,-5033.0,-5033.0,8735.4,-5.76,-5.76,0.0,0.0,0.0,0.0,0.0
2019-03-31,11675.9,38.8,11714.7,0.0,679.8,4615.9,0.0,9284.5,-2865.5,175.6,-2689.9,2953.1,-5643.0,-1170.2,-6813.2,-1886.2,-4927.0,-4927.0,8735.6,-5.64,-5.64,0.0,0.0,0.0,0.0,0.0
2019-06-30,11202.4,6.1,11208.5,0.0,531.8,6082.1,0.0,7077.5,-2482.9,295.8,-2187.1,3721.3,-5908.4,-946.2,-6854.6,-1816.3,-5038.3,-5038.3,28735.4,-2.14,-2.14,0.0,0.0,0.0,0.0,0.0
2019-09-30,10804.5,0.0,10804.5,0.0,594.1,6266.2,0.0,6904.9,-2960.7,316.2,-2644.5,3650.8,-6295.3,-30771.4,-37066.7,12660.7,-49727.4,-49727.4,28735.4,-17.31,-17.31,0.0,0.0,0.0,0.0,0.0
