Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Borrowings,Short Term Provisions,Intangible Assets Under Development,Long Term Loans And Advances,Short Term Loans And Advances,Trade/Other Goods,Capital Goods,Revaluation Reserves,Equity Share Application Money,Raw Materials,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools"
2015-03-31,44.33,44.33,726.04,726.04,770.36,0.0,0.0,12.14,13.64,19.85,54.06,131.58,915.58,77.49,25.14,0.56,103.98,7.16,9.13,0.0,160.4,93.12,451.37,51.59,110.02,755.19,915.58,102.27,41.88,1.08,0.0,851.21,21.64,0.01,11.51,0.0,93.12,1.49,0.0,57.67,0.79,40.12,49.07,0.52,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,44.63,44.63,898.88,898.88,943.51,0.0,0.0,12.87,13.64,34.76,79.76,147.82,1104.97,82.02,18.84,0.16,102.52,4.68,13.64,0.0,151.42,101.55,525.4,86.09,168.89,953.55,1104.97,130.95,43.29,0.0,0.0,1057.32,21.64,0.01,11.51,0.0,101.55,0.77,13.25,20.05,1.51,30.58,71.62,0.24,12.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,44.87,44.87,1083.29,1083.29,1128.16,0.0,15.28,0.79,16.33,53.73,97.49,165.81,1310.3,79.38,20.19,1.0,102.19,77.66,14.94,45.91,240.7,146.67,596.81,60.71,265.41,1069.6,1310.3,241.41,55.46,0.0,0.0,1172.33,21.64,0.0,77.66,0.0,146.67,0.26,14.59,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,44.99,44.99,1207.92,1207.92,1252.91,0.0,55.93,0.88,62.76,90.2,147.66,237.86,1553.53,84.0,125.91,1.58,215.08,126.76,30.04,50.96,422.84,130.23,710.41,46.13,243.92,1130.69,1553.53,80.0,115.88,0.0,0.0,1217.36,21.64,0.0,126.76,0.0,130.23,5.95,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,45.04,45.04,1425.79,1425.79,1470.83,0.0,14.5,2.09,19.78,86.72,171.69,258.41,1749.02,81.26,120.05,0.31,207.91,63.18,33.92,63.97,368.98,45.36,873.82,130.48,330.38,1380.04,1749.02,313.43,38.93,0.0,0.0,1306.33,21.64,0.0,63.18,0.0,45.36,3.19,0.0,0.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,45.08,45.08,1528.59,1528.59,1573.67,0.0,209.13,2.63,211.76,80.53,212.3,292.83,2078.26,336.09,120.64,0.05,464.4,16.6,27.73,60.75,569.48,267.04,1055.69,60.02,126.03,1508.78,2078.26,291.43,85.23,0.0,0.0,1371.68,21.64,0.0,16.6,0.0,267.04,0.0,0.0,0.0,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,45.12,45.12,1790.58,1790.58,1835.7,0.0,188.28,3.17,191.45,91.7,178.34,270.04,2297.19,290.9,123.14,0.06,414.1,281.49,25.07,41.54,762.2,363.28,656.64,426.78,88.29,1534.99,2297.19,47.16,57.46,0.0,0.0,1341.53,21.64,0.0,281.49,0.0,323.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,45.2,45.2,2036.2,2036.2,2081.4,0.0,165.0,3.7,168.7,111.7,196.6,308.3,2558.4,266.0,112.2,0.9,379.1,417.0,14.3,44.9,855.3,163.6,929.1,431.8,178.6,1703.1,2558.4,46.8,57.5,0.0,0.0,1341.5,21.64,0.0,417.0,0.0,163.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,45.3,45.3,2257.4,2257.4,2302.7,0.0,140.5,4.2,144.7,72.1,251.0,323.1,2770.5,213.5,112.6,0.0,326.1,691.4,12.6,60.0,1090.1,450.9,720.8,309.6,199.1,1680.4,2770.5,50.2,17.8,0.0,0.0,1796.5,21.64,382.9,309.6,367.8,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,45.3,45.3,2635.3,2635.3,2680.6,0.0,106.2,4.8,111.0,81.1,266.1,347.2,3138.8,147.6,106.9,4.3,258.8,1001.4,9.5,126.3,1396.0,587.8,777.8,246.5,130.7,1742.8,3138.8,31.9,8.7,0.0,0.0,1950.9,21.64,465.1,544.7,514.7,75.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,45.4,45.4,3052.7,3052.7,3098.1,3.7,76.4,5.3,85.4,65.5,260.8,326.3,3509.8,223.8,9.5,0.6,233.9,703.8,0.0,100.0,1037.7,1075.9,766.1,459.9,170.2,2472.1,3509.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
