Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-09-30,5817.05,2104.28,218.3,68.51,1139.44,5930.7,873.63,723.55,1819.7,1620.29,0.0,199.41,22.74,176.67,176.67,687.44,0.0,63.44,11.19,0.0,2.57,2.57,29862.05,16947.89,10.73,6.39,0.17,0.0,0.0,0.0,0.0,0.0
2016-12-31,5693.86,2308.42,226.3,21.2,1339.67,6113.16,865.36,759.66,1851.27,1670.13,0.0,181.14,77.14,104.0,104.0,687.44,0.0,63.44,0.0,0.0,1.51,1.51,32402.74,18245.6,11.7,6.95,0.09,0.0,0.0,0.0,0.0,0.0
2017-03-31,5668.69,2405.86,237.97,12.93,1445.6,5938.41,836.24,862.35,2134.05,2444.12,0.0,-310.07,-418.29,108.22,108.22,687.44,0.0,63.44,0.0,0.0,1.58,1.58,33712.28,18832.1,11.17,6.57,0.1,0.0,0.0,0.0,0.0,0.0
2017-06-30,5737.68,2147.65,255.02,12.69,1414.65,5910.44,821.29,779.37,2056.59,1703.71,0.0,352.88,236.3,116.58,116.58,687.44,20290.96,63.44,0.0,0.0,1.7,1.7,33286.33,20784.97,12.63,7.47,0.1,0.0,0.0,0.0,0.0,0.0
2017-09-30,5754.25,2194.86,258.76,14.52,1217.34,5901.66,805.79,793.31,1938.97,3554.67,0.0,-1615.7,-84.98,-1530.72,-1530.72,726.43,20290.96,65.4,0.0,0.0,-21.87,-21.87,38285.84,19479.39,12.35,6.7,-1.27,0.0,0.0,0.0,0.0,0.0
2017-12-31,5732.34,2234.08,278.24,15.81,873.11,5712.21,812.78,953.99,1654.6,3254.4,0.0,-1599.8,-349.95,-1249.85,-1249.85,855.75,20290.96,55.52,0.0,0.0,-16.63,-16.63,40988.35,20428.21,13.03,6.96,-1.01,0.0,0.0,0.0,0.0,0.0
2018-03-31,5548.71,2203.37,347.35,12.67,1484.76,5919.03,815.37,973.05,1889.41,5667.92,0.0,-3778.51,-1195.13,-2583.38,-2583.38,1168.57,0.0,67.43,0.0,0.0,-29.59,-29.59,49369.93,24326.31,15.73,8.42,-2.05,0.0,0.0,0.0,0.0,0.0
2018-06-30,6011.51,2352.19,309.01,28.1,1207.95,6074.69,770.16,975.13,2088.78,2229.07,0.0,-140.29,-269.83,129.54,129.54,1168.57,0.0,67.43,0.0,0.0,1.11,1.11,50972.64,25508.46,16.0,8.7,0.1,0.0,0.0,0.0,0.0,0.0
2018-09-30,5907.23,2379.87,234.63,17.09,899.44,6045.7,775.52,845.16,1771.88,1655.55,0.0,116.33,-22.7,139.03,139.03,1168.57,0.0,67.43,0.0,0.0,1.19,1.19,50157.42,24656.94,15.74,8.42,0.11,0.0,0.0,0.0,0.0,0.0
2018-12-31,5974.66,2218.91,264.14,19.82,1095.05,5983.36,804.18,1034.67,1750.37,1617.12,0.0,133.25,-19.96,153.21,153.21,1168.57,0.0,67.43,0.0,0.0,1.31,1.31,49713.34,24141.64,15.66,8.27,0.12,0.0,0.0,0.0,0.0,0.0
2019-03-31,5878.52,2052.37,393.49,25.12,1271.51,5748.0,981.07,1161.74,1730.2,5766.15,0.0,-4035.95,-666.72,-3369.23,-3369.23,1763.02,0.0,74.27,0.0,0.0,-28.19,-28.19,48729.15,20332.42,14.98,6.85,-2.71,0.0,0.0,0.0,0.0,0.0
2019-06-30,6127.87,2412.01,319.74,38.0,989.52,6379.43,721.17,900.13,1886.41,1519.34,0.0,367.07,142.64,224.43,224.43,1763.02,0.0,74.27,0.0,0.0,1.27,1.27,48811.88,21230.89,15.18,7.23,0.17,0.0,0.0,0.0,0.0,0.0
2019-09-30,6259.06,2741.54,261.4,151.37,1143.2,6507.51,758.26,1050.17,2240.63,3858.75,0.0,-1618.12,-424.51,-1193.61,-1193.61,1763.02,0.0,74.27,0.0,0.0,-6.77,-6.77,49850.48,20791.06,15.24,6.98,-0.87,0.0,0.0,0.0,0.0,0.0
2019-12-31,6442.68,2799.23,292.89,95.92,1110.49,6496.13,865.64,978.0,2401.44,1818.99,0.0,582.45,7.87,574.58,574.58,3422.82,0.0,86.75,0.0,0.0,2.46,2.46,49923.58,21510.28,14.86,6.99,0.41,0.0,0.0,0.0,0.0,0.0
2020-03-31,6249.09,2620.08,326.25,93.99,2017.58,6411.3,1013.55,1229.5,2652.64,3501.69,-2509.98,-3359.03,-855.85,-2503.18,-2503.18,3422.82,0.0,86.75,0.0,0.0,-7.31,-7.31,49085.3,17303.14,14.15,5.49,-1.76,0.0,0.0,0.0,0.0,0.0
2020-06-30,12435.76,5235.96,628.34,128.74,1462.46,12025.61,2086.6,1744.96,4034.09,3555.77,0.0,478.32,145.58,332.74,332.74,6406.84,0.0,89.07,0.0,0.0,0.52,0.52,97189.95,28913.5,14.95,4.97,0.12,0.0,0.0,0.0,0.0,0.0
2020-09-30,11845.37,5266.11,548.67,116.04,2307.91,11483.31,2079.14,1786.92,4734.73,4143.93,0.0,590.8,74.18,516.62,516.62,6406.84,0.0,89.07,0.0,0.0,0.81,0.81,95796.9,23894.35,14.71,4.13,0.19,0.0,0.0,0.0,0.0,0.0
2020-12-31,11452.46,5160.72,415.74,58.38,3015.54,10497.8,2415.12,1879.32,5310.6,5255.89,0.0,54.71,-672.13,726.84,726.84,6406.84,0.0,89.07,0.0,0.0,1.13,1.13,87968.62,19063.05,13.49,3.27,0.28,0.0,0.0,0.0,0.0,0.0
2021-03-31,9970.25,4910.91,520.47,73.42,4550.94,10072.19,2444.04,2329.89,5179.87,3904.28,0.0,1275.59,-54.18,1329.77,1329.77,6406.84,0.0,89.07,0.0,0.0,2.08,2.08,89788.2,27280.52,13.74,4.62,0.49,0.0,0.0,0.0,0.0,0.0
2021-06-30,11345.75,5099.95,612.09,76.44,2900.87,10120.78,2823.7,1787.81,5302.81,3523.81,0.0,1779.0,598.02,1180.98,1180.98,6834.75,0.0,83.49,0.0,0.0,1.79,1.79,87762.19,27437.45,13.6,4.69,0.43,0.0,0.0,0.0,0.0,0.0
2021-09-30,11165.24,4916.36,449.46,174.65,3978.24,9876.44,2644.71,2089.27,6073.53,3723.75,0.0,2349.78,823.66,1526.12,1526.12,6834.75,0.0,83.49,0.0,0.0,2.23,2.23,80211.73,26786.42,12.64,4.61,0.56,0.0,0.0,0.0,0.0,0.0
2021-12-31,11270.42,4930.22,579.69,149.32,2524.09,9755.26,2375.47,2224.82,5098.19,2549.58,0.0,2548.61,1463.21,1085.4,1085.4,6834.75,0.0,83.49,0.0,0.0,1.59,1.59,77786.12,25257.32,11.62,4.09,0.39,0.0,0.0,0.0,0.0,0.0
2022-03-31,11454.09,4996.31,607.17,116.79,3243.08,10405.01,2211.58,2280.71,5520.14,3618.12,0.0,1902.02,462.42,1439.6,1439.6,6834.75,0.0,83.49,0.0,0.0,2.11,2.11,79587.07,24303.3,11.11,3.68,0.5,0.0,0.0,0.0,0.0,0.0
2022-06-30,12259.15,5245.63,554.62,114.84,2816.85,10592.54,2653.0,2297.99,5447.56,3281.14,0.0,2166.42,607.96,1558.46,1558.46,6834.75,0.0,83.49,0.0,0.0,2.28,2.28,74500.0,22391.95,10.22,3.31,0.53,0.0,0.0,0.0,0.0,0.0
2022-09-30,13810.84,5307.64,439.32,123.9,3276.25,11376.69,2746.18,2257.99,6577.09,4076.81,0.0,2500.28,652.58,1847.7,1847.7,6834.75,0.0,83.49,0.0,0.0,2.7,2.7,65390.85,19192.63,8.45,2.64,0.61,0.0,0.0,0.0,0.0,0.0
2022-12-31,15031.34,5348.13,372.88,130.51,3270.82,12254.78,2848.3,2431.45,6619.15,3035.91,0.0,3583.24,1338.44,2244.8,2244.8,6834.75,0.0,83.49,0.0,0.0,3.28,3.28,63770.16,16195.11,7.93,2.14,0.73,0.0,0.0,0.0,0.0,0.0
2023-03-31,15658.81,5453.64,750.02,142.07,5269.23,13753.99,4142.23,2554.19,6823.36,2935.58,0.0,3887.78,1105.47,2782.31,2782.31,6834.75,0.0,83.49,0.0,0.0,4.07,4.07,60987.29,12927.44,7.53,1.7,0.88,0.0,0.0,0.0,0.0,0.0
2023-06-30,16638.92,5584.71,1110.18,144.12,3903.32,14638.23,3183.26,2380.44,7179.32,2005.03,0.0,5174.29,1937.85,3236.44,3236.44,6834.75,0.0,83.49,0.0,0.0,4.74,4.74,60103.72,12137.89,7.34,1.58,1.0,0.0,0.0,0.0,0.0,0.0
2023-09-30,17504.14,5616.26,1336.74,129.84,3695.15,15460.91,3085.33,2515.05,7220.84,1767.87,0.0,5452.97,1941.55,3511.42,3511.42,7412.45,0.0,76.99,0.0,0.0,5.06,5.06,54012.26,10421.01,6.38,1.3,1.07,0.0,0.0,0.0,0.0,0.0
2023-12-31,18376.63,5658.19,1209.05,119.09,3774.3,16194.95,3279.47,2385.29,7277.55,1747.79,0.0,5529.76,1939.85,3589.91,3589.91,7412.45,0.0,76.99,0.0,0.0,4.84,4.84,43261.88,9351.23,4.83,1.08,1.07,0.0,0.0,0.0,0.0,0.0
2024-03-31,19451.35,5608.27,1198.89,91.59,4707.42,16913.47,4829.12,2782.0,6532.93,1259.55,0.0,5273.38,1962.83,3310.55,3310.55,7633.61,0.0,74.76,0.0,0.0,4.42,4.42,43097.73,8989.92,4.76,1.03,0.97,0.0,0.0,0.0,0.0,0.0
2024-06-30,19361.64,5698.18,1215.33,89.24,4509.23,16952.3,3568.03,2567.98,7785.31,2755.81,0.0,5029.5,1350.65,3678.85,3678.85,7633.61,0.0,74.76,0.0,0.0,4.82,4.82,41422.94,7902.04,4.54,0.9,1.06,0.0,0.0,0.0,0.0,0.0
2024-09-30,19380.91,5909.23,1318.84,99.45,5328.03,17661.17,3562.67,2699.86,8112.76,1712.2,0.0,6400.56,1680.82,4719.74,4719.74,7633.61,0.0,74.76,0.0,0.0,6.18,6.18,40498.86,8758.59,4.36,0.98,1.35,0.0,0.0,0.0,0.0,0.0
2024-12-31,19976.18,5786.71,1089.69,105.35,4416.57,17717.66,3467.81,2697.21,7491.82,1599.05,0.0,5892.77,1289.14,4603.63,4603.63,7633.61,0.0,74.76,0.0,0.0,6.03,6.03,36554.25,7568.36,3.85,0.82,1.3,0.0,0.0,0.0,0.0,0.0
2025-03-31,20348.18,5790.07,1464.51,92.46,5559.09,18181.17,4069.13,3303.86,7700.15,1543.92,0.0,6156.23,1171.31,4984.92,4984.92,7633.61,99876.34,74.76,0.0,0.0,6.53,6.53,35350.38,5969.29,3.6,0.63,1.35,0.0,0.0,0.0,0.0,0.0
