Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Intangible Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Short Term Provisions,Tangible Assets,Capital Work-In-Progress,Non-Current Investments,Long Term Loans And Advances,Inventories,Trade Receivables,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,37.38,37.38,1201.46,1201.46,1238.84,638.04,52.04,0.0,0.0,690.08,302.93,584.51,516.5,1446.09,3375.01,0.0,891.34,0.0,0.0,2462.03,0.02,30.27,0.0,912.98,3375.01,186.91,0.01,191.26,5.31,27.31,2464.78,394.66,0.0,0.02,0.0,42.15,694.28,197.06,1505.69,65.0,370.21,445.94,66.54,157.41,13.01,42.88,128.65,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,37.43,37.43,1283.1,1283.1,1320.53,781.13,56.7,0.0,0.0,837.83,339.61,625.82,395.08,1404.97,3563.33,0.0,940.64,0.0,0.0,2516.46,0.01,25.73,0.0,1046.87,3563.33,155.31,0.01,209.51,4.41,27.31,4882.84,412.15,0.0,0.01,0.0,44.46,904.25,36.39,1523.18,52.64,468.23,477.94,74.96,197.05,7.99,52.94,66.82,11.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,37.47,37.47,1901.81,1901.81,1939.28,375.0,41.96,0.0,0.0,416.96,265.82,612.44,826.23,1822.11,4178.35,0.0,887.66,0.0,0.0,2400.87,0.0,734.55,0.14,1777.48,4178.35,195.99,0.01,212.45,4.82,27.31,5688.26,350.26,0.0,0.0,0.0,117.62,831.6,56.06,1461.29,51.92,458.31,490.85,93.63,191.7,10.18,62.84,8.58,9.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,18.75,18.75,949.95,949.95,968.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,2.47,971.17,0.0,0.0,0.0,0.0,913.7,0.0,2.47,55.0,57.47,971.17,0.0,0.03,0.0,0.03,13.65,6972.75,267.01,0.0,0.0,0.0,0.0,0.0,0.0,913.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,18.75,18.75,1000.78,1000.78,1019.53,0.0,0.0,0.47,0.0,0.47,0.0,0.36,2.2,2.56,1022.56,0.0,0.0,0.17,0.09,0.26,939.76,82.5,0.04,1022.3,1022.56,0.0,0.0,0.0,0.0,13.65,0.0,0.0,10477.04,267.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,18.77,18.77,1045.45,1045.45,1064.22,0.0,0.0,0.67,0.0,0.67,0.0,0.34,2.25,2.59,1067.78,0.0,0.0,0.26,0.07,0.33,955.7,111.75,0.0,1067.45,1067.78,0.0,0.01,0.0,0.0,13.65,0.0,0.0,10536.23,267.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,18.77,18.77,1099.52,1099.52,1118.29,0.0,0.0,0.71,0.01,0.72,200.63,0.55,1.91,203.09,1322.1,0.03,0.03,0.34,0.09,0.46,1278.35,43.27,0.02,1321.64,1322.1,0.0,0.01,0.0,0.0,13.66,0.0,0.0,6677.26,267.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,18.77,18.77,1121.98,1121.98,1140.75,0.0,0.04,1.77,0.01,1.82,149.98,0.62,9.76,160.36,1302.93,0.02,0.02,0.0,0.21,0.23,1279.22,23.48,0.0,1302.7,1302.93,0.0,0.0,0.0,0.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,18.77,18.77,1168.41,1168.41,1187.18,0.0,0.09,1.68,0.02,1.79,99.97,0.6,1.38,101.95,1290.92,0.02,0.02,0.0,0.76,0.78,1279.84,10.28,0.02,1290.14,1290.92,1.36,0.01,0.0,0.0,13.66,0.0,0.0,0.0,267.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,18.78,18.78,1217.61,1217.61,1236.39,49.98,0.13,0.03,0.03,50.17,0.0,0.66,1.13,1.79,1288.35,0.01,0.01,0.0,0.65,0.66,1280.12,7.55,0.02,1287.69,1288.35,1.36,0.01,0.0,0.0,13.66,0.0,0.0,0.0,268.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,18.78,18.78,1268.72,1268.72,1287.5,0.0,0.18,0.04,0.04,0.26,0.0,0.85,0.54,1.39,1289.15,0.06,0.06,0.0,0.78,0.84,1279.31,8.98,0.02,1288.31,1289.15,1.36,0.0,0.0,0.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
