Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Share Capital Suspense,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,207.12,207.12,7200.76,7200.76,7407.88,4.64,1.38,2524.19,2723.05,2404.37,380.06,233.61,688.03,3706.07,13837.0,1257.56,9.61,0.0,0.0,1747.63,6155.73,0.0,761.49,0.11,8664.96,860.0,918.38,452.75,141.48,309.32,2490.11,5172.04,13837.0,0.0,684.99,2271.33,45.47,184.37,63.97,6094.0,0.0,860.0,0.0,0.0,289.47,49.38,90.08,148.94,192.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,207.12,207.12,22530.77,22530.77,22737.89,1170.32,14.37,2422.51,3607.2,4252.81,1485.03,3247.55,2066.69,11052.08,37445.55,3115.29,69.98,1086.32,4.27,4275.86,25782.23,0.0,1895.23,41.95,31995.27,93.93,2189.25,1802.82,416.46,696.69,251.13,5450.28,37445.55,3464.21,1333.44,4623.5,247.05,184.37,72.98,26370.49,9.34,85.0,14.9,33.48,632.32,75.84,151.09,363.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,240.66,240.66,21242.43,21242.43,21483.09,1929.27,13.57,1924.55,3867.39,3733.72,1772.44,1906.83,1425.79,8838.78,34189.93,3512.9,55.27,0.0,0.0,4335.9,22283.11,0.0,2165.47,61.75,28846.23,82.49,2132.16,2016.81,169.39,745.03,197.82,5343.7,34189.93,0.0,1270.04,3957.17,259.93,184.37,54.19,22871.37,11.23,73.56,0.67,0.0,588.46,39.32,59.22,201.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,239.93,239.93,20772.54,20772.54,21012.47,760.64,0.68,1132.83,1894.15,4054.04,2072.6,2988.58,1847.43,10962.65,33869.27,3869.35,169.28,1055.11,45.39,5139.13,19293.29,749.06,4.87,2294.73,27481.08,40.01,2308.28,2714.7,170.28,13.85,1141.07,6388.19,33869.27,6060.34,2448.41,4411.81,0.0,183.81,123.53,19226.77,0.0,40.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,239.93,239.93,22082.68,22082.68,22322.61,1564.69,0.91,345.18,1910.78,5213.81,2565.97,2125.89,2652.75,12558.42,36791.81,4400.52,244.05,830.39,157.45,5632.41,18310.5,751.7,3.42,2518.57,27216.6,44.76,2135.64,5271.44,155.27,52.05,1916.05,9575.21,36791.81,1186.57,3014.34,4081.64,0.0,183.81,190.14,18685.98,0.0,42.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,239.93,239.93,22603.68,22603.68,22843.61,1422.5,19.12,157.07,1598.69,4428.05,2154.92,4145.13,2543.73,13271.83,37714.13,4709.21,269.21,456.25,186.29,5620.96,17656.16,751.7,1.0,2514.54,26544.36,247.95,2792.62,5031.47,340.77,294.73,2462.23,11169.77,37714.13,5549.82,3861.02,6602.54,0.0,183.81,139.67,17590.77,0.0,245.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,239.93,239.93,24156.29,24156.29,24396.22,1256.69,161.72,1391.96,2810.37,4488.27,2129.27,3488.26,1097.94,11203.74,38410.33,4910.31,318.43,384.35,212.26,5825.35,16966.65,1139.71,0.74,2536.76,26469.21,395.07,2633.67,6168.13,654.78,448.59,1640.88,11941.12,38410.33,3863.62,2796.39,7421.87,0.0,183.81,8.16,0.38,0.0,392.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,239.93,239.93,24800.23,24800.23,25040.16,4833.56,160.72,620.84,5615.12,1651.98,2592.61,2895.29,1203.67,8343.55,38998.83,4873.98,370.38,442.85,319.94,6007.15,16967.68,1337.45,71.39,2548.82,26932.49,31.0,3165.72,6370.62,232.26,738.57,1528.17,12066.34,38998.83,3564.25,3033.37,8449.28,0.0,183.81,9.02,0.55,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,239.93,239.93,24348.02,24348.02,24587.95,4865.64,808.43,397.63,6071.7,3.07,2710.44,4829.77,2562.55,10105.83,40765.48,4969.57,4743.21,358.94,469.7,10541.42,15355.83,324.04,3656.63,1183.81,31061.73,193.04,3403.74,4245.16,534.96,9.1,1317.75,9703.75,40765.48,3811.82,7187.43,10633.05,0.0,183.81,0.0,0.0,0.0,193.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,239.93,239.93,23508.43,23508.43,23748.36,7586.73,1080.18,206.16,8873.07,5.94,3125.58,4425.04,809.5,8366.06,40987.49,4733.25,3978.42,328.87,524.04,9564.58,12416.14,1032.39,632.7,876.53,24522.34,200.26,3989.19,7125.02,421.28,3347.03,1382.37,16465.15,40987.49,4309.6,7151.14,15405.26,0.0,183.81,0.0,0.0,0.0,200.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,239.93,239.93,23454.47,23454.47,23694.4,11036.01,1669.51,219.73,12925.25,10.6,2619.58,1205.88,609.08,4445.14,41064.79,4539.14,3197.6,388.24,377.87,8502.85,12429.97,994.52,3386.9,796.14,26110.38,0.0,3423.62,8834.16,338.39,655.51,1702.73,14954.41,41064.79,2013.74,6293.15,14268.33,0.0,183.81,6.33,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
