Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-06-30,2878.64,84.4,2963.04,849.42,257.82,-55.29,466.19,142.79,722.88,579.23,21.19,600.42,68.9,531.52,0.0,531.52,-0.43,531.95,531.95,239.93,2.22,2.22,0.0,0.0,0.0,0.0,0.0
2020-09-30,3207.24,85.27,3292.51,1002.72,269.73,-95.47,452.16,145.37,875.88,642.12,73.18,715.3,13.42,701.88,0.0,701.88,-22.93,724.81,724.81,239.93,3.02,3.02,0.0,0.0,0.0,0.0,0.0
2020-12-31,3366.01,22.01,3388.02,832.81,303.52,206.18,455.48,146.89,843.79,599.35,20.98,620.33,71.93,548.4,0.0,548.4,-7.15,555.55,555.55,239.93,2.32,2.32,0.0,0.0,0.0,0.0,0.0
2021-03-31,3119.04,40.6,3159.64,1124.16,368.56,-270.26,424.62,151.76,832.31,528.49,34.87,563.36,102.73,460.63,-89.56,371.07,43.68,327.39,327.39,239.93,1.36,1.36,0.0,0.0,0.0,0.0,0.0
2021-06-30,3312.54,13.41,3325.95,993.95,382.34,-82.46,489.99,150.92,910.64,480.57,57.8,538.37,105.72,432.65,0.0,432.65,13.35,419.3,419.3,239.93,1.75,1.75,0.0,0.0,0.0,0.0,0.0
2021-09-30,4143.15,0.0,4143.15,1092.3,285.44,48.42,509.07,333.64,1343.65,530.63,284.27,814.9,103.98,710.92,0.0,710.92,-98.15,809.07,809.07,239.93,3.4,3.4,0.0,0.0,0.0,0.0,0.0
2021-12-31,3770.66,0.0,3770.66,1127.05,325.32,-25.1,501.79,355.24,1185.21,301.15,305.23,606.38,85.47,520.91,0.0,520.91,5.48,515.43,515.43,239.93,2.1,2.1,0.0,0.0,0.0,0.0,0.0
2022-03-31,3988.22,18.66,4006.88,1286.24,237.84,-150.13,497.94,354.14,1135.15,645.7,300.41,946.11,91.19,854.92,-1654.96,-800.04,486.17,-1286.21,-1286.21,239.93,-5.4,-5.4,0.0,0.0,0.0,0.0,0.0
2022-06-30,4862.16,70.72,4932.88,1329.52,277.94,-15.11,588.09,374.5,1302.78,1075.16,48.99,1124.15,87.07,1037.08,0.0,1037.08,25.28,1011.8,1011.8,239.93,4.2,4.2,0.0,0.0,0.0,0.0,0.0
2022-09-30,5285.29,0.0,5285.29,1397.49,318.65,-80.52,513.57,383.95,1472.93,1279.22,41.71,1320.93,92.77,1228.16,0.0,1228.16,15.15,1213.01,1213.01,239.93,5.1,5.1,0.0,0.0,0.0,0.0,0.0
2022-12-31,4549.9,95.85,4645.75,1248.76,267.51,-9.66,526.24,430.44,1613.52,568.94,68.03,636.97,130.89,506.08,0.0,506.08,19.35,486.73,486.73,239.93,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,5800.85,147.37,5948.22,1189.86,262.36,-132.64,529.05,411.98,1738.94,1948.67,120.3,2068.97,161.45,1907.52,-2937.79,-1030.27,-9.45,-1020.82,-1020.82,239.93,-4.3,-4.3,0.0,0.0,0.0,0.0,0.0
2023-06-30,4383.34,82.73,4466.07,1184.97,213.06,28.46,607.44,415.27,1483.38,533.49,163.54,697.03,157.94,539.09,-149.21,389.88,9.24,380.64,380.64,239.93,1.6,1.6,0.0,0.0,0.0,0.0,0.0
2023-09-30,5096.21,0.0,5096.21,1066.9,264.65,52.7,600.41,392.71,1725.23,993.61,106.54,1100.15,193.63,906.52,0.0,906.52,17.89,888.63,888.63,239.93,3.7,3.7,0.0,0.0,0.0,0.0,0.0
2023-12-31,4903.66,170.09,5073.75,1121.64,227.2,129.13,590.13,399.6,1646.65,959.4,76.8,1036.2,214.92,821.28,-69.81,751.47,30.16,721.31,721.31,239.93,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,5639.14,0.0,5639.14,1055.87,289.5,-29.97,575.97,393.04,1854.24,1500.49,118.88,1619.37,217.59,1401.78,0.0,1401.78,534.18,867.6,867.6,239.93,3.6,3.6,0.0,0.0,0.0,0.0,0.0
2024-06-30,4498.07,0.0,4498.07,973.23,306.26,-55.53,645.48,369.81,1867.56,391.26,82.74,474.0,216.08,257.92,0.0,257.92,20.1,237.82,237.82,239.93,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,5127.71,0.0,5127.71,1225.01,360.09,-142.86,662.19,285.53,1684.66,1053.09,86.3,1139.39,243.75,895.64,0.0,895.64,32.35,863.29,863.29,239.93,3.6,3.6,0.0,0.0,0.0,0.0,0.0
2024-12-31,5985.33,206.48,6191.81,1162.73,367.48,131.29,651.68,290.97,2175.16,1412.5,68.39,1480.89,215.96,1264.93,0.0,1264.93,83.88,1181.05,1181.05,239.93,4.9,4.9,0.0,0.0,0.0,0.0,0.0
