Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,98.06,98.06,2144.92,2144.92,2242.98,39.03,100.98,17.76,2.0,159.77,1069.17,563.0,1047.81,137.16,2817.13,5219.88,320.97,3.84,41.22,0.0,0.0,366.04,232.36,0.0,452.82,6.71,1057.92,2061.98,246.79,74.2,1445.32,333.66,4161.96,5219.88,387.03,4.14,0.0,0.0,0.0,42.28,232.36,0.0,36.37,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,98.06,98.06,2247.77,2247.77,2345.83,195.68,157.6,17.76,4.7,375.74,1614.65,487.48,982.7,140.88,3225.72,5947.29,305.88,1.29,52.45,0.0,0.0,359.61,248.62,0.0,459.63,10.82,1078.69,2283.42,266.49,119.54,1789.88,409.27,4868.6,5947.29,355.06,4.95,0.0,0.0,0.0,42.28,248.62,0.0,33.4,14.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,98.06,98.06,2361.08,2361.08,2459.15,488.21,246.69,17.76,7.16,759.82,1600.47,424.98,1145.41,49.55,3220.4,6439.36,371.86,0.46,45.43,0.0,0.0,417.75,356.96,0.0,485.58,27.17,1287.46,2520.58,241.47,113.5,1965.17,311.18,5151.9,6439.36,-1324.99,5.4,0.0,0.0,0.0,42.28,356.96,0.0,25.51,57.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,96.31,96.31,2418.26,2418.26,2514.57,367.93,223.17,0.15,16.14,607.39,1771.58,771.66,3062.48,11.09,5616.81,8738.76,316.63,0.19,0.62,0.0,79.28,396.72,390.8,0.0,0.0,486.67,1274.19,4855.18,195.27,116.2,0.0,2297.92,7464.57,8738.76,751.25,4.27,0.0,0.0,0.0,41.52,390.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,94.85,94.85,2522.25,2522.25,2617.09,278.83,247.84,0.15,18.31,545.13,1957.16,699.17,2991.42,12.32,5660.07,8822.29,279.13,0.12,0.0,0.0,134.49,413.74,396.25,0.0,0.0,481.82,1291.81,4673.04,291.72,90.93,0.0,2474.79,7530.48,8822.29,0.0,5.03,0.0,0.0,0.0,41.52,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,94.85,94.85,1982.53,1982.53,2077.38,4.81,0.0,0.0,12.1,16.91,2370.11,1123.94,4943.79,15.02,8452.86,10547.15,283.15,0.07,0.0,0.0,190.04,473.25,416.29,97.02,0.0,536.44,1523.01,6274.37,312.53,173.07,0.0,2264.17,9024.14,10547.15,1720.68,9.15,0.0,0.0,0.0,41.52,416.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,94.85,94.85,2192.43,2192.43,2287.28,157.54,26.4,6.06,14.47,204.47,2834.51,959.65,4242.11,15.14,8051.4,10543.15,296.99,0.04,0.0,0.0,232.31,529.35,367.41,0.0,0.0,567.35,1464.1,6423.51,352.19,80.45,0.0,2222.9,9079.05,10543.15,1328.18,11.4,0.0,0.0,0.0,41.52,367.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,94.85,94.85,2192.23,2192.23,2287.07,276.78,25.87,6.8,15.15,324.59,2610.4,733.98,4784.2,13.85,8142.43,10754.09,289.38,0.02,70.06,0.0,169.16,528.61,397.56,0.0,0.0,703.92,1630.09,6751.53,193.5,196.55,0.0,1982.43,9124.0,10754.09,475.16,6.15,0.0,0.0,0.45,41.52,397.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,94.85,94.85,2270.98,2270.98,2365.83,663.59,7.31,4.0,17.47,692.37,1725.25,669.83,5505.23,15.46,7915.76,10973.96,251.47,0.01,0.0,0.0,188.27,439.76,439.85,0.0,0.0,644.39,1524.0,7035.22,350.21,173.04,0.0,1891.49,9449.96,10973.96,423.05,4.12,0.0,0.0,1.12,41.52,439.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,94.85,94.85,2246.22,2246.22,2341.07,558.61,0.0,20.48,22.89,601.98,1380.82,595.62,7192.21,20.28,9188.92,12131.97,250.3,0.01,0.0,1.76,276.79,528.86,452.13,13.88,22.95,1053.68,2071.5,8286.69,209.76,440.48,43.77,1079.77,10060.47,12131.97,355.64,5.92,0.0,0.0,0.01,41.52,452.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,94.85,94.85,2263.08,2263.08,2357.93,671.61,0.0,21.34,24.55,717.51,1187.05,613.31,8288.6,22.31,10111.27,13186.7,304.38,0.0,0.0,5.44,272.52,582.34,467.51,111.39,23.0,1236.98,2421.22,8848.51,197.59,654.8,98.37,966.21,10765.49,13186.7,413.74,7.13,0.0,0.0,0.0,41.52,467.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
