Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-03-31,95.02,95.02,10.48,3.41,3.71,77.43,6.79,84.22,0.48,83.74,83.74,19.91,63.83,63.83,29.85,2.14,2.14
2021-06-30,90.46,90.46,8.05,3.98,5.82,72.61,11.91,84.52,0.55,83.97,83.97,20.35,63.62,63.62,29.86,2.13,2.13
2021-09-30,109.16,109.16,9.55,4.11,3.84,91.66,11.91,103.56,0.47,103.09,103.09,24.99,78.11,78.11,29.86,2.62,2.61
2021-12-31,114.2,114.2,8.39,4.13,7.66,94.02,12.48,106.5,0.5,106.0,106.0,26.1,79.91,79.91,89.77,0.89,0.89
2022-03-31,111.73,111.73,11.19,4.1,5.47,90.97,16.02,106.99,0.46,106.53,106.53,25.66,80.88,80.88,89.78,0.9,0.9
2022-06-30,98.35,98.35,8.01,4.19,9.33,76.82,15.04,91.86,0.55,91.32,91.32,22.73,68.59,68.59,89.78,0.77,0.77
2022-09-30,95.2,95.2,8.8,4.57,7.46,74.37,18.57,92.94,0.52,92.42,92.42,22.36,70.06,70.06,89.78,0.78,0.78
2022-12-31,100.28,100.28,8.84,4.92,8.15,78.36,17.07,95.43,0.66,94.77,94.77,23.59,71.18,71.18,89.78,0.79,0.79
2023-03-31,107.03,107.03,9.01,4.91,4.76,88.36,22.52,110.88,0.73,110.15,110.15,27.28,82.87,82.87,89.09,0.93,0.93
2023-06-30,104.04,104.04,9.86,5.0,12.62,76.55,23.24,99.79,0.7,99.09,99.09,24.95,74.14,74.14,89.09,0.83,0.83
2023-09-30,108.53,108.53,9.29,5.06,7.04,87.14,24.36,111.49,0.7,110.79,110.79,27.92,82.87,82.87,89.09,0.93,0.93
2023-12-31,115.3,115.3,9.0,5.17,6.42,94.7,25.84,120.55,0.71,119.83,119.83,30.5,89.33,89.33,89.09,1.0,1.0
2024-03-31,121.28,121.28,10.08,5.21,6.33,99.66,28.19,127.85,0.72,127.13,127.13,32.03,95.1,95.1,89.09,1.07,1.07
2024-06-30,123.56,123.56,10.69,5.23,12.85,94.8,30.78,125.58,0.67,124.91,124.91,31.49,93.42,93.42,89.09,1.05,1.05
2024-09-30,139.24,139.24,11.96,5.32,7.0,114.97,28.61,143.58,0.66,142.92,142.92,36.84,106.08,106.08,89.09,1.19,1.19
2024-12-31,131.31,131.31,11.26,5.39,7.22,107.44,28.55,135.98,0.67,135.31,135.31,32.16,103.15,103.15,89.09,1.16,1.16
2025-03-31,141.26,141.26,11.07,5.26,8.24,116.69,30.98,147.68,0.61,147.06,147.06,35.07,111.99,111.99,89.09,1.26,1.26
