Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Intangible Assets,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,13.6,13.6,586.28,586.28,0.0,599.88,0.0,0.75,24.86,25.61,509.97,282.94,70.36,863.27,1488.75,555.91,141.51,697.41,37.13,17.78,62.56,2.06,816.95,225.74,54.73,286.95,102.7,1.67,671.8,1488.75,235.68,291.88,187.26,48.19,32.12,11.19,0.0,37.13,0.0,0.0,0.0,132.56,8.81,34.91,126.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,13.6,13.6,756.72,756.72,0.0,770.32,2.59,1.54,60.86,64.99,514.41,285.87,66.32,866.59,1701.9,781.58,141.18,922.76,30.13,0.0,55.54,3.74,1012.18,252.23,69.64,254.45,102.99,3.41,689.72,1701.9,77.74,314.48,173.39,56.75,24.84,11.19,0.0,30.13,7.0,0.0,7.0,128.25,6.31,44.69,43.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,27.2,27.2,992.27,992.27,0.0,1019.47,21.72,1.69,64.25,87.66,551.94,238.22,46.38,836.54,1943.67,1008.14,78.37,1086.51,30.13,0.0,48.83,3.88,1169.35,292.66,101.54,288.3,87.5,4.32,774.32,1943.67,145.51,330.29,152.58,80.27,27.21,24.79,0.0,30.13,0.0,0.0,0.0,147.63,4.52,63.41,146.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,27.2,27.2,1246.6,1246.6,0.0,1273.8,27.48,1.69,25.13,54.3,597.46,333.9,51.19,982.55,2310.65,1108.11,166.59,1274.7,31.16,0.0,2.67,146.5,1455.03,292.55,129.9,294.3,62.95,75.92,855.62,2310.65,251.8,0.0,0.0,0.0,0.0,24.79,0.0,31.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,27.2,27.2,1497.41,1497.41,0.0,1524.61,35.52,1.84,19.1,56.46,614.47,307.97,60.35,982.79,2563.86,1145.91,158.58,1304.49,31.16,0.0,3.06,164.43,1503.14,226.71,201.03,456.16,90.58,86.24,1060.72,2563.86,480.55,337.35,0.0,187.57,0.0,24.79,0.0,31.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,27.2,27.2,1419.55,1419.55,0.0,1446.75,30.87,1.68,18.37,128.63,613.18,374.04,63.88,1051.1,2626.48,1190.85,198.7,1389.55,31.15,0.0,2.7,192.92,1616.32,248.57,209.79,399.35,114.96,37.48,1010.16,2626.48,607.89,719.1,0.0,200.72,0.0,24.79,0.0,31.15,0.0,77.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,27.2,27.2,1567.63,1567.63,-0.67,1594.16,5.04,85.64,48.83,139.51,612.51,197.31,60.48,870.3,2603.97,1122.86,190.03,1312.89,18.62,0.0,2.04,258.39,1591.94,296.92,132.56,421.27,113.48,47.8,1012.03,2603.97,827.45,696.25,0.0,201.78,0.0,24.79,0.0,18.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,27.2,27.2,1139.04,1139.04,-0.38,1165.86,0.0,79.07,31.13,110.2,760.44,776.46,81.05,1617.95,2894.01,1064.72,144.85,1209.57,18.61,4.77,1.4,287.08,1521.43,335.82,117.08,867.64,6.93,45.12,1372.58,2894.01,910.05,699.71,0.0,180.53,0.0,24.79,0.0,18.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,27.2,27.2,1707.48,1707.48,0.0,1734.68,0.0,70.7,13.98,84.68,771.39,227.06,84.02,1082.47,2901.83,962.97,121.84,1084.82,0.0,17.3,1.34,315.52,1418.97,357.19,224.68,754.71,107.32,38.96,1482.86,2901.83,1235.55,735.61,0.0,236.37,0.0,24.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,27.2,27.2,1693.7,1693.7,-4.51,1716.38,0.0,58.38,23.59,81.97,761.12,233.0,90.51,1084.64,2882.99,861.8,114.08,975.88,0.0,28.84,0.92,329.47,1335.11,335.45,157.37,923.0,87.6,44.47,1547.88,2882.99,1022.97,737.96,0.0,228.76,0.0,24.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,27.2,27.2,1849.11,1849.11,-1.94,1874.36,0.0,61.21,21.61,82.82,881.9,258.81,98.63,1239.35,3196.53,794.07,110.28,904.35,0.0,64.76,0.97,322.64,1292.72,296.41,167.39,1373.78,6.67,59.56,1903.81,3196.53,1331.46,210.32,0.0,1013.34,0.0,24.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
