Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2014-03-31,63.65,63.65,2784.67,2784.67,0.0,2848.32,0.0,1925.06,266.15,12.34,4.42,2207.97,835.5,96.61,808.52,83.26,1823.9,6880.19,2760.42,14.27,84.58,2859.26,493.18,88.95,30.05,3471.44,219.16,1871.54,735.57,52.75,511.86,17.88,3408.75,6880.19,308.97,34.01,2007.91,0.0,35.43,341.29,177.7,214.1,19.41,215.77,64.31,287.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,63.65,63.65,3019.73,3019.73,0.0,3083.38,0.0,1317.26,198.48,14.46,5.15,1535.35,468.55,129.55,1004.32,83.68,1686.09,6304.82,2482.34,13.93,76.78,2573.05,574.77,72.31,123.86,3343.98,99.4,1636.73,676.82,175.55,354.45,17.88,2960.84,6304.82,962.91,44.17,2442.48,0.0,35.43,529.64,177.42,25.0,74.64,171.36,63.51,86.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,62.05,62.05,3627.87,3627.87,0.0,3689.92,0.0,1022.24,206.39,20.51,5.93,1255.07,1016.82,145.91,872.4,5.21,2040.34,6985.33,2489.04,11.08,84.83,2584.95,1069.84,0.76,88.92,3744.47,0.59,1809.12,770.0,276.77,29.28,355.11,3240.87,6985.33,129.75,435.44,2274.86,0.0,35.43,1069.39,178.85,0.59,0.0,225.07,59.58,118.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,55.93,55.93,3929.92,3929.92,0.0,3985.85,0.0,719.35,238.41,21.5,8.9,988.16,1055.06,177.41,747.77,4.28,1984.52,6958.53,2451.41,6.74,48.54,2506.69,972.19,0.61,67.78,3547.27,670.6,1589.0,717.91,40.47,36.56,356.72,3411.26,6958.53,0.0,439.33,2206.9,0.0,31.92,1202.81,79.05,660.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,57.43,57.43,4573.98,4573.98,0.0,4631.41,0.55,1195.55,235.6,22.83,7.04,1461.02,805.51,196.19,596.46,4.82,1602.98,7695.96,2503.04,3.73,105.08,2611.85,787.96,0.59,94.23,3494.63,804.04,2116.51,727.32,68.31,45.21,439.94,4201.33,7695.96,0.0,811.71,2211.43,0.0,31.92,1001.97,117.2,792.44,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,57.48,57.48,5180.49,5180.49,0.0,5237.97,1.13,1071.35,297.47,24.88,10.86,1404.56,868.68,240.36,613.63,2.79,1725.46,8369.12,3057.24,1.6,273.63,3332.47,749.57,0.72,93.98,4176.74,337.56,2442.13,762.82,40.86,34.59,574.42,4192.38,8369.12,1678.96,797.42,2539.71,0.0,31.92,872.45,119.26,325.53,12.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,57.52,57.52,5593.98,5593.98,14.71,5666.21,0.0,1266.14,225.32,23.45,14.45,1529.36,723.02,291.92,513.71,2.46,1531.11,8726.68,3479.3,1.82,139.42,3620.54,558.2,1.48,68.3,4248.52,473.29,2506.16,794.81,151.71,29.72,522.47,4478.16,8726.68,1261.62,570.58,2509.71,0.0,31.92,580.37,91.65,444.36,28.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,57.56,57.56,5956.94,5956.94,12.39,6026.89,5.62,1296.6,239.54,20.49,15.26,1571.89,550.12,246.96,534.7,2.57,1334.35,8938.75,3398.03,1.69,73.92,3473.64,552.43,1.31,238.58,4265.96,318.9,2624.2,986.6,66.44,63.27,613.38,4672.79,8938.75,2228.58,347.93,2670.3,0.0,31.92,724.77,91.83,318.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,57.77,57.77,7476.06,7476.06,3.99,7537.82,1.3,921.06,229.78,21.99,15.98,1188.81,1059.25,348.61,437.49,2.77,1848.12,10576.05,3434.25,1.44,241.02,3676.71,964.29,0.95,316.68,4958.63,493.59,2806.67,1310.68,115.95,1.92,888.61,5617.42,10576.05,1482.17,703.7,4523.81,0.0,31.92,1379.14,33.78,493.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,57.82,57.82,8236.12,8236.12,0.0,8293.94,0.05,931.35,242.81,18.47,16.95,1209.58,745.76,307.25,301.01,3.29,1357.31,10860.88,3879.13,1.37,47.09,3927.59,1225.27,1.25,148.63,5302.74,1021.25,2312.16,1179.08,370.24,2.51,672.9,5558.14,10860.88,719.58,1770.62,4264.93,0.0,31.92,1745.86,33.94,1021.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,57.83,57.83,8747.12,8747.12,0.0,8804.95,0.0,413.13,248.75,14.1,17.78,693.76,1376.91,317.38,290.21,3.31,1987.81,11486.52,3701.59,9.18,60.78,3771.55,1251.13,1.27,244.16,5268.11,111.04,4106.96,1205.38,83.7,2.33,709.0,6218.41,11486.52,703.91,1100.26,3899.0,0.0,31.92,1771.56,34.09,111.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,57.83,57.83,9520.01,9520.01,0.0,9577.84,0.0,748.99,278.75,12.4,18.97,1059.11,488.91,429.61,339.79,4.56,1262.87,11899.82,4082.99,7.37,251.8,4342.16,1157.95,1.21,341.28,5842.6,318.49,3681.8,1288.8,84.74,2.08,681.31,6057.22,11899.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
