Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2020-06-30,771.17,0.0,771.17,449.91,13.15,-36.67,99.56,119.61,85.58,129.59,-89.56,41.66,-47.9,33.08,-80.98,-80.98,-22.58,-58.4,0.0,-58.4,57.52,0.0,-10.15,-10.08,0.0,0.0,0.0,0.0,0.0
2020-09-30,1532.9,0.0,1532.9,804.68,8.36,132.68,127.43,126.28,87.83,199.47,46.17,50.5,96.67,27.34,69.33,69.33,19.76,49.57,0.0,49.57,57.52,0.0,8.62,8.56,0.0,0.0,0.0,0.0,0.0
2020-12-31,1666.88,0.0,1666.88,840.77,18.17,21.38,0.0,142.44,88.12,393.17,162.83,51.76,214.59,23.31,191.28,191.28,46.89,144.39,0.0,144.39,57.52,0.0,25.1,24.93,0.0,0.0,0.0,0.0,0.0
2021-03-31,1816.69,0.0,1816.69,904.26,6.91,-55.77,175.84,161.53,88.61,265.64,269.67,45.55,315.22,27.7,287.52,287.52,72.68,214.84,0.0,214.84,57.56,0.0,37.32,37.14,0.0,0.0,0.0,0.0,0.0
2021-06-30,1873.98,0.0,1873.98,957.33,23.36,-109.86,0.0,155.86,87.81,393.22,366.26,42.68,408.94,25.56,383.38,383.38,93.59,289.79,0.0,289.79,57.63,0.0,50.29,50.1,0.0,0.0,0.0,0.0,0.0
2021-09-30,2306.65,0.0,2306.65,1035.01,42.63,-40.49,0.0,168.92,88.04,451.56,560.98,64.46,625.44,23.37,602.07,602.07,148.27,453.8,0.0,453.8,57.66,0.0,78.7,78.45,0.0,0.0,0.0,0.0,0.0
2021-12-31,2453.91,0.0,2453.91,1252.27,23.13,-112.81,0.0,176.83,88.76,523.67,502.06,230.32,732.38,21.48,710.9,710.9,140.95,569.95,0.0,569.95,57.69,0.0,98.8,98.53,0.0,0.0,0.0,0.0,0.0
2022-03-31,2641.97,0.0,2641.97,1473.35,0.33,-128.77,0.0,186.27,90.85,604.16,415.78,48.11,463.89,28.84,435.05,435.05,112.37,322.68,0.0,322.68,57.77,7481.35,11.17,11.16,0.0,0.0,0.0,0.0,0.0
2022-06-30,2731.01,0.0,2731.01,1561.9,0.0,-96.07,0.0,186.33,91.78,567.98,419.09,22.3,441.39,26.17,415.22,415.22,101.87,313.35,0.0,313.35,57.79,7796.99,10.84,10.83,0.0,0.0,0.0,0.0,0.0
2022-09-30,2387.48,0.0,2387.48,1397.44,0.1,-44.85,0.0,187.53,97.38,498.15,251.73,29.37,281.1,24.8,256.3,256.3,61.56,194.74,0.0,194.74,57.82,7992.08,6.74,6.73,0.0,0.0,0.0,0.0,0.0
2022-12-31,2293.87,0.0,2293.87,1372.04,0.03,83.08,0.0,185.01,97.24,486.76,69.71,67.67,137.38,20.55,116.83,116.83,26.25,90.58,0.0,90.58,57.82,8082.97,3.13,3.13,0.0,0.0,0.0,0.0,0.0
2023-03-31,2428.43,0.0,2428.43,1434.6,0.01,67.18,0.0,191.11,102.55,477.41,155.57,73.46,229.03,30.34,198.69,198.69,48.28,150.41,0.0,150.41,57.82,8236.17,5.2,5.2,0.0,0.0,0.0,0.0,0.0
2023-06-30,2262.61,0.0,2262.61,1361.82,0.23,23.28,0.0,191.5,103.27,468.0,114.51,92.1,206.61,32.31,174.3,174.3,42.87,131.43,0.0,131.43,57.83,0.0,4.55,4.55,0.0,0.0,0.0,0.0,0.0
2023-09-30,2334.05,0.0,2334.05,1359.91,0.17,51.57,0.0,199.4,102.29,522.87,97.84,90.62,188.46,21.95,166.51,166.51,38.06,128.45,0.0,128.45,57.83,0.0,4.44,4.44,0.0,0.0,0.0,0.0,0.0
2023-12-31,2288.79,0.0,2288.79,1344.59,0.46,-27.51,0.0,225.22,97.95,508.57,139.51,86.32,225.83,19.34,206.49,206.49,45.37,161.12,0.0,161.12,57.83,0.0,5.57,5.57,0.0,0.0,0.0,0.0,0.0
2024-03-31,2413.23,0.0,2413.23,1325.86,0.76,51.83,0.0,204.49,95.45,527.27,207.57,64.5,272.07,28.39,243.68,243.68,57.05,186.63,0.0,186.63,57.83,0.0,6.45,6.45,0.0,0.0,0.0,0.0,0.0
2024-06-30,2270.31,0.0,2270.31,1348.54,2.18,-154.29,0.0,214.35,96.25,515.2,248.08,64.76,312.84,17.71,295.13,295.13,68.23,226.9,0.0,226.9,57.83,0.0,7.85,7.85,0.0,0.0,0.0,0.0,0.0
2024-09-30,2454.78,0.0,2454.78,1345.28,1.78,44.75,0.0,222.15,98.89,525.69,216.24,110.1,326.34,17.74,308.6,308.6,88.96,219.64,0.0,219.64,57.83,0.0,7.59,7.59,0.0,0.0,0.0,0.0,0.0
2024-12-31,2403.94,0.0,2403.94,1301.94,0.23,28.07,0.0,218.08,100.1,545.6,209.92,72.71,282.63,18.76,263.87,263.87,60.31,203.56,0.0,203.56,57.83,0.0,7.04,7.04,0.0,0.0,0.0,0.0,0.0
2025-03-31,2458.18,0.0,2458.18,1323.25,0.66,45.3,0.0,213.21,102.68,588.08,185.0,119.9,304.9,22.81,282.09,282.09,53.12,228.97,0.0,228.97,57.83,0.0,7.92,7.92,0.0,0.0,0.0,0.0,0.0
