Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,339.01,339.01,14673.15,14673.15,15012.16,15554.88,3908.43,7207.7,587.66,27258.67,16375.17,10651.39,6538.72,1741.98,35307.26,77578.09,25797.19,115.05,4585.56,0.0,30497.8,5735.83,1461.42,146.26,37841.31,5124.04,18775.41,5465.95,34.71,10007.9,328.77,39736.78,77578.09,8687.79,60560.98,4231.03,0.0,264.43,2064.87,4718.38,5124.03,0.0,57859.94,85.03,68.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,339.01,339.01,15683.08,15683.08,16022.09,14855.83,4103.6,8292.35,581.47,27833.25,2199.81,8935.65,10162.32,2397.52,23695.3,67550.64,28852.05,210.76,3474.42,0.0,32537.23,5867.52,1429.86,116.55,39951.16,5373.96,12972.26,3603.05,17.07,5306.52,326.62,27599.48,67550.64,6572.11,43451.95,5313.98,0.0,264.43,2602.18,4850.07,5373.96,5.01,46138.58,297.17,32.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,339.01,339.01,18017.09,18017.09,18356.1,10633.48,4810.46,9450.58,431.27,25325.79,3888.54,6587.07,14587.91,1725.52,26789.04,70470.93,33211.12,234.65,1876.94,0.0,35322.71,6000.06,1573.4,86.03,42982.2,4994.62,12709.12,4192.66,19.69,5295.52,277.12,27488.73,70470.93,7340.54,29216.25,1810.68,0.0,264.43,2411.69,5264.71,4985.67,8.95,28326.26,218.02,82.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1016.27,1016.27,19331.14,19331.14,20347.41,6278.15,5895.59,8.11,182.32,12364.17,10892.41,12664.56,19792.8,2408.5,45758.27,78469.85,35711.0,420.88,1810.48,0.0,37942.36,5809.86,456.43,1338.88,45547.53,5108.74,18576.28,4064.21,33.67,163.21,4976.21,32922.32,78469.85,7687.28,32458.36,0.0,2140.26,941.68,3764.02,5049.8,5100.96,7.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1524.21,1524.21,22424.01,22424.01,23948.22,8830.78,6569.19,4.46,77.22,15481.65,10762.18,15703.87,18403.05,2508.25,47377.35,86807.22,37519.03,452.68,3985.39,0.0,41957.1,6105.72,461.61,1409.08,49933.51,4999.38,18420.22,5572.91,1194.11,89.34,6597.75,36873.71,86807.22,23676.47,38223.04,0.0,2512.74,1449.63,3829.83,5348.44,4999.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1524.21,1524.21,26650.61,26650.61,28174.82,11317.22,7164.75,124.19,55.3,18661.46,13793.11,18876.7,22072.88,2171.88,56914.57,103750.85,40523.2,456.11,9495.89,0.0,50475.2,6734.87,1141.4,2206.62,60558.09,5083.76,20193.42,5652.64,95.61,958.1,11209.23,43192.76,103750.85,26263.28,51984.26,0.0,5287.95,1449.63,2703.7,6095.75,5083.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1524.21,1524.21,27438.15,27438.15,28962.36,22287.17,5491.53,212.18,50.2,28041.08,16145.8,11295.22,26617.93,2948.44,57007.39,114010.83,47746.94,543.47,17143.69,0.0,65434.1,7166.74,1415.77,2701.65,76718.26,5344.86,19141.19,3922.72,113.15,407.84,8362.81,37292.57,114010.83,27526.49,46538.1,0.0,8405.14,1449.63,221.25,8.68,5344.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1452.41,1452.41,34733.7,34733.7,36186.11,27069.72,5511.09,370.93,51.66,33003.4,14819.37,17697.27,26388.15,3144.88,62049.67,131239.18,49260.87,639.66,24053.26,180.24,74134.03,9575.17,1133.93,2785.31,87628.44,5417.58,28592.17,6856.31,237.2,124.63,2382.85,43610.74,131239.18,23495.98,30693.52,0.0,3452.13,1381.32,328.14,13.82,5417.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1418.94,1418.94,37258.1,37258.1,38677.04,31226.98,5978.27,3483.55,44.97,40733.77,11965.93,26447.9,29500.24,2835.5,70749.57,150160.38,56311.32,822.27,26557.41,208.57,83899.57,12572.2,1040.89,3076.27,100588.93,5371.52,35345.61,6331.8,130.96,244.98,2146.58,49571.45,150160.38,16528.86,40773.5,0.0,8159.61,1381.32,637.76,17.8,5371.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,1418.94,1418.94,26294.49,26294.49,27713.43,46402.99,3011.0,3862.89,43.83,53320.71,18114.23,22852.36,29830.8,2653.5,73450.89,154485.03,66761.22,777.38,22509.17,293.64,90341.41,16041.82,977.81,3479.51,110840.55,5168.89,29343.95,6817.19,538.57,160.74,1615.14,43644.48,154485.03,13660.85,89167.43,0.0,6176.88,1381.32,673.21,18.45,5267.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,1418.94,1418.94,39610.83,39610.83,41029.77,35505.44,6989.91,4437.06,82.5,47014.91,24748.25,27202.36,30402.68,3385.01,85738.3,173782.98,77712.95,1085.81,16649.23,29.54,95477.53,20495.37,1201.41,4124.09,121298.4,5182.7,33966.46,9321.13,352.35,107.94,3554.0,52484.58,173782.98,10795.59,95119.62,0.0,9506.74,1381.32,1605.7,20.65,5267.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,2128.21,2128.21,43830.09,43830.09,45958.3,31667.23,7757.14,4745.77,203.24,44373.38,31656.14,29670.08,31136.29,3401.11,95863.62,186195.3,80312.85,1106.86,17740.48,0.0,99160.19,20982.32,5148.94,3453.85,128745.3,3252.49,38145.66,11796.02,166.78,118.5,3970.55,57450.0,186195.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
