Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Equity Dividend Rate (%),Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-06-30,91159.0,91159.0,65930.0,2263.0,-2299.0,1480.0,2762.0,8631.0,12392.0,2068.0,14460.0,2138.0,12322.0,0.0,12322.0,3502.0,8820.0,8820.0,6336.0,0.0,13.92,13.91,0.0,0.0,0.0,0.0,0.0
2018-09-30,96167.0,96167.0,74808.0,1732.0,-5742.0,1493.0,2745.0,8984.0,12147.0,2012.0,14159.0,2417.0,11742.0,0.0,11742.0,2883.0,8859.0,8859.0,6338.0,0.0,13.98,13.98,0.0,0.0,0.0,0.0,0.0
2018-12-31,100096.0,100096.0,65465.0,2700.0,6628.0,1456.0,2586.0,9340.0,11921.0,2456.0,14377.0,2405.0,11972.0,0.0,11972.0,3044.0,8928.0,8928.0,6339.0,0.0,14.08,14.08,0.0,0.0,0.0,0.0,0.0
2019-03-31,83765.0,83765.0,59085.0,1594.0,-1881.0,1405.0,2465.0,9690.0,11407.0,2715.0,14122.0,2791.0,11331.0,0.0,11331.0,2775.0,8556.0,8556.0,6339.0,0.0,13.5,13.5,0.0,0.0,0.0,0.0,0.0
2019-06-30,88263.0,88263.0,65009.0,1631.0,-1545.0,1338.0,2175.0,8190.0,11465.0,3345.0,14810.0,2701.0,12109.0,0.0,12109.0,3073.0,9036.0,9036.0,6339.0,0.0,14.26,14.25,0.0,0.0,0.0,0.0,0.0
2019-09-30,87137.0,87137.0,60042.0,1662.0,2778.0,1797.0,2317.0,7192.0,11349.0,3629.0,14978.0,2723.0,12255.0,0.0,12255.0,2553.0,9702.0,9702.0,6339.0,0.0,15.31,15.3,0.0,0.0,0.0,0.0,0.0
2019-12-31,86376.0,86376.0,61844.0,1841.0,91.0,1426.0,2551.0,8216.0,10407.0,3867.0,14274.0,2520.0,11754.0,0.0,11754.0,2169.0,9585.0,9585.0,6339.0,0.0,15.12,15.12,0.0,0.0,0.0,0.0,0.0
2020-03-31,73956.0,73956.0,50447.0,2158.0,-1247.0,1506.0,2685.0,9749.0,8658.0,3946.0,12604.0,4161.0,8443.0,-4245.0,4198.0,1618.0,2580.0,2580.0,6339.0,0.0,4.07,4.07,0.0,0.0,0.0,0.0,0.0
2020-06-30,47461.0,47461.0,29128.0,1367.0,195.0,1187.0,2174.0,8456.0,4954.0,4211.0,9165.0,4780.0,4385.0,4420.0,8805.0,-948.0,9753.0,9753.0,6445.0,0.0,15.25,15.21,0.0,0.0,0.0,0.0,0.0
2020-09-30,56287.0,56287.0,39824.0,1613.0,-169.0,1064.0,2233.0,6308.0,5414.0,4164.0,9578.0,4819.0,4759.0,0.0,4759.0,-1787.0,6546.0,6546.0,6445.0,0.0,10.16,10.04,0.0,0.0,0.0,0.0,0.0
2020-12-31,61263.0,61263.0,42533.0,1945.0,-513.0,1500.0,2209.0,7108.0,6481.0,3616.0,10097.0,3140.0,6957.0,-116.0,6841.0,-1787.0,8628.0,8628.0,6445.0,0.0,13.39,13.13,0.0,0.0,0.0,0.0,0.0
2021-03-31,80656.0,80656.0,56777.0,2376.0,1097.0,1265.0,2562.0,8968.0,7611.0,2797.0,10408.0,3001.0,7407.0,0.0,7407.0,-210.0,7617.0,7617.0,6445.0,0.0,11.82,11.59,0.0,0.0,0.0,0.0,0.0
2021-06-30,86147.0,86147.0,68230.0,2240.0,-6886.0,1337.0,2509.0,9766.0,8951.0,3588.0,12539.0,2351.0,10188.0,0.0,10188.0,1593.0,8595.0,8595.0,6550.0,0.0,13.28,13.05,0.0,0.0,0.0,0.0,0.0
2021-09-30,96925.0,96925.0,71424.0,2619.0,-1367.0,1386.0,2705.0,10486.0,9672.0,3769.0,13441.0,2487.0,10954.0,0.0,10954.0,1726.0,9228.0,9228.0,6551.0,0.0,14.09,13.89,0.0,0.0,0.0,0.0,0.0
2021-12-31,111152.0,111152.0,82584.0,2988.0,-788.0,1287.0,2597.0,11186.0,11298.0,3443.0,14741.0,2301.0,12440.0,0.0,12440.0,2273.0,10167.0,10167.0,6765.0,0.0,15.39,15.22,0.0,0.0,0.0,0.0,0.0
2022-03-31,129479.0,129479.0,98614.0,2844.0,1079.0,1416.0,2465.0,10945.0,12116.0,3072.0,15188.0,1984.0,13204.0,0.0,13204.0,2110.0,11094.0,11094.0,6765.0,0.0,16.4,16.4,0.0,0.0,0.0,0.0,0.0
2022-06-30,147534.0,147534.0,118669.0,2416.0,-10584.0,1405.0,2251.0,13620.0,19757.0,2531.0,22288.0,2616.0,19672.0,0.0,19672.0,4576.0,15096.0,15096.0,6765.0,0.0,22.31,22.31,0.0,0.0,0.0,0.0,0.0
2022-09-30,137550.0,137550.0,101061.0,2368.0,2562.0,1416.0,2614.0,18156.0,9373.0,3335.0,12708.0,2916.0,9792.0,0.0,9792.0,2877.0,6915.0,6915.0,6766.0,0.0,10.22,10.22,0.0,0.0,0.0,0.0,0.0
2022-12-31,125987.0,125987.0,90147.0,2382.0,2456.0,1433.0,2532.0,14535.0,12502.0,2579.0,15081.0,3349.0,11732.0,0.0,11732.0,3359.0,8373.0,8373.0,6766.0,0.0,12.38,12.38,0.0,0.0,0.0,0.0,0.0
2023-03-31,118702.0,118702.0,81631.0,2808.0,-921.0,1444.0,2734.0,15670.0,15336.0,2785.0,18121.0,3745.0,14376.0,0.0,14376.0,555.0,13821.0,13821.0,6766.0,0.0,20.43,20.43,0.0,0.0,0.0,0.0,0.0
2023-06-30,117136.0,117136.0,80833.0,2622.0,2197.0,1628.0,2819.0,13495.0,13542.0,2895.0,16437.0,3596.0,12841.0,0.0,12841.0,3115.0,9726.0,9726.0,6766.0,0.0,14.38,14.37,0.0,0.0,0.0,0.0,0.0
2023-09-30,137380.0,137380.0,99429.0,3695.0,-2183.0,1884.0,4384.0,15364.0,14807.0,2934.0,17741.0,3239.0,14502.0,0.0,14502.0,3294.0,11208.0,11208.0,6766.0,0.0,16.56,16.56,0.0,0.0,0.0,0.0,0.0
2023-12-31,127695.0,127695.0,94021.0,3789.0,-3280.0,1862.0,4567.0,13745.0,12991.0,2969.0,15960.0,2982.0,12978.0,0.0,12978.0,3054.0,9924.0,9924.0,6766.0,0.0,14.67,14.67,0.0,0.0,0.0,0.0,0.0
2024-03-31,146832.0,146832.0,96259.0,3347.0,8584.0,1946.0,4856.0,16673.0,15167.0,3497.0,18664.0,3613.0,15051.0,0.0,15051.0,3768.0,11283.0,11283.0,6766.0,0.0,16.68,16.68,0.0,0.0,0.0,0.0,0.0
2024-06-30,129898.0,129898.0,99679.0,3967.0,-4876.0,2156.0,4708.0,14657.0,9607.0,3502.0,13109.0,2963.0,10146.0,0.0,10146.0,2535.0,7611.0,7611.0,6766.0,0.0,11.25,11.25,0.0,0.0,0.0,0.0,0.0
2024-09-30,130108.0,130108.0,96836.0,3383.0,-723.0,2077.0,4350.0,15110.0,9075.0,3801.0,12876.0,2662.0,10214.0,0.0,10214.0,2501.0,7713.0,7713.0,6766.0,0.0,11.4,11.4,0.0,0.0,0.0,0.0,0.0
2024-12-31,124381.0,124381.0,91561.0,3904.0,-4085.0,2181.0,4459.0,15607.0,10754.0,3214.0,13968.0,2371.0,11597.0,0.0,11597.0,2876.0,8721.0,8721.0,13532.0,0.0,6.44,6.44,0.0,0.0,0.0,0.0,0.0
2025-03-31,132962.0,132962.0,95945.0,4610.0,-995.0,2276.0,4464.0,16010.0,10652.0,5577.0,16229.0,2058.0,14171.0,0.0,14171.0,2954.0,11217.0,11217.0,13532.0,0.0,8.29,8.29,0.0,0.0,0.0,0.0,0.0
