Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Deferred Tax Assets [Net],Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,3232.0,3232.0,193842.0,193842.0,197074.0,62711.0,12215.0,0.0,0.0,74926.0,22770.0,57862.0,10767.0,4167.0,95566.0,367583.0,80368.0,29038.0,32673.0,9043.0,151122.0,52692.0,28436.0,0.0,232250.0,33370.0,42932.0,10664.0,36624.0,11277.0,466.0,135333.0,367583.0,75955.0,8222.0,524.0,261118.0,248.0,2108.56,18039.0,34781.0,21655.0,12780.0,17.0,302630.0,3719.0,4218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,3236.0,3236.0,212923.0,212923.0,216159.0,76227.0,12677.0,0.0,1404.0,90308.0,12914.0,54470.0,19063.0,4854.0,91301.0,397785.0,79778.0,34785.0,65178.0,10575.0,190316.0,62058.0,29259.0,0.0,281633.0,50515.0,36551.0,4661.0,11571.0,12307.0,547.0,116152.0,397785.0,80641.0,7785.0,622.0,209169.0,229.0,2108.56,16950.0,45920.0,19158.0,32165.0,17.0,241456.0,3217.0,9788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,3240.0,3240.0,236936.0,236936.0,240176.0,77866.0,13159.0,0.0,1489.0,92514.0,14490.0,54521.0,54841.0,1170.0,125022.0,457720.0,91477.0,39933.0,97296.0,9583.0,238289.0,112630.0,16237.0,0.0,367156.0,39429.0,28034.0,3495.0,6892.0,11938.0,776.0,90564.0,457720.0,79905.0,8013.0,1311.0,137634.0,198.0,2108.56,30647.0,83583.0,9949.0,29870.0,8.0,146516.0,4142.0,13897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,3251.0,3251.0,285058.0,285058.0,288309.0,78723.0,24766.0,0.0,2118.0,105607.0,22580.0,68161.0,60817.0,1268.0,152826.0,546746.0,145486.0,9092.0,128283.0,4458.0,287319.0,140544.0,10418.0,2184.0,440465.0,51906.0,34018.0,5472.0,1754.0,4900.0,8231.0,106281.0,546746.0,73386.0,0.0,0.0,0.0,0.0,2108.56,15991.0,124851.0,10731.0,41175.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,6335.0,6335.0,308297.0,308297.0,314632.0,81596.0,27926.0,504.0,2205.0,112231.0,15239.0,88675.0,85815.0,918.0,190647.0,617525.0,191879.0,9085.0,92581.0,6902.0,300447.0,171945.0,17699.0,3522.0,493613.0,53277.0,39568.0,10460.0,2731.0,3533.0,14343.0,123912.0,617525.0,66970.0,221977.0,0.0,0.0,169763.0,5188.89,12182.0,160045.0,13133.0,40144.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,6339.0,6339.0,398983.0,398983.0,405322.0,118098.0,47317.0,504.0,2483.0,168402.0,39097.0,88241.0,73900.0,783.0,202021.0,775745.0,194895.0,8293.0,105155.0,6402.0,314745.0,272043.0,31806.0,4287.0,622881.0,59640.0,44144.0,12110.0,3768.0,4876.0,28326.0,152864.0,775745.0,111869.0,307558.0,0.0,0.0,214337.0,5188.89,12937.0,259314.0,24017.0,35623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,6339.0,6339.0,384875.0,384875.0,391214.0,194402.0,50556.0,3434.0,1410.0,249802.0,59899.0,71048.0,198662.0,1073.0,330682.0,971699.0,297854.0,8624.0,15638.0,12327.0,334443.0,421793.0,44348.0,4461.0,805045.0,70030.0,38802.0,7483.0,8485.0,15028.0,26826.0,166654.0,971699.0,45924.0,260280.0,0.0,0.0,284196.0,5188.89,27475.0,394521.0,31814.0,38216.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,6445.0,6445.0,468038.0,468038.0,474483.0,160598.0,30788.0,4518.0,1499.0,197403.0,33152.0,86999.0,80735.0,901.0,201787.0,873673.0,292092.0,14741.0,20765.0,12070.0,339668.0,252620.0,65698.0,4968.0,662954.0,94665.0,37437.0,4159.0,5573.0,993.0,67892.0,210719.0,873673.0,25921.0,134436.0,0.0,0.0,179929.0,5188.89,21240.0,235348.0,36303.0,58362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,6765.0,6765.0,464762.0,464762.0,471527.0,167231.0,30832.0,6504.0,1598.0,206165.0,27332.0,134005.0,38749.0,896.0,200982.0,878674.0,223824.0,15802.0,19267.0,15395.0,274288.0,330493.0,41951.0,9544.0,656276.0,78304.0,45923.0,14394.0,21714.0,161.0,61902.0,222398.0,878674.0,30426.0,321119.0,0.0,0.0,245752.0,5188.89,62401.0,273377.0,21471.0,56833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,6766.0,6766.0,472328.0,472328.0,479094.0,135561.0,33968.0,3370.0,1296.0,174195.0,80262.0,110722.0,45366.0,926.0,237276.0,890565.0,232238.0,12926.0,30958.0,17957.0,294079.0,303558.0,22448.0,4548.0,624633.0,86074.0,48926.0,16898.0,56811.0,595.0,56628.0,265932.0,890565.0,27421.0,413231.0,0.0,0.0,576842.0,5188.89,2934.0,303180.0,65984.0,20090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,6766.0,6766.0,508330.0,508330.0,515096.0,161059.0,36259.0,5514.0,1701.0,204533.0,50731.0,129859.0,58452.0,972.0,240014.0,959643.0,258911.0,40719.0,44294.0,17338.0,361262.0,301400.0,10051.0,24305.0,697018.0,68663.0,85100.0,14740.0,69248.0,0.0,24874.0,262625.0,959643.0,31018.0,367617.0,0.0,0.0,463715.0,5188.89,6196.0,300930.0,62723.0,5940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,13532.0,13532.0,529555.0,529555.0,543087.0,172025.0,37390.0,10197.0,1767.0,221379.0,26788.0,122379.0,107612.0,1156.0,257935.0,1022401.0,273191.0,43951.0,76322.0,0.0,393464.0,333258.0,4941.0,21175.0,752838.0,57102.0,89216.0,15591.0,82471.0,0.0,25183.0,269563.0,1022401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
