Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Other Assets,Current Investments,Short Term Borrowings,Intangible Assets Under Development,Capital Goods,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,10.15,10.15,604.99,604.99,0.0,615.13,0.19,1.12,0.0,1.31,5.3,2.89,0.04,8.24,624.67,34.79,0.0,5.53,40.31,474.84,6.45,0.0,9.77,531.37,0.0,41.49,17.9,23.21,5.4,93.3,624.67,16.46,4.0,0.0,0.32,474.84,5.3,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,10.15,10.15,615.05,615.05,0.0,625.19,0.3,0.1,0.0,0.4,38.81,5.04,1.17,45.14,670.74,30.85,0.0,0.0,30.85,531.38,4.38,0.0,12.18,578.79,0.0,61.87,24.97,1.32,3.78,91.95,670.74,37.96,4.16,0.0,0.21,531.38,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,10.15,10.15,626.04,626.04,0.0,636.19,0.0,0.09,0.09,0.18,41.59,13.17,0.0,54.77,691.14,25.05,0.0,0.0,28.9,533.14,5.49,0.0,6.96,574.49,0.0,65.45,44.07,0.05,7.09,116.65,691.14,19.26,0.0,0.0,0.03,533.14,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,10.75,10.75,625.64,625.64,0.0,636.39,0.0,0.09,0.17,0.27,122.38,8.98,0.0,131.36,772.19,444.81,0.0,19.77,468.44,52.74,6.46,0.0,7.67,535.31,0.0,94.79,119.87,2.51,19.71,236.89,772.19,41.36,14.68,0.0,16.79,52.74,0.0,4.18,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,11.24,11.24,652.72,652.72,0.0,663.96,0.0,0.16,0.03,0.2,219.46,21.31,0.01,240.77,904.93,424.61,0.0,0.0,424.61,53.85,13.55,0.0,9.48,501.49,0.0,232.39,136.02,1.87,33.17,403.45,904.93,16.71,26.7,0.0,35.14,53.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,11.56,11.56,688.15,688.15,0.0,699.72,46.93,0.28,0.0,47.2,248.2,57.34,0.0,305.54,1052.46,337.48,0.0,5.76,343.24,55.85,10.61,0.0,72.29,481.99,0.0,236.29,135.2,0.0,125.23,570.47,1052.46,16.73,24.88,0.0,26.57,55.85,73.76,0.0,0.0,73.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,14.6,14.6,654.46,654.46,0.0,669.06,0.0,0.79,0.0,0.79,133.44,83.99,0.0,217.43,887.28,21.38,11.06,0.0,32.43,289.85,57.1,0.25,10.08,389.71,0.0,247.85,119.03,0.0,130.7,497.57,887.28,8.11,18.89,0.0,21.34,289.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,13.6,13.6,652.87,652.87,0.0,666.47,0.0,1.02,0.0,1.02,246.57,79.06,0.0,325.63,993.12,22.22,9.2,0.0,31.41,329.46,37.14,0.25,14.99,413.25,0.0,200.72,240.4,0.0,138.74,579.86,993.12,7.22,53.63,0.0,58.33,329.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,13.57,13.57,686.83,686.83,0.0,700.4,0.0,0.9,0.53,1.43,309.01,108.11,0.03,417.16,1118.99,23.85,7.62,0.0,31.47,327.97,28.13,0.0,18.27,405.84,0.0,234.15,200.54,113.49,164.98,713.15,1118.99,49.57,17.65,0.0,23.82,327.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,13.44,13.44,527.91,527.91,25.98,567.33,0.0,1.43,0.57,2.0,231.33,87.35,0.11,318.79,888.12,22.59,5.71,0.98,29.28,327.42,22.55,0.0,29.82,409.07,0.0,176.31,114.55,85.38,102.81,479.05,888.12,150.0,1.82,0.0,0.69,327.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,13.45,13.45,554.47,554.47,27.67,595.59,255.0,0.7,0.43,256.13,327.36,150.21,0.19,477.77,1329.48,25.87,4.86,0.92,31.65,701.15,17.2,0.0,22.52,772.52,0.0,263.41,63.32,105.4,124.83,556.97,1329.48,172.89,0.24,0.0,1.44,701.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,13.46,13.46,712.58,712.58,0.0,726.05,132.19,1.28,0.53,134.0,319.53,145.28,0.22,465.04,1325.08,25.07,2.76,0.0,27.83,661.71,15.05,0.0,24.32,728.91,20.85,257.18,89.33,134.55,94.26,596.17,1325.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
