Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-06-30,3150.47,0.0,3150.47,308.19,21.88,0.0,831.06,1989.34,14.04,2003.38,1077.95,925.43,0.0,925.43,323.39,602.04,602.04,109.98,11.0,10.97,0.0,0.0,0.0,0.0,0.0
2017-09-30,3086.24,0.0,3086.24,336.16,24.07,0.0,742.83,1983.18,16.09,1999.27,1143.76,855.51,0.0,855.51,298.61,556.9,556.9,114.95,10.06,9.95,0.0,0.0,0.0,0.0,0.0
2017-12-31,3540.63,0.0,3540.63,369.52,26.76,0.0,799.91,2344.44,2.66,2347.1,1170.88,1176.22,0.0,1176.22,409.41,766.81,766.81,114.98,13.34,13.21,0.0,0.0,0.0,0.0,0.0
2018-03-31,3534.76,0.0,3534.76,387.54,29.25,0.0,849.11,2268.86,22.47,2291.33,1192.13,1099.2,0.0,1099.2,378.25,720.95,720.95,115.03,12.54,12.42,0.0,0.0,0.0,0.0,0.0
2018-06-30,3791.34,0.0,3791.34,391.67,28.7,321.05,464.23,2585.69,4.85,2590.54,1294.17,1296.37,0.0,1296.37,462.64,833.73,833.73,115.59,14.49,14.37,0.0,0.0,0.0,0.0,0.0
2018-09-30,4045.35,0.0,4045.35,403.81,31.85,0.0,800.9,2808.79,48.04,2856.83,1428.19,1428.64,0.0,1428.64,508.36,920.28,920.28,115.29,15.97,15.84,0.0,0.0,0.0,0.0,0.0
2018-12-31,4657.9,0.0,4657.9,453.03,37.89,444.6,565.68,3156.7,6.64,3163.34,1578.64,1584.7,0.0,1584.7,561.97,1022.73,1022.73,115.31,17.74,17.6,0.0,0.0,0.0,0.0,0.0
2019-03-31,4886.54,0.0,4886.54,480.96,38.93,0.0,998.07,3368.58,1.22,3369.8,1644.22,1725.58,0.0,1725.58,611.99,1113.59,1113.59,115.37,19.31,19.16,0.0,0.0,0.0,0.0,0.0
2019-06-30,5297.78,0.0,5297.78,522.84,56.47,541.77,642.5,3534.2,7.03,3541.23,1797.19,1744.04,0.0,1744.04,619.31,1124.73,1124.73,115.49,19.49,19.34,0.0,0.0,0.0,0.0,0.0
2019-09-30,5696.63,0.0,5696.63,560.67,63.79,581.25,679.58,3811.34,1.07,3812.41,1952.38,1860.03,0.0,1860.03,483.36,1376.67,1376.67,115.55,23.83,23.66,0.0,0.0,0.0,0.0,0.0
2019-12-31,6303.56,0.0,6303.56,650.56,69.72,816.96,730.37,4035.95,14.94,4050.89,2051.64,1999.25,0.0,1999.25,511.1,1488.15,1488.15,119.97,25.19,25.01,0.0,0.0,0.0,0.0,0.0
2020-03-31,6475.44,35.65,6511.09,562.51,80.72,1865.17,745.61,3257.08,4.07,3261.15,2056.34,1204.81,0.0,1204.81,313.24,891.57,891.57,119.99,14.86,14.76,0.0,0.0,0.0,0.0,0.0
2020-06-30,5887.36,13.27,5900.63,482.6,76.98,1640.53,532.88,3167.64,1.1,3168.74,1984.77,1183.97,0.0,1183.97,314.47,869.5,869.5,120.08,14.49,14.4,0.0,0.0,0.0,0.0,0.0
2020-09-30,5746.97,36.2,5783.17,461.18,67.11,1634.99,572.89,3047.0,6.65,3053.65,1868.11,1185.54,0.0,1185.54,308.96,876.58,876.58,120.13,14.6,14.52,0.0,0.0,0.0,0.0,0.0
2020-12-31,5803.89,41.52,5845.41,612.43,73.25,1244.95,625.03,3289.75,2.26,3292.01,1870.24,1421.77,0.0,1421.77,373.19,1048.58,1048.58,120.52,17.45,17.33,0.0,0.0,0.0,0.0,0.0
2021-03-31,5934.17,72.01,6006.18,686.21,84.91,1200.81,743.54,3290.71,4.16,3294.87,1723.27,1571.6,0.0,1571.6,410.75,1160.85,1160.85,120.32,19.31,19.17,0.0,0.0,0.0,0.0,0.0
2021-06-30,5811.68,104.22,5915.9,548.69,82.43,1724.4,648.07,2912.31,1.06,2913.37,1763.9,1149.47,0.0,1149.47,306.55,842.92,842.92,120.46,14.0,13.91,0.0,0.0,0.0,0.0,0.0
2021-09-30,6595.13,213.1,6808.23,848.06,87.58,1239.29,976.9,3656.4,0.55,3656.95,1889.33,1767.62,0.0,1767.62,461.85,1305.77,1305.77,120.51,21.87,21.53,0.0,0.0,0.0,0.0,0.0
2021-12-31,7228.59,294.48,7523.07,920.13,88.8,994.64,940.04,4579.46,2.48,4581.94,1972.1,2609.84,0.0,2609.84,675.99,1933.85,1933.85,120.6,32.08,31.86,0.0,0.0,0.0,0.0,0.0
2022-03-31,7337.05,280.03,7617.08,905.0,96.1,663.73,948.1,5004.15,3.11,5007.26,1947.8,3059.46,0.0,3059.46,791.51,2267.95,2267.95,120.66,37.6,37.36,0.0,0.0,0.0,0.0,0.0
2022-06-30,7843.23,301.45,8144.68,1058.62,102.11,748.04,1055.3,5180.61,1.67,5182.28,2005.99,3176.29,0.0,3176.29,820.37,2355.92,2355.92,120.73,39.04,38.82,0.0,0.0,0.0,0.0,0.0
2022-09-30,8327.28,275.35,8602.63,1124.74,110.82,704.86,1121.72,5540.49,3.63,5544.12,2208.93,3335.19,0.0,3335.19,862.95,2472.24,2472.24,120.82,40.94,40.73,0.0,0.0,0.0,0.0,0.0
2022-12-31,8953.86,259.67,9213.53,1163.87,108.31,810.97,1135.29,5995.09,1.08,5996.17,2455.89,3540.28,0.0,3540.28,916.06,2624.22,2624.22,120.86,43.43,43.22,0.0,0.0,0.0,0.0,0.0
2023-03-31,9455.22,260.97,9716.19,1216.83,122.53,802.59,1132.18,6442.06,1.9,6443.96,2614.21,3829.75,0.0,3829.75,992.39,2837.36,2837.36,120.89,46.95,46.74,0.0,0.0,0.0,0.0,0.0
2023-06-30,10441.93,222.17,10664.1,1366.31,143.32,988.61,1149.88,7015.98,1.59,7017.57,3013.06,4004.51,0.0,4004.51,1045.45,2959.06,2959.06,121.03,48.93,48.73,0.0,0.0,0.0,0.0,0.0
2023-09-30,11175.03,232.83,11407.86,1452.45,145.21,1058.55,1211.7,7539.95,2.12,7542.07,3351.26,4190.81,0.0,4190.81,1085.06,3105.75,3105.75,121.06,51.32,51.13,0.0,0.0,0.0,0.0,0.0
2023-12-31,11853.0,247.23,12100.23,1527.22,161.91,1247.52,1257.35,7906.23,3.39,7909.62,3618.32,4291.3,0.0,4291.3,1113.91,3177.39,3177.39,123.54,51.89,51.69,0.0,0.0,0.0,0.0,0.0
2024-03-31,12486.59,273.9,12760.49,1503.49,178.69,1277.51,1377.48,8423.32,3.94,8427.26,3860.8,4566.46,0.0,4566.46,1164.55,3401.91,3401.91,123.6,55.07,54.88,0.0,0.0,0.0,0.0,0.0
2024-06-30,13386.23,336.88,13723.11,1631.59,185.77,1671.36,1432.99,8801.4,2.63,8804.03,4201.59,4602.44,0.0,4602.44,1200.9,3401.54,3401.54,123.7,55.03,54.87,0.0,0.0,0.0,0.0,0.0
2024-09-30,14487.43,0.0,14487.43,1683.37,195.66,1903.3,1518.54,9186.56,4.36,9190.92,4544.31,4646.61,2544.11,7190.72,1577.01,5613.71,5613.71,123.73,90.76,90.53,0.0,0.0,0.0,0.0,0.0
2024-12-31,15371.02,0.0,15371.02,1808.79,204.56,2007.98,1617.23,9732.46,22.89,9755.35,4777.29,4978.06,0.0,4978.06,1272.25,3705.81,3705.81,123.76,59.89,59.75,0.0,0.0,0.0,0.0,0.0
2025-03-31,15486.39,310.57,15796.96,1783.53,235.99,2300.22,1669.63,9807.59,11.44,9819.03,4914.16,4904.87,0.0,4904.87,964.43,3940.44,3940.44,124.17,63.65,63.5,0.0,0.0,0.0,0.0,0.0
