Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Equity Share Application Money,Deferred Tax Liabilities [Net],Inventories,Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,49.75,49.75,3941.11,3941.11,0.0,0.0,3990.86,10477.76,57.35,110.47,10645.58,5472.78,195.92,4186.85,9981.56,24618.0,196.84,23.03,0.0,0.0,219.87,139.16,112.44,14323.89,28.21,0.0,776.81,9410.37,78.72,10294.11,24618.0,254.61,4.41,0.0,0.0,0.0,0.04,28.21,126.01,0.0,13852.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,50.0,50.0,4749.7,4749.7,0.0,0.0,4799.7,18273.62,135.77,152.08,18561.47,4313.9,269.0,4699.9,9450.03,32811.2,218.26,30.92,0.0,0.0,249.18,212.28,88.6,18844.82,157.2,0.0,219.66,13423.68,165.84,13966.38,32811.2,244.64,6.36,0.0,0.0,175.09,0.04,157.2,167.23,175.09,18119.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,53.55,53.55,7271.06,7271.06,102.03,0.0,7426.64,25286.97,447.4,242.94,25977.31,11737.73,300.91,888.65,13052.57,46456.52,242.95,44.05,0.0,0.0,287.0,280.04,0.0,25930.53,548.92,0.0,1329.15,18436.1,211.82,20525.99,46456.52,0.0,14.83,0.0,0.0,28.0,0.0,260.0,125.28,485.15,24878.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,109.37,109.37,9490.94,9490.94,0.0,0.0,9600.31,33115.96,484.87,1085.62,34686.45,16133.69,309.04,2791.63,19443.68,63730.44,285.9,75.23,0.0,0.0,361.13,369.07,32028.1,33908.46,2984.4,25654.78,325.8,501.17,355.83,29821.98,63730.44,1476.37,17.56,0.0,0.0,328.0,0.0,0.0,209.32,1090.3,59.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,115.03,115.03,16403.26,16403.26,0.0,0.0,16518.29,43167.89,487.53,1121.68,44777.1,18399.14,453.99,3292.07,22333.63,83629.02,343.87,120.79,0.0,0.0,464.66,386.41,43807.32,47103.88,1294.88,34203.92,228.73,256.64,540.97,36525.14,83629.02,141.56,31.54,53.87,0.0,1775.38,0.0,20.04,188.43,2365.58,79.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,115.37,115.37,19448.26,19448.26,0.0,0.0,19563.63,86351.72,337.5,68.88,86758.1,0.0,766.33,1411.81,2178.14,108499.87,495.84,158.49,0.0,0.0,654.33,660.83,204.36,1519.52,10370.41,805.38,241.69,95181.26,381.61,106980.35,108499.87,1997.94,35.39,53.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,119.99,119.99,31480.05,31480.05,0.0,213.17,31813.21,67282.67,419.13,78.87,67780.67,36923.32,816.52,669.85,38409.69,138003.57,1016.16,211.98,0.0,0.0,1228.14,847.61,303.95,2379.7,20138.98,867.18,679.36,113417.08,521.27,135623.87,138003.57,4886.14,203.67,53.87,0.0,0.0,0.0,20138.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,120.32,120.32,35515.17,35515.17,0.0,303.25,35938.74,72773.75,648.26,136.56,73558.57,27092.09,867.97,881.52,28841.58,138338.89,972.44,254.76,7.07,43.99,1278.26,919.21,289.17,2486.64,20169.12,720.1,1385.76,113089.94,487.33,135852.25,138338.89,4831.27,128.17,53.87,0.0,0.0,0.0,20169.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,120.66,120.66,41537.66,41537.66,0.0,397.56,42055.88,93169.87,591.06,162.24,93923.17,29870.38,1063.92,1102.73,32037.03,168016.08,1189.77,408.67,13.27,19.41,1631.12,908.4,324.31,2863.83,16371.82,1017.11,2900.73,144276.25,586.34,165152.25,168016.08,5658.07,177.04,53.87,0.0,0.0,0.0,16371.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,120.89,120.89,50816.78,50816.78,0.0,555.46,51493.13,113789.93,458.73,254.46,114503.12,47894.7,1512.28,1121.52,50528.5,216524.75,1551.96,594.95,14.6,64.93,2226.44,919.0,292.48,3437.92,28737.85,1070.21,3319.46,179097.12,862.19,213086.83,216524.75,6639.93,4245.17,53.87,0.0,0.0,0.0,28737.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,123.6,123.6,71589.72,71589.72,297.21,0.0,72010.53,151140.65,545.63,385.23,152071.51,69238.0,1671.95,1622.46,72532.41,296614.45,2212.46,847.47,25.35,17.24,3102.52,926.71,392.51,4421.74,37153.36,1244.89,9432.26,243334.43,1027.77,292192.71,296614.45,8823.79,1437.0,53.87,0.0,0.0,0.0,37153.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,124.17,124.17,87871.54,87871.54,0.0,0.0,87995.71,0.0,548.09,464.27,1012.36,275217.6,1927.72,1716.17,278861.49,367869.56,2543.97,1043.14,26.74,0.0,3613.85,1044.14,635.51,5293.5,41716.23,1416.39,12455.39,304359.16,2628.89,362576.06,367869.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
