Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Current Investments
2014-03-31,23.8,23.8,2458.28,2458.28,0.0,2482.08,1520.35,737.37,383.47,40.61,2681.8,723.62,187.66,729.18,64.22,1704.68,6868.56,4521.91,119.16,349.52,4.72,0.0,4995.31,283.41,338.68,1.62,5619.02,685.53,303.96,44.61,206.59,8.85,1249.54,6868.56,1372.51,8.89,80.98,0.0,20.95,111.89,217.26,45.35,12.69,461.09,21.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,23.81,23.81,2621.38,2621.38,0.0,2645.19,1710.02,827.06,404.89,39.9,2981.87,553.61,219.75,547.44,122.42,1443.22,7070.28,4763.91,111.61,257.52,5.14,0.0,5138.18,355.83,374.54,2.06,5870.61,520.58,380.22,61.85,233.76,3.26,1199.67,7070.28,1678.15,4.51,64.14,0.0,20.96,467.16,238.47,23.64,10.42,297.02,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,23.81,23.81,3068.82,3068.82,0.0,3092.63,1058.61,852.07,520.27,17.21,2448.16,701.66,209.1,547.06,26.56,1484.38,7025.17,4825.38,79.52,138.31,8.53,0.0,5051.74,365.37,302.36,3.64,5723.11,549.02,468.48,90.77,192.11,1.68,1302.06,7025.17,1269.42,2.35,39.97,0.15,20.96,510.33,255.85,2.56,14.22,449.89,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,23.81,23.81,3717.7,3717.7,0.0,3741.51,503.63,728.14,11.48,3.61,1246.86,634.51,255.79,1083.72,46.51,2020.53,7008.9,4877.28,65.1,97.42,22.84,240.63,5303.27,148.32,46.29,92.43,5590.31,575.43,554.9,118.08,27.26,142.92,1418.59,7008.9,0.0,0.0,0.0,0.0,20.96,4.41,22.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,23.56,23.56,4018.62,4018.62,0.0,4042.18,416.31,759.68,12.71,8.65,1197.35,582.64,267.14,952.68,48.43,1850.89,7090.42,5008.78,51.76,150.03,24.89,237.57,5473.03,159.27,41.84,118.0,5792.14,559.94,442.31,119.41,31.1,145.52,1298.28,7090.42,1522.67,282.38,35.09,0.0,20.96,5.25,22.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,23.56,23.56,4436.55,4436.55,0.0,4460.11,701.18,870.44,13.07,15.69,1600.38,713.58,257.21,1051.64,25.29,2047.72,8108.21,5066.36,54.87,830.77,21.82,254.68,6228.5,174.77,34.34,294.76,6732.37,559.67,489.97,92.76,27.38,206.06,1375.84,8108.21,2538.84,337.45,59.85,0.0,20.96,4.55,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,23.56,23.56,4873.48,4873.48,21.52,4918.56,1832.34,917.23,20.89,24.03,2794.49,800.06,341.44,1163.41,29.04,2333.95,10047.0,5731.63,56.66,1814.27,26.1,238.81,7867.47,188.7,60.05,362.81,8479.03,645.26,526.85,91.42,29.79,274.65,1567.97,10047.0,2450.0,480.23,71.47,0.0,20.96,3.48,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,23.59,23.59,5582.83,5582.83,20.38,5626.8,2162.62,1087.65,19.4,32.06,3301.73,939.1,363.43,1082.69,32.01,2417.23,11345.76,6662.86,57.71,2325.46,29.73,236.02,9311.78,200.92,70.4,311.5,9894.6,597.9,375.18,141.86,27.7,308.52,1451.16,11345.76,2257.06,256.27,11.24,0.0,20.99,5.75,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,23.63,23.63,6501.23,6501.23,0.0,6524.86,2857.29,824.04,29.65,41.25,3752.23,1072.66,489.22,1179.63,36.91,2778.42,13055.51,7463.42,67.44,2992.15,41.86,220.72,10785.59,201.27,85.03,279.06,11350.95,833.33,349.77,176.04,20.39,325.03,1704.56,13055.51,2073.78,361.4,7.3,0.0,20.99,5.67,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,23.63,23.63,6769.9,6769.9,0.0,6793.53,3622.16,928.51,35.66,53.34,4639.67,865.26,637.26,1541.19,39.98,3083.69,14516.89,9865.67,90.04,1926.89,60.44,218.57,12161.61,202.31,29.67,235.91,12629.5,882.34,464.96,168.59,19.54,351.96,1887.39,14516.89,1810.2,1132.18,8.16,0.0,20.99,277.96,83.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,23.63,23.63,7120.49,7120.49,0.0,7144.12,3927.21,1030.43,33.24,69.44,5060.32,989.61,990.96,1939.33,44.01,3963.91,16168.35,11432.88,393.76,1329.2,49.24,216.62,13421.7,223.12,28.38,250.54,13923.74,982.3,852.15,135.18,19.85,255.13,2244.61,16168.35,1922.2,679.9,0.03,0.0,20.99,0.0,83.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
