Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,807.65,10.93,818.58,129.05,0.0,10.7,115.3,65.0,67.89,244.23,186.41,1.84,188.25,42.0,146.25,0.0,146.25,27.92,118.33,0.0,0.0,118.33,23.81,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,961.56,2.65,964.21,156.12,0.0,-1.94,130.17,63.07,103.07,303.7,210.02,38.25,248.27,44.96,203.31,0.0,203.31,20.87,182.44,0.0,0.0,182.44,23.81,8.0,8.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,942.92,29.17,972.09,157.36,4.35,5.73,129.26,70.67,66.32,300.51,237.89,1.86,239.75,29.14,210.61,0.0,210.61,54.68,155.93,0.0,0.0,155.93,23.81,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,969.95,49.8,1019.75,157.89,7.35,-7.21,120.3,70.02,66.67,314.77,289.96,1.91,291.87,28.16,263.71,0.0,263.71,56.7,207.01,0.0,0.0,207.01,23.81,9.0,9.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,930.76,32.13,962.89,151.5,10.0,3.42,128.32,69.78,66.14,305.43,228.3,1.85,230.15,26.11,204.04,0.0,204.04,52.16,151.88,0.0,0.0,151.88,23.81,6.0,6.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1013.24,12.99,1026.23,173.83,9.37,13.0,140.58,67.26,66.4,369.65,186.14,5.76,191.9,20.11,171.79,0.0,171.79,37.32,134.47,0.0,0.0,134.47,23.81,6.0,6.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,990.54,38.28,1028.82,168.75,11.1,-20.78,168.13,74.94,72.0,336.24,218.44,5.24,223.68,15.45,208.23,0.0,208.23,52.42,155.81,0.0,0.0,155.81,23.6,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,1066.43,0.0,1066.43,125.12,3.69,-15.35,172.54,79.33,71.81,399.57,229.72,7.23,236.95,17.27,219.68,0.0,219.68,51.16,168.52,0.0,0.0,168.52,23.56,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,1047.51,8.85,1056.36,120.79,5.6,16.87,170.77,75.93,72.97,431.11,162.32,5.16,167.48,16.03,151.45,0.0,151.45,28.71,122.74,0.0,0.0,122.74,23.56,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,1250.76,3.99,1254.75,155.67,9.61,3.16,217.63,73.78,75.42,522.73,196.75,19.01,215.76,10.46,205.3,0.0,205.3,96.71,108.59,0.0,0.0,108.59,23.56,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,1185.97,33.91,1219.88,159.89,0.0,-23.44,256.29,81.96,73.46,494.9,176.82,4.92,181.74,11.44,170.3,0.0,170.3,45.32,124.98,0.0,0.0,124.98,23.56,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,1141.26,42.28,1183.54,137.77,0.0,7.0,236.02,83.91,72.81,471.69,174.34,5.91,180.25,13.12,167.13,0.0,167.13,52.66,114.47,0.0,0.0,114.47,23.56,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,1206.5,3.93,1210.43,145.6,0.0,2.33,271.26,81.28,75.57,495.98,138.41,6.56,144.97,13.48,131.49,0.0,131.49,30.42,101.07,0.0,0.0,101.07,23.56,4.0,4.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1526.51,5.91,1532.42,161.81,0.0,32.41,293.75,82.34,76.68,636.99,248.44,11.05,259.49,12.83,246.66,0.0,246.66,81.29,165.37,0.0,0.0,165.37,23.56,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2019-06-30,1348.57,35.33,1383.9,168.23,0.0,-14.21,266.07,88.39,75.79,516.1,283.53,8.16,291.69,13.52,278.17,0.0,278.17,86.2,191.97,0.0,0.0,191.97,23.56,8.0,8.0,0.0,0.0,0.0,0.0,0.0
2019-09-30,1282.35,34.31,1316.66,172.47,0.0,-11.96,271.25,98.7,76.54,490.99,218.67,9.22,227.89,14.73,213.16,0.0,213.16,45.01,168.15,0.0,0.0,168.15,23.56,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,1272.76,5.22,1277.98,167.55,0.0,4.22,259.18,96.55,79.68,547.61,123.19,8.45,131.64,21.5,110.14,0.0,110.14,15.34,94.8,0.0,0.0,94.8,23.56,4.0,4.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,1381.74,8.16,1389.9,189.81,0.0,-25.44,254.37,84.56,83.25,607.38,195.97,11.37,207.34,21.6,185.74,0.0,185.74,39.57,146.17,0.0,0.0,146.17,23.56,6.0,6.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,1023.39,18.42,1041.81,125.83,0.0,34.21,151.09,97.45,84.43,373.25,175.55,10.09,185.64,29.93,155.71,0.0,155.71,46.11,109.6,0.0,0.0,109.6,23.56,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,1216.71,40.28,1256.99,144.32,0.0,-10.14,182.21,110.16,85.45,388.46,356.53,8.32,364.85,26.52,338.33,0.0,338.33,102.56,235.77,0.0,0.0,235.77,23.58,10.0,10.0,0.0,0.0,0.0,0.0,0.0
2020-12-31,1324.89,14.18,1339.07,154.53,0.0,21.04,213.74,99.83,89.62,452.94,307.37,6.35,313.72,15.99,297.73,0.0,297.73,96.38,201.35,0.0,0.0,201.35,23.59,9.0,9.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1623.71,6.86,1630.57,232.33,0.0,1.41,247.63,94.69,95.8,605.5,353.21,9.88,363.09,15.18,347.91,0.0,347.91,133.55,214.36,0.0,0.0,214.36,23.59,9.0,9.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,1205.08,23.59,1228.67,146.28,0.0,-28.14,220.65,104.99,95.61,420.88,268.4,6.0,274.4,24.3,250.1,0.0,250.1,81.12,168.98,0.0,0.0,168.98,23.59,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,1493.12,0.0,1493.12,204.24,0.0,9.73,0.0,109.55,98.5,775.77,295.33,7.91,303.24,29.4,273.84,0.0,273.84,-243.24,517.08,0.0,0.0,517.08,23.6,22.0,22.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,1541.37,7.7,1549.07,246.07,0.0,11.48,415.08,105.67,99.2,539.91,131.66,6.81,138.47,25.28,113.19,0.0,113.19,30.62,82.57,0.0,0.0,82.57,23.63,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1697.66,11.46,1709.12,207.5,0.0,0.52,466.78,94.25,107.53,644.93,187.61,9.92,197.53,33.42,164.11,0.0,164.11,40.04,124.07,0.0,0.0,124.07,23.63,6.0,6.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,1749.45,23.04,1772.49,215.81,0.0,-22.04,524.37,108.22,106.38,645.47,194.28,6.9,201.18,47.48,153.7,0.0,153.7,41.43,112.27,0.0,0.0,112.27,23.63,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,1753.46,30.9,1784.36,223.7,0.0,-10.25,666.38,112.12,121.58,608.6,62.23,8.84,71.07,55.05,16.02,0.0,16.02,4.55,11.47,0.0,0.0,11.47,23.63,0.48,0.48,0.0,0.0,0.0,0.0,0.0
2022-12-31,2008.76,0.0,2008.76,343.53,0.0,-65.42,0.0,112.82,135.89,1333.19,148.75,9.33,158.08,60.84,97.24,0.0,97.24,29.85,67.39,0.0,0.0,67.39,23.63,2.85,2.85,0.0,0.0,0.0,0.0,0.0
2023-03-31,2569.66,0.0,2569.66,447.34,0.0,83.61,0.0,113.07,140.59,1512.8,272.25,11.63,283.88,77.15,206.73,0.0,206.73,54.32,152.41,0.0,0.0,152.41,23.63,6.44,6.44,0.0,0.0,0.0,0.0,0.0
2023-06-30,2241.09,0.0,2241.09,391.94,0.0,-65.16,0.0,126.55,147.89,1446.3,193.57,7.89,201.46,93.39,108.07,0.0,108.07,29.16,78.91,0.0,0.0,78.91,23.63,3.34,3.34,0.0,0.0,0.0,0.0,0.0
2023-09-30,2329.31,0.0,2329.31,413.72,0.0,28.19,0.0,138.48,157.4,1350.32,241.2,13.48,254.68,116.52,138.16,0.0,138.16,36.86,101.3,0.0,0.0,101.3,23.63,4.28,4.28,0.0,0.0,0.0,0.0,0.0
2023-12-31,2106.13,0.0,2106.13,387.63,0.0,-59.61,0.0,136.76,165.52,1245.97,229.86,6.97,236.83,101.86,134.97,0.0,134.97,41.59,93.38,0.0,0.0,93.38,23.63,3.95,3.95,0.0,0.0,0.0,0.0,0.0
2024-03-31,2673.3,0.0,2673.3,551.89,0.0,69.45,0.0,124.45,165.06,1510.42,252.03,14.0,266.03,103.76,162.27,0.0,162.27,40.88,121.39,0.0,0.0,121.39,23.63,5.13,5.13,0.0,0.0,0.0,0.0,0.0
2024-06-30,2088.37,0.0,2088.37,431.24,0.0,-67.48,566.59,136.71,166.71,701.89,152.71,8.5,161.21,113.05,48.16,0.0,48.16,12.66,35.5,0.0,0.0,35.5,23.63,1.5,1.5,0.0,0.0,0.0,0.0,0.0
2024-09-30,2038.21,0.0,2038.21,405.34,0.0,-4.11,0.0,135.95,168.55,1188.93,143.55,11.29,154.84,119.87,34.97,0.0,34.97,9.39,25.58,0.0,0.0,25.58,23.63,1.08,1.08,0.0,0.0,0.0,0.0,0.0
2024-12-31,1976.57,0.0,1976.57,423.04,0.0,-15.45,463.24,131.6,173.83,694.71,105.6,11.26,116.86,112.51,4.35,329.0,333.35,8.03,325.32,0.0,0.0,325.32,23.63,13.76,13.76,0.0,0.0,0.0,0.0,0.0
