Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-09-30,287.65,0.0,287.65,4.81,-77.86,48.39,67.69,72.24,129.54,42.84,8.2,51.04,18.11,32.93,32.93,13.4,19.53,-0.05,19.48,462.61,0.21,0.21,0.0,0.0,0.0,0.0,0.0
2019-12-31,93.29,0.0,93.29,0.1,-116.13,48.07,69.96,78.84,132.36,-119.91,13.19,-106.72,14.42,-121.14,-121.14,-25.6,-95.54,-0.06,-95.6,462.61,-1.03,-1.03,0.0,0.0,0.0,0.0,0.0
2020-03-31,146.84,0.0,146.84,0.86,173.5,0.0,46.76,71.4,338.66,-484.34,19.63,-464.71,16.64,-481.35,-481.35,32.99,-514.34,-0.09,-514.43,462.61,-5.56,-5.56,0.0,0.0,0.0,0.0,0.0
2020-06-30,431.43,0.0,431.43,0.46,181.09,0.0,66.62,54.1,97.14,32.02,9.95,41.97,17.48,24.49,24.49,-4.97,29.46,-0.07,29.39,462.61,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2020-09-30,294.67,0.0,294.67,0.01,24.1,0.0,63.47,67.32,132.38,7.39,7.33,14.72,17.91,-3.19,-3.19,-12.45,9.26,-0.06,9.2,462.61,0.1,0.1,0.0,0.0,0.0,0.0,0.0
2020-12-31,538.42,0.0,538.42,1.14,119.99,0.0,66.13,80.37,134.25,136.54,8.26,144.8,15.65,129.15,129.15,20.89,108.26,-0.06,108.2,462.61,1.17,1.17,0.0,0.0,0.0,0.0,0.0
2021-03-31,522.24,0.0,522.24,2.03,13.93,0.0,80.89,91.68,394.65,-60.94,9.31,-51.63,11.57,-63.2,-63.2,-26.46,-36.74,-0.07,-36.81,462.61,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0
2021-06-30,267.6,0.0,267.6,4.29,-125.94,0.0,76.25,59.12,192.81,61.07,11.13,72.2,10.88,61.32,61.32,15.64,45.68,-0.07,45.61,483.51,0.47,0.47,0.0,0.0,0.0,0.0,0.0
2021-09-30,464.46,0.0,464.46,7.75,49.64,0.0,88.02,18.71,212.49,87.85,12.09,99.94,7.76,92.18,92.18,24.59,67.59,-0.06,67.53,483.51,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2021-12-31,544.41,0.0,544.41,0.0,43.15,0.0,71.03,17.38,298.69,114.16,11.02,125.18,5.38,119.8,119.8,-51.95,171.75,-0.06,171.69,483.51,1.78,1.78,0.0,0.0,0.0,0.0,0.0
