Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-03-31,1012.61,0.0,1012.61,193.5,28.06,92.57,85.33,33.37,0.0,0.0,239.8,339.98,29.61,369.59,450.76,-81.17,0.0,-81.17,-18.97,-62.2,-62.2,36.89,-3.13,-3.13,0.0,0.0,0.0,0.0,0.0
2019-06-30,871.98,0.0,871.98,192.43,20.05,-18.17,118.74,39.97,0.0,0.0,199.42,319.54,69.7,389.24,487.36,-98.12,0.0,-98.12,-59.28,-38.84,-38.84,39.77,-1.95,-1.95,0.0,0.0,0.0,0.0,0.0
2019-09-30,1442.9,0.0,1442.9,228.98,4.88,-18.06,115.32,41.93,0.0,0.0,152.31,917.54,187.19,1104.73,456.6,648.13,0.0,648.13,12.45,635.68,635.68,39.77,31.97,31.87,0.0,0.0,0.0,0.0,0.0
2019-12-31,915.67,0.0,915.67,209.06,38.0,-24.23,106.58,41.53,0.0,0.0,208.62,336.11,153.1,489.21,376.51,112.7,0.0,112.7,75.98,36.72,36.72,39.83,1.79,1.78,0.0,0.0,0.0,0.0,0.0
2020-03-31,988.71,0.0,988.71,247.38,20.56,50.78,119.64,51.96,0.0,0.0,516.96,-18.57,289.06,270.49,388.93,-118.44,0.0,-118.44,365.84,-484.28,-484.28,45.11,-21.02,-21.02,0.0,0.0,0.0,0.0,0.0
2020-06-30,817.41,0.0,817.41,229.71,20.49,-45.39,120.92,40.67,0.0,0.0,174.55,276.46,38.52,314.98,287.92,27.06,0.0,27.06,4.52,22.54,22.54,45.11,0.95,0.94,0.0,0.0,0.0,0.0,0.0
2020-09-30,1026.45,0.0,1026.45,293.53,44.5,-70.86,106.09,38.14,0.0,0.0,203.15,411.9,92.71,504.61,345.95,158.66,-37.42,121.24,17.93,103.31,103.31,45.11,4.36,4.32,0.0,0.0,0.0,0.0,0.0
2020-12-31,563.08,0.0,563.08,148.24,97.98,-80.3,24.9,8.7,0.0,0.0,32.08,331.48,22.85,354.33,254.02,100.31,-258.35,-158.04,6.62,-164.66,-164.66,45.11,-6.94,-6.94,0.0,0.0,0.0,0.0,0.0
2021-03-31,493.59,0.0,493.59,119.89,61.54,14.99,23.4,7.44,0.0,0.0,-20.73,287.06,23.04,310.1,180.88,129.22,0.0,129.22,50.51,78.71,78.71,45.11,3.32,3.29,0.0,0.0,0.0,0.0,0.0
2021-06-30,512.78,0.0,512.78,115.57,137.65,-23.51,30.25,4.97,0.0,0.0,41.38,206.47,35.98,242.45,183.46,58.99,0.0,58.99,5.86,53.13,53.13,47.73,2.24,2.22,0.0,0.0,0.0,0.0,0.0
2021-09-30,515.35,0.0,515.35,161.77,97.92,-4.37,27.84,6.09,0.0,0.0,34.71,191.39,50.75,242.14,202.59,39.55,-10.2,29.35,-4.99,34.34,34.34,47.73,1.44,1.44,0.0,0.0,0.0,0.0,0.0
2021-12-31,623.91,0.0,623.91,82.71,114.43,29.03,29.86,5.7,0.0,0.0,41.26,320.92,78.6,399.52,207.35,192.17,0.0,192.17,23.59,168.58,168.58,47.73,7.06,7.05,0.0,0.0,0.0,0.0,0.0
2022-03-31,573.64,0.0,573.64,118.3,240.27,-97.61,32.69,6.16,0.0,0.04,47.6,226.19,302.17,528.36,167.76,360.6,0.0,360.6,44.37,316.23,316.23,47.73,13.25,13.23,0.0,0.0,0.0,0.0,0.0
2022-06-30,464.44,0.0,464.44,0.0,0.0,0.0,18.68,5.52,0.0,0.0,111.12,329.12,11.87,340.99,230.13,110.86,11459.96,11570.82,22.29,11548.53,11548.53,47.73,483.88,483.83,0.0,0.0,0.0,0.0,0.0
2022-09-30,455.04,0.0,455.04,0.0,0.0,0.0,20.77,6.88,0.0,0.0,950.2,-522.81,20.82,-501.99,150.32,-652.31,452.3,-200.01,-149.5,-50.51,-50.51,47.73,-2.12,-2.12,0.0,0.0,0.0,0.0,0.0
2022-12-31,3763.21,0.0,3763.21,0.0,0.0,0.0,34.59,8.47,0.0,0.0,615.7,3104.45,10.7,3115.15,164.54,2950.61,0.0,2950.61,58.41,2892.2,2892.2,47.73,121.18,121.17,0.0,0.0,0.0,0.0,0.0
2023-03-31,180.53,0.0,180.53,0.0,0.0,0.0,9.82,2.13,0.0,0.0,20.8,147.78,8.52,156.3,166.78,-10.48,0.0,-10.48,46.4,-56.88,-56.88,47.73,-2.38,-2.38,0.0,0.0,0.0,0.0,0.0
2023-06-30,1194.38,0.0,1194.38,0.0,0.0,0.0,33.22,2.41,0.0,0.0,236.28,922.47,7.96,930.43,201.4,729.03,0.0,729.03,151.99,577.04,577.04,47.73,24.18,24.1,0.0,0.0,0.0,0.0,0.0
2023-09-30,485.88,41.35,527.23,0.0,0.0,0.0,42.66,2.52,0.0,-241.54,573.06,150.53,7.1,157.63,151.02,6.61,0.0,6.61,3.61,3.0,3.0,44.93,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2023-12-31,616.45,19.5,635.95,0.0,0.0,0.0,42.17,2.31,0.0,-126.66,353.78,364.35,62.89,427.24,187.75,239.49,-1676.88,-1437.39,-377.86,-1059.53,-1059.53,44.93,-47.16,-47.16,0.0,0.0,0.0,0.0,0.0
2024-03-31,546.26,874.47,1420.73,0.0,0.0,0.0,34.47,665.39,0.0,419.32,182.91,118.64,12.96,131.6,204.99,-73.39,1311.88,1238.49,284.95,953.54,953.54,44.93,42.44,42.11,0.0,0.0,0.0,0.0,0.0
2024-06-30,500.81,44.39,545.2,0.0,0.0,0.0,46.09,4.39,0.0,-399.06,424.45,469.33,11.43,480.76,197.01,283.75,12.06,295.81,67.74,228.07,228.07,45.1,10.14,10.04,0.0,0.0,0.0,0.0,0.0
2024-09-30,462.71,28.9,491.61,0.0,0.0,0.0,57.28,4.32,0.0,88.29,59.89,281.83,30.73,312.56,202.37,110.19,32.68,142.87,27.18,115.69,115.69,45.1,5.13,5.07,0.0,0.0,0.0,0.0,0.0
2024-12-31,439.9,9.23,449.13,0.0,0.0,0.0,57.3,4.63,0.0,-13.51,104.4,296.31,7.71,304.02,194.17,109.85,127.91,237.76,54.46,183.3,183.3,45.1,8.13,8.04,0.0,0.0,0.0,0.0,0.0
2025-03-31,460.89,18.88,479.77,0.0,0.0,0.0,42.07,4.54,0.0,-84.23,388.6,128.79,69.71,198.5,199.96,-1.46,0.0,-1.46,21.87,-23.33,-23.33,45.1,-1.03,-1.03,0.0,0.0,0.0,0.0,0.0
