Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-12-31,2878.83,18.44,2897.27,1200.86,61.07,-72.5,279.89,78.42,14.72,862.67,472.14,75.23,547.37,25.17,522.2,0.0,522.2,180.44,341.76,341.76,96.42,0.0,33.45,33.45,0.0,0.0,0.0,0.0,0.0
2019-03-31,2982.39,20.56,3002.95,1208.67,51.94,-15.27,303.76,77.95,11.76,704.39,659.75,73.19,732.94,31.61,701.33,0.0,701.33,238.05,463.28,463.28,96.42,0.0,48.05,48.05,0.0,0.0,0.0,0.0,0.0
2019-06-30,2982.83,18.02,3000.85,1217.3,52.35,-17.48,314.56,80.82,0.0,736.82,616.48,72.59,689.07,29.92,659.15,0.0,659.15,221.31,437.84,437.84,96.42,0.0,45.41,45.41,0.0,0.0,0.0,0.0,0.0
2019-09-30,3199.31,16.5,3215.81,1254.74,56.79,53.47,321.97,78.02,8.08,769.33,673.41,56.4,729.81,29.92,699.89,0.0,699.89,104.48,595.41,595.41,96.42,0.0,61.76,61.76,0.0,0.0,0.0,0.0,0.0
2019-12-31,3130.74,18.55,3149.29,1469.59,56.73,-164.91,322.66,79.57,-4.92,792.27,598.3,44.7,643.0,28.38,614.62,0.0,614.62,141.6,473.02,473.02,96.42,0.0,49.06,49.06,0.0,0.0,0.0,0.0,0.0
2020-03-31,3305.78,19.49,3325.27,1483.78,69.65,-100.13,358.37,91.35,7.26,713.03,701.96,42.85,744.81,40.96,703.85,0.0,703.85,178.42,525.43,525.43,96.42,0.0,54.5,54.5,0.0,0.0,0.0,0.0,0.0
2020-06-30,3041.45,9.03,3050.48,1194.2,42.08,95.61,369.6,92.42,10.87,590.56,655.14,37.93,693.07,40.8,652.27,0.0,652.27,165.67,486.6,486.6,96.42,0.0,50.47,50.47,0.0,0.0,0.0,0.0,0.0
2020-09-30,3525.41,16.29,3541.7,1387.77,31.69,64.8,369.68,91.11,15.47,788.7,792.48,34.47,826.95,40.45,786.5,0.0,786.5,199.41,587.09,587.09,96.42,0.0,60.89,60.89,0.0,0.0,0.0,0.0,0.0
2020-12-31,3417.52,15.06,3432.58,1488.49,45.58,-129.61,403.3,95.5,-19.63,867.41,681.54,30.6,712.14,41.97,670.17,0.0,670.17,186.86,483.31,483.31,96.42,0.0,50.12,50.12,0.0,0.0,0.0,0.0,0.0
2021-03-31,3610.82,0.0,3610.82,1513.49,57.18,-73.04,368.07,93.62,0.0,815.25,836.25,29.65,865.9,54.04,811.86,0.0,811.86,209.61,602.25,602.25,96.42,0.0,62.46,62.46,0.0,0.0,0.0,0.0,0.0
2021-06-30,3476.7,0.0,3476.7,1478.46,51.65,-35.35,378.33,95.29,0.0,755.61,752.71,29.47,782.18,51.69,730.49,0.0,730.49,191.91,538.58,538.58,96.42,0.0,55.86,55.86,0.0,0.0,0.0,0.0,0.0
2021-09-30,3882.57,0.0,3882.57,1499.26,58.13,162.45,388.26,95.53,0.0,826.48,852.46,33.66,886.12,51.88,834.24,0.0,834.24,216.87,617.37,617.37,96.42,0.0,64.04,64.04,0.0,0.0,0.0,0.0,0.0
2021-12-31,3706.2,33.12,3739.32,1662.89,60.56,-116.76,386.64,105.75,-14.38,894.69,759.93,27.33,787.26,43.58,743.68,-236.5,507.18,120.52,386.66,386.66,96.42,0.0,40.1,40.1,0.0,0.0,0.0,0.0,0.0
2022-03-31,3980.7,0.0,3980.7,1845.93,74.09,-144.29,396.64,104.28,0.0,883.68,820.37,21.44,841.81,35.57,806.24,0.0,806.24,211.53,594.71,594.71,96.42,0.0,61.68,61.68,0.0,0.0,0.0,0.0,0.0
2022-06-30,4006.86,29.71,4036.57,1847.41,78.97,-68.05,408.36,101.55,0.0,950.39,717.94,19.37,737.31,36.96,700.35,0.0,700.35,185.01,515.34,515.34,96.42,2231.8,53.45,53.45,0.0,0.0,0.0,0.0,0.0
2022-09-30,4566.6,24.4,4591.0,1952.75,69.12,146.05,417.92,98.11,5.96,988.52,912.57,30.64,943.21,36.97,906.24,0.0,906.24,237.9,668.34,668.34,96.42,2903.21,69.32,69.32,0.0,0.0,0.0,0.0,0.0
2022-12-31,4233.27,23.52,4256.79,2006.02,94.95,-179.5,406.95,98.66,3.89,951.47,874.35,29.55,903.9,44.83,859.07,0.0,859.07,231.01,628.06,628.06,96.42,0.0,65.14,65.14,0.0,0.0,0.0,0.0,0.0
2023-03-31,4808.4,22.13,4830.53,2182.65,99.95,-51.07,454.25,101.7,14.48,1034.79,993.78,33.69,1027.47,37.01,990.46,0.0,990.46,253.82,736.64,736.64,96.42,0.0,76.4,76.4,0.0,0.0,0.0,0.0,0.0
2023-06-30,4619.5,39.03,4658.53,1977.46,108.5,19.07,457.24,107.36,3.32,1037.42,948.16,23.95,972.11,32.78,939.33,0.0,939.33,240.99,698.34,698.34,96.42,2760.33,72.43,72.43,0.0,0.0,0.0,0.0,0.0
2023-09-30,5036.82,0.0,5036.82,1917.33,101.76,172.51,517.59,111.16,0.0,1102.76,1113.71,33.27,1146.98,31.38,1115.6,106.42,1222.02,313.94,908.08,908.08,96.42,0.0,94.18,94.18,0.0,0.0,0.0,0.0,0.0
2023-12-31,4583.63,16.79,4600.42,1977.51,107.56,-180.52,420.1,108.69,17.85,1162.8,986.43,30.3,1016.73,22.95,993.78,-107.3,886.48,230.87,655.61,655.61,96.42,2996.33,6.8,6.8,0.0,0.0,0.0,0.0,0.0
2024-03-31,5254.43,13.16,5267.59,2161.93,119.6,-5.67,486.88,108.87,-10.28,1166.31,1239.95,26.75,1266.7,26.2,1240.5,10.08,1250.58,316.41,934.17,934.17,96.42,0.0,9.69,9.69,0.0,0.0,0.0,0.0,0.0
2024-06-30,4813.95,0.0,4813.95,1943.22,106.72,-11.1,505.4,112.71,0.0,1155.38,1001.62,39.12,1040.74,31.68,1009.06,0.0,1009.06,262.46,746.6,746.6,96.42,0.0,7.74,7.74,0.0,0.0,0.0,0.0,0.0
2024-09-30,5104.0,0.0,5104.0,2025.24,105.28,83.4,501.67,121.6,0.0,1220.68,1046.13,6.86,1052.99,32.22,1020.77,290.82,1311.59,325.23,986.36,986.36,96.42,0.0,10.23,10.23,0.0,0.0,0.0,0.0,0.0
2024-12-31,4762.13,17.6,4779.73,2075.82,121.72,-112.94,494.66,132.51,0.0,1115.54,952.42,4.44,956.86,34.6,922.26,0.0,922.26,226.13,696.13,696.13,96.42,4489.06,7.22,7.22,0.0,0.0,0.0,0.0,0.0
2025-03-31,5447.64,56.24,5503.88,2345.87,165.59,-99.02,521.98,155.34,0.0,1180.5,1233.62,8.44,1242.06,37.5,1204.56,0.0,1204.56,319.15,885.41,885.41,96.42,0.0,9.18,9.18,0.0,0.0,0.0,0.0,0.0
