Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2018-06-30,1131.19,0.0,1131.19,605.1,0.0,-91.02,0.0,148.0,94.39,0.0,273.61,101.12,8.47,109.59,27.99,81.6,0.0,81.6,22.39,59.22,0.0,59.22,509.6,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2018-09-30,1391.5,0.0,1391.5,632.58,0.0,15.54,0.0,145.16,91.71,0.0,337.14,169.38,9.82,179.2,25.99,153.21,0.0,153.21,44.06,109.14,0.0,109.14,509.6,2.14,2.14,0.0,0.0,0.0,0.0,0.0
2018-12-31,1291.4,0.0,1291.4,613.44,11.98,-32.4,119.44,158.77,89.19,0.0,151.55,179.43,15.0,194.43,29.41,165.02,0.0,165.02,52.89,112.13,0.0,112.13,509.6,2.2,2.2,0.0,0.0,0.0,0.0,0.0
2019-03-31,1405.42,0.0,1405.42,598.45,7.85,75.42,0.0,142.89,88.62,0.0,321.9,170.29,11.08,181.37,34.29,147.08,0.0,147.08,54.51,92.57,0.0,92.57,509.6,1.82,1.82,0.0,0.0,0.0,0.0,0.0
2019-06-30,1305.33,0.0,1305.33,628.86,0.0,-55.94,0.0,148.59,84.63,0.0,287.66,211.53,7.8,219.33,35.84,183.49,0.0,183.49,60.25,123.24,0.0,123.24,509.6,2.42,2.42,0.0,0.0,0.0,0.0,0.0
2019-09-30,1320.78,0.0,1320.78,582.91,0.0,29.61,0.0,149.33,84.89,0.0,306.95,167.09,7.02,174.11,27.07,147.04,0.0,147.04,9.94,137.1,0.0,137.1,509.6,2.69,2.69,0.0,0.0,0.0,0.0,0.0
2019-12-31,1130.39,0.0,1130.39,500.15,0.0,16.62,0.0,145.36,82.24,0.0,275.57,110.45,9.69,120.14,23.44,96.7,-48.68,48.02,6.12,41.9,0.0,41.9,509.6,0.08,0.08,0.0,0.0,0.0,0.0,0.0
2020-03-31,990.49,0.0,990.49,465.33,0.0,-26.15,0.0,139.85,81.54,0.0,266.26,63.66,6.77,70.43,27.77,42.66,0.0,42.66,3.1,39.56,0.0,39.56,509.6,0.08,0.08,0.0,0.0,0.0,0.0,0.0
2020-06-30,707.93,0.0,707.93,299.0,0.0,17.71,0.0,98.54,82.41,0.0,179.4,30.87,5.43,36.3,23.1,13.2,0.0,13.2,3.1,10.1,0.0,10.1,509.6,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2020-09-30,1171.44,0.0,1171.44,539.68,6.91,-36.53,0.0,147.14,83.1,0.0,290.44,140.7,3.15,143.85,12.3,131.55,0.0,131.55,31.31,100.24,0.0,100.24,509.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2020-12-31,1289.93,0.0,1289.93,574.95,13.28,-9.21,0.0,163.63,82.96,-2.69,311.83,155.18,5.0,160.18,13.21,146.97,57.04,204.01,44.25,159.76,0.0,159.76,509.6,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2021-03-31,1349.99,0.0,1349.99,588.41,7.84,23.24,0.0,168.23,87.99,0.0,326.71,147.57,2.63,150.2,23.39,126.81,-30.43,96.38,20.75,75.63,0.0,75.63,509.6,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2021-06-30,1477.01,0.0,1477.01,666.23,5.74,-73.6,0.0,174.46,87.41,0.0,324.58,292.19,2.85,295.04,25.0,270.04,0.0,270.04,66.54,203.5,0.0,203.5,509.6,0.41,0.41,0.0,0.0,0.0,0.0,0.0
2021-09-30,1662.57,0.0,1662.57,753.11,4.56,-17.38,0.0,165.7,86.72,0.0,353.76,316.1,10.1,326.2,19.87,306.33,0.0,306.33,77.53,228.8,0.0,228.8,509.6,0.46,0.46,0.0,0.0,0.0,0.0,0.0
2021-12-31,1957.66,0.0,1957.66,942.07,1.53,19.16,0.0,175.9,77.52,0.0,416.12,325.36,3.46,328.82,22.38,306.44,-25.2,281.24,72.14,209.1,0.0,209.1,509.6,0.42,0.42,0.0,0.0,0.0,0.0,0.0
2022-03-31,1847.14,0.0,1847.14,1007.53,0.0,-5.14,0.0,148.78,80.96,0.0,368.4,246.61,5.93,252.54,18.47,234.07,0.0,234.07,60.52,173.55,0.0,173.55,509.6,0.35,0.35,0.0,0.0,0.0,0.0,0.0
2022-06-30,1667.07,0.0,1667.07,981.47,0.0,-63.35,0.0,159.33,76.0,0.0,335.45,178.17,4.64,182.81,18.04,164.77,0.0,164.77,40.97,123.8,0.0,123.8,509.6,0.25,0.25,0.0,0.0,0.0,0.0,0.0
