Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Long Term Provisions,Long Term Loans And Advances,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Money Received Against Share Warrants,Deferred Tax Assets [Net],Equity Share Application Money
2015-03-31,508.64,508.64,946.68,946.68,1455.32,1396.1,124.21,0.0,1560.82,815.6,216.3,451.49,4.36,1487.75,4503.89,2860.83,3.03,199.3,22.59,3085.75,11.7,0.0,3270.24,746.54,204.78,16.77,243.71,2.2,1233.65,4503.89,815.63,31.44,3968.07,1866.89,0.0,0.0,11.7,35.43,0.0,0.0,40.51,172.79,19.65,55.53,18.75,24.76,0.0,0.0,0.0
2016-03-31,509.37,569.37,1172.29,1172.29,1801.66,2136.5,172.67,0.0,2317.62,898.75,219.78,422.3,23.66,1564.49,5623.77,3790.73,39.48,57.24,4.39,3891.84,37.02,0.0,4119.43,901.16,183.54,81.79,316.74,1.46,1504.34,5623.77,330.65,31.3,2634.6,1956.02,0.0,0.0,37.02,88.46,0.0,60.0,8.45,190.57,19.65,9.87,14.83,476.27,0.0,0.0,0.0
2017-03-31,509.58,509.58,2214.92,2214.92,2724.5,1744.24,165.72,80.73,1990.69,803.85,172.05,438.64,20.63,1435.17,6150.36,4307.42,36.64,109.76,13.4,4467.22,69.95,108.36,4645.53,768.25,381.68,132.43,0.0,217.58,1504.83,6150.36,80.02,53.9,0.0,0.0,2666.5,11.28,58.67,0.0,4.89,0.0,0.0,0.0,4.89,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,509.6,509.6,2183.89,2183.89,2693.49,1410.78,340.69,0.0,1751.47,1108.44,168.32,393.5,13.85,1684.11,6129.07,3851.7,49.83,176.08,0.5,4078.11,72.98,149.51,4300.6,906.53,477.76,165.87,0.0,267.41,1828.47,6129.07,91.17,0.92,0.0,0.0,2464.5,14.2,1.26,0.0,10.9,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,509.6,509.6,2421.69,2421.69,2931.29,953.62,408.27,0.0,1361.89,1141.96,176.65,472.2,19.25,1810.06,6103.24,3672.51,43.54,131.76,0.0,3847.81,93.0,139.2,4080.01,1000.96,662.0,25.11,0.0,268.23,2023.23,6103.24,114.24,56.11,0.0,0.0,2981.7,33.98,1.5,0.0,6.42,0.0,0.0,0.0,66.93,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,509.6,509.6,2457.3,2457.3,2966.9,689.06,336.73,32.39,1058.18,900.88,200.31,570.77,21.31,1693.27,5718.35,3642.68,38.12,140.84,4.39,3826.03,79.07,69.89,3974.99,911.98,278.48,337.35,0.0,215.55,1743.36,5718.35,235.81,48.58,0.0,0.0,2631.2,20.2,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,509.6,509.6,2806.95,2806.95,3316.55,255.09,320.75,25.14,600.98,1233.61,295.71,285.09,22.22,1836.63,5754.16,3751.17,38.69,57.13,7.16,3854.15,3.9,82.95,3941.0,1008.28,454.51,112.32,0.0,238.05,1813.16,5754.16,35.37,268.23,0.0,0.0,3059.39,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,509.6,509.6,3287.62,3287.62,3797.22,309.66,303.87,27.83,641.36,1260.96,454.59,256.95,19.66,1992.16,6430.74,3676.62,35.39,82.41,0.99,3795.41,3.71,142.08,3941.2,1290.39,528.53,273.39,0.0,397.23,2489.54,6430.74,473.7,288.86,0.0,0.0,4545.94,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,509.6,509.6,3616.17,3616.17,4125.77,804.25,300.33,29.43,1134.01,569.86,548.41,324.71,10.45,1453.43,6713.21,4022.45,31.56,362.24,5.96,4422.21,3.21,319.31,4744.73,1034.31,272.02,351.64,0.0,310.51,1968.48,6713.21,303.12,393.72,0.0,0.0,3335.73,0.0,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,509.6,509.6,3799.5,3799.5,4309.1,1173.42,309.84,29.18,1512.44,887.39,478.94,277.34,57.06,1700.73,7522.27,4519.42,55.33,84.75,2.93,4662.43,51.57,117.26,4831.26,1383.08,413.72,526.99,1.53,365.69,2691.01,7522.27,73.58,372.27,0.0,0.0,4060.8,0.0,51.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
