Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-09-30,79.87,11.4,91.27,0.0,0.0,12.3,3.16,95.92,-20.11,59.41,39.3,50.87,-11.56,-11.56,2.26,-13.83,-13.83,99.76,0.0,-0.69,-0.69,5.02,25.14,14.93,100.0,74.86
2015-12-31,65.35,35.68,101.03,0.0,0.0,12.06,3.46,71.58,13.92,55.79,69.71,41.46,28.25,28.25,3.94,24.31,24.31,99.76,0.0,1.22,1.22,0.0,0.0,0.0,0.0,0.0
2016-03-31,53.46,9.12,62.58,0.0,0.0,9.06,3.78,59.13,-9.39,55.6,46.22,47.91,-1.69,-1.69,-4.8,3.1,3.1,108.13,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0
2016-06-30,49.18,66.93,116.11,0.0,0.0,12.94,3.01,62.75,37.41,62.36,99.77,43.86,55.92,55.92,10.08,45.83,45.83,108.13,0.0,2.13,2.13,0.0,0.0,0.0,0.0,0.0
2016-09-30,18.19,35.23,53.42,0.0,0.0,10.63,3.11,51.03,-11.35,61.86,50.51,47.11,3.41,3.41,-5.95,9.36,9.36,108.18,0.0,0.44,0.44,0.0,0.0,0.0,0.0,0.0
2016-12-31,64.36,98.43,162.79,0.0,0.0,11.06,3.25,76.21,72.27,61.26,133.53,44.48,89.06,89.06,-0.36,89.41,89.41,108.18,0.0,4.15,4.15,0.0,0.0,0.0,0.0,0.0
2017-03-31,84.9,0.0,84.9,0.0,0.0,11.62,3.6,106.53,-36.85,62.63,25.78,43.64,-17.87,-17.87,-14.35,-3.51,-3.51,108.18,0.0,-0.16,-0.16,0.0,0.0,0.0,0.0,0.0
2017-06-30,91.63,0.0,91.63,0.0,0.0,11.3,3.17,86.28,-9.12,135.64,126.52,43.9,82.62,82.62,27.2,55.42,55.42,108.19,0.0,2.56,2.56,0.0,0.0,0.0,0.0,0.0
2017-09-30,83.34,0.0,83.34,0.0,0.0,12.08,3.38,65.4,2.48,74.65,77.13,52.78,24.35,24.35,11.74,12.61,12.61,108.24,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0
2017-12-31,185.88,0.0,185.88,0.0,0.0,14.34,3.8,163.44,4.3,77.77,82.07,54.58,27.49,27.49,7.34,20.15,20.15,108.24,0.0,0.93,0.93,0.0,0.0,0.0,0.0,0.0
2018-03-31,447.79,0.0,447.79,0.0,0.0,47.3,3.89,369.85,26.75,217.31,244.06,50.83,193.23,193.23,71.04,122.19,122.19,108.24,0.0,5.64,5.64,0.0,0.0,0.0,0.0,0.0
2018-06-30,87.82,0.0,87.82,0.0,0.0,23.47,3.02,98.38,-37.05,89.5,52.45,62.34,-9.89,-9.89,0.81,-10.7,-10.7,114.66,0.0,-0.49,-0.49,0.0,0.0,0.0,0.0,0.0
2018-09-30,179.05,0.0,179.05,0.0,0.0,21.83,3.17,183.98,-29.93,99.44,69.51,65.24,4.27,4.27,-22.12,26.39,26.39,114.66,0.0,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2018-12-31,184.99,0.0,184.99,0.0,0.0,19.79,3.49,206.9,-45.19,104.61,59.42,58.14,1.28,1.28,-3.91,5.19,5.19,114.66,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0
2019-03-31,961.56,0.0,961.56,0.0,0.0,78.43,3.45,685.44,194.24,166.7,360.94,71.62,289.32,289.32,100.85,188.47,188.47,114.66,0.0,8.22,8.22,0.0,0.0,0.0,0.0,0.0
2019-06-30,610.06,0.0,610.06,164.21,205.2,22.93,3.8,52.71,161.21,100.87,262.08,65.39,196.69,196.69,66.69,130.0,130.0,126.01,0.0,5.66,5.65,0.0,0.0,0.0,0.0,0.0
2019-09-30,80.62,0.0,80.62,131.92,-104.23,27.14,4.03,55.89,-34.13,136.72,102.59,71.06,31.53,31.53,13.97,17.56,17.56,126.01,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0
