Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-06-30,131512.46,0.0,131512.46,64313.3,45966.65,2246.01,2388.11,2092.85,0.0,8248.43,6257.11,631.37,6888.48,1509.08,5379.4,0.0,5379.4,1783.29,3596.11,3596.11,9414.16,0.0,3.92,3.92,0.0,0.0,0.0,0.0,0.0
2019-09-30,111689.68,0.0,111689.68,61515.65,40711.75,-6065.52,2233.54,2097.54,0.0,9722.04,1474.68,648.05,2122.73,1308.25,814.48,0.0,814.48,251.06,563.42,563.42,9414.16,0.0,0.61,0.61,0.0,0.0,0.0,0.0,0.0
2019-12-31,124615.23,0.0,124615.23,60476.75,43338.02,3076.76,2057.01,2186.19,0.0,9016.36,4464.14,569.71,5033.85,1311.68,3722.17,0.0,3722.17,1383.15,2339.02,2339.02,9414.16,0.0,2.55,2.55,0.0,0.0,0.0,0.0,0.0
2020-03-31,118439.08,0.0,118439.08,60771.33,48519.07,-5667.68,2113.99,2389.52,0.0,12490.19,-2177.34,1722.26,-455.08,1850.44,-2305.52,-11304.64,-13610.16,-8424.84,-5185.32,-5185.32,9414.16,0.0,-5.65,-5.65,0.0,0.0,0.0,0.0,0.0
2020-06-30,62396.6,0.0,62396.6,24135.15,22805.15,693.22,2204.03,2354.54,0.0,7046.78,3157.73,642.19,3799.92,1171.34,2628.58,0.0,2628.58,717.74,1910.84,1910.84,9414.16,0.0,2.08,2.08,0.0,0.0,0.0,0.0,0.0
2020-09-30,85610.51,0.0,85610.51,32228.27,31458.26,1636.87,2490.38,2403.63,0.0,8369.56,7023.54,1537.37,8560.91,221.1,8339.81,0.0,8339.81,2112.5,6227.31,6227.31,9414.16,0.0,6.78,6.78,0.0,0.0,0.0,0.0,0.0
2020-12-31,106336.46,0.0,106336.46,45185.41,39440.62,744.59,2882.29,2466.68,0.0,8461.63,7155.24,1269.49,8424.73,628.57,7796.16,0.0,7796.16,2879.57,4916.59,4916.59,9414.16,0.0,5.36,5.36,0.0,0.0,0.0,0.0,0.0
2021-03-31,123714.04,0.0,123714.04,55099.13,49958.05,-8622.25,3135.34,2579.45,1195.45,9446.53,10922.34,1101.67,12024.01,1072.91,10951.1,0.0,10951.1,2169.8,8781.3,8781.3,9414.16,0.0,9.56,9.56,0.0,0.0,0.0,0.0,0.0
2021-06-30,118670.52,0.0,118670.52,62360.25,39322.13,-5122.84,2427.75,2634.17,-140.0,8697.15,8491.91,563.56,9055.47,1256.99,7798.48,0.0,7798.48,1857.11,5941.37,5941.37,9414.16,0.0,6.47,6.47,0.0,0.0,0.0,0.0,0.0
2021-09-30,135417.76,0.0,135417.76,64109.92,49991.5,-1640.27,2681.87,2705.74,468.03,9178.6,7922.37,1433.72,9356.09,985.74,8370.35,0.0,8370.35,2010.3,6360.05,6360.05,9414.16,0.0,6.93,6.93,0.0,0.0,0.0,0.0,0.0
2021-12-31,166788.16,0.0,166788.16,77629.79,65619.85,720.47,2688.33,2778.7,-471.0,10738.61,7083.41,1375.28,8458.69,979.13,7479.56,0.0,7479.56,1618.76,5860.8,5860.8,9414.16,0.0,6.38,6.38,0.0,0.0,0.0,0.0,0.0
2022-03-31,177287.31,0.0,177287.31,90401.52,66144.62,-6154.38,3193.75,2887.3,6.59,12067.69,8740.22,951.7,9691.92,1607.24,8084.68,0.0,8084.68,2062.8,6021.88,6021.88,9414.16,0.0,6.56,6.56,0.0,0.0,0.0,0.0,0.0
2022-06-30,224252.63,0.0,224252.63,121373.07,92016.76,-6790.69,2426.35,2847.11,90.36,13777.85,-1488.18,683.65,-804.53,1724.71,-2529.24,0.0,-2529.24,-536.71,-1992.53,-1992.53,9414.16,0.0,-1.45,-1.45,0.0,0.0,0.0,0.0,0.0
2022-09-30,207485.3,0.0,207485.3,107277.71,82793.03,-1001.58,2191.47,2961.65,82.22,14182.4,-1001.6,2198.4,1196.8,1441.03,-244.23,0.0,-244.23,28.12,-272.35,-272.35,14121.24,0.0,-0.19,-0.19,0.0,0.0,0.0,0.0,0.0
2022-12-31,204740.2,0.0,204740.2,108851.35,76325.27,1797.58,1880.54,3099.03,120.65,12171.43,494.35,1715.06,2209.41,1952.76,256.65,0.0,256.65,-191.36,448.01,448.01,14121.24,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0
2023-03-31,202994.07,0.0,202994.07,103190.98,73244.0,-1069.92,2271.49,2951.65,10.1,10007.15,12388.62,1638.11,14026.73,1811.77,12214.96,0.0,12214.96,2156.27,10058.69,10058.69,14121.24,0.0,7.3,7.3,0.0,0.0,0.0,0.0,0.0
2023-06-30,197526.57,0.0,197526.57,95388.37,58846.28,7638.34,2834.9,3152.2,6.2,10648.58,19011.7,688.47,19700.17,1626.33,18073.84,0.0,18073.84,4323.4,13750.44,13750.44,14121.24,0.0,9.98,9.98,0.0,0.0,0.0,0.0,0.0
2023-09-30,179739.82,0.0,179739.82,90387.98,59891.74,-6591.04,2795.1,3279.66,-96.72,12039.72,18033.38,982.46,19015.84,1845.97,17169.87,0.0,17169.87,4202.55,12967.32,12967.32,14121.24,0.0,9.42,9.42,0.0,0.0,0.0,0.0,0.0
2023-12-31,199103.97,0.0,199103.97,106514.27,67174.28,-4404.52,2622.07,4341.3,295.77,11413.42,11147.38,1452.91,12600.29,1832.09,10768.2,0.0,10768.2,2704.81,8063.39,8063.39,14121.24,0.0,5.86,5.86,0.0,0.0,0.0,0.0,0.0
2024-03-31,197978.23,0.0,197978.23,98001.96,69017.05,5202.87,2827.49,3736.44,62.94,12430.76,6698.72,1656.98,8355.7,2023.4,6332.3,0.0,6332.3,1494.61,4837.69,4837.69,14121.24,0.0,3.51,3.51,0.0,0.0,0.0,0.0,0.0
2024-06-30,193235.52,0.0,193235.52,104355.32,64728.67,888.04,2699.51,3755.65,235.87,11693.38,4879.08,533.9,5412.98,1960.27,3452.71,0.0,3452.71,809.53,2643.18,2643.18,14121.24,0.0,1.92,1.92,0.0,0.0,0.0,0.0,0.0
2024-09-30,173847.58,0.0,173847.58,97518.62,63418.87,-6040.56,2493.53,3717.93,-170.21,12854.91,54.49,1374.79,1429.28,2413.75,-984.47,1157.3,172.83,-7.18,180.01,180.01,14121.24,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2024-12-31,193899.5,0.0,193899.5,96798.22,65687.06,7457.9,2391.8,3896.14,-17.27,14465.19,3220.46,1881.73,5102.19,2311.78,2790.41,679.67,3470.08,596.55,2873.53,2873.53,14121.24,0.0,2.09,2.09,0.0,0.0,0.0,0.0,0.0
2025-03-31,194967.02,0.0,194967.02,100849.42,68583.73,-3224.75,2778.82,3914.42,95.04,12312.3,9658.04,1173.42,10831.46,2045.79,8785.67,1.05,8786.72,1521.87,7264.85,7264.85,14121.24,0.0,5.28,5.28,0.0,0.0,0.0,0.0,0.0
