Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Trade/Other Goods
2014-03-31,2427.95,2427.95,63564.13,63564.13,65992.08,31683.58,5616.18,13411.58,390.12,51101.46,48915.54,35697.29,24319.15,26388.26,135320.24,252413.78,62256.62,692.17,33150.64,728.59,96828.02,16311.49,4626.48,70.02,117836.01,7282.7,64697.37,11023.1,2608.53,41574.33,7391.74,134577.77,252413.78,56409.36,26286.49,21524.67,83.46,2280.27,25934.61,13021.74,0.0,7282.7,0.0,202592.23,812.49,429.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,2427.95,2427.95,65542.02,65542.02,67969.97,32731.26,6720.21,15216.48,410.2,55078.15,16979.31,29199.77,23310.68,27311.59,96801.35,219849.47,65624.77,626.7,35563.98,759.52,102574.97,16628.58,4620.34,94.56,123918.45,7270.91,45543.85,6758.17,111.9,31451.69,4794.5,95931.02,219849.47,43297.09,26652.38,15667.56,342.43,2280.27,25454.23,13358.46,0.0,7270.91,0.0,165680.94,944.32,294.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,2369.67,2369.67,85764.64,85764.64,88134.31,24937.56,6858.99,18156.92,2386.29,52339.76,17545.81,22331.82,30369.49,9782.98,80030.1,220504.17,90594.59,752.38,20329.56,695.52,112372.05,30085.66,1127.78,6227.97,149813.46,7095.74,38739.11,7548.6,512.94,732.86,16061.46,70652.15,220504.17,44150.49,0.0,0.0,0.0,2280.27,32031.68,8830.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,4739.34,4739.34,94989.38,94989.38,99728.72,20312.04,6759.23,1173.96,2926.98,31172.21,30072.76,30134.29,49180.56,18924.73,128312.34,259213.27,106900.73,978.76,10223.36,514.46,118617.31,40109.19,1096.83,6895.37,166718.7,7195.41,62240.87,8502.37,86.5,1747.93,12721.49,92494.57,259213.27,58537.87,0.0,0.0,0.0,2427.95,39440.72,14142.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,9478.69,9478.69,100692.33,100692.33,110171.02,18717.6,12019.57,1926.12,2023.32,34686.61,36807.56,33106.05,51807.07,14161.6,135882.28,280739.91,112887.65,1039.67,13860.99,487.44,128275.75,39088.94,2031.01,8289.24,177684.94,8399.32,65313.21,10116.52,81.36,467.51,18677.05,103054.97,280739.91,51411.87,211314.0,0.0,22445.0,7283.86,38999.1,15060.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,9181.04,9181.04,99476.47,99476.47,108657.51,34666.36,15823.07,2214.12,883.66,53587.21,48593.55,38679.0,56052.56,10137.89,153463.0,315707.72,117331.22,1376.61,22160.52,1438.44,142306.79,41339.58,2281.4,5336.83,191264.6,8415.8,71470.38,15448.02,91.36,1378.2,27639.36,124443.12,315707.72,46827.58,263449.91,0.0,22254.54,9037.98,0.0,1884.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,9181.04,9181.04,84587.83,84587.83,93768.87,49250.64,11413.14,2832.06,919.05,64414.89,63486.08,25224.3,54601.67,9594.75,152906.8,311090.56,131752.76,1929.04,28134.1,1603.65,163419.55,31052.17,3256.75,7209.23,204937.7,8086.39,63677.62,12844.09,589.11,1054.79,19900.86,106152.86,311090.56,48120.0,267121.92,0.0,18591.33,9037.98,0.0,1612.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,9181.04,9181.04,101319.0,101319.0,110500.04,55407.95,12964.73,3423.59,943.93,72740.2,41172.86,33874.59,66512.83,9253.56,150813.84,334054.08,140916.14,2483.8,31600.61,1451.52,176452.07,39752.12,2556.12,5308.88,224069.19,8867.29,78188.01,13397.68,1668.27,970.66,6892.98,109984.89,334054.08,50499.67,188281.8,0.0,10877.55,9037.98,0.0,5331.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,9181.04,9181.04,122105.32,122105.32,131286.36,50579.83,13627.36,10639.95,907.81,75754.95,60218.67,42469.34,69215.51,9394.27,181297.79,388339.1,144313.53,2575.31,42764.6,1681.47,191334.91,50021.82,2263.92,7396.63,251017.28,7764.82,103206.94,18136.57,882.98,439.95,6890.56,137321.82,388339.1,72662.25,346729.0,0.0,22100.07,9037.98,35683.37,26242.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,13771.56,13771.56,120985.98,120985.98,134757.54,58157.63,14613.0,10556.9,910.43,84237.96,74337.82,48676.4,68316.5,9629.87,200960.59,419956.09,162646.7,2838.72,47201.13,1789.56,214476.11,47357.57,2189.83,6143.92,270167.43,10161.7,113853.41,15539.9,773.01,366.87,9093.77,149788.66,419956.09,94419.12,512231.9,0.0,26857.11,9037.98,36912.4,27655.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,13771.56,13771.56,162943.42,162943.42,176714.98,41367.53,16637.1,10810.17,917.63,69732.43,75128.21,51500.96,74073.91,10090.13,210793.21,457240.62,177618.95,3247.8,57024.23,2041.41,239932.39,61557.28,2464.72,7188.32,311142.71,9530.9,112507.49,12779.41,832.2,470.68,9977.23,146097.91,457240.62,83394.15,432998.13,0.0,40512.04,9037.98,45738.17,28132.62,9530.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,13771.56,13771.56,164905.3,164905.3,178676.86,51529.04,18252.55,11390.23,884.0,82055.82,82936.5,52368.02,74472.74,9490.4,219267.66,480000.34,185149.74,3461.98,73453.16,0.0,262064.88,60901.17,2907.25,8033.95,333907.25,10016.03,105611.92,17813.0,516.01,502.21,11633.92,146093.09,480000.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
