Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-03-31,404.94,4.28,409.22,151.73,59.74,-1.14,52.42,11.86,0.0,67.13,67.48,0.87,68.35,9.02,59.33,0.0,59.33,11.35,47.97,47.97,22.25,2.16,2.16,5.92,26.67,14.89,91.41,67.03
2015-06-30,367.98,2.94,370.92,156.7,42.99,-4.06,51.74,10.08,0.0,56.79,56.68,0.34,57.02,12.27,44.75,0.0,44.75,5.06,39.69,39.69,22.25,1.78,1.78,5.92,26.67,14.89,91.41,67.03
2015-09-30,439.06,3.14,442.2,162.6,44.46,27.32,56.77,10.74,0.0,77.21,63.1,0.49,63.59,13.47,50.12,0.0,50.12,3.86,46.26,46.26,22.25,2.08,2.08,5.92,26.67,14.89,91.41,67.03
2015-12-31,388.58,2.03,390.61,153.38,61.15,-30.76,59.51,11.61,0.0,77.75,57.96,0.72,58.68,10.68,47.99,0.0,47.99,6.39,41.6,41.6,22.25,1.87,1.87,0.0,0.0,0.0,0.0,0.0
2016-03-31,451.25,3.49,454.73,161.11,68.98,-0.64,62.62,12.21,0.0,85.34,65.11,0.09,65.2,10.31,54.89,0.0,54.89,14.37,40.52,40.52,22.25,1.82,1.82,0.0,0.0,0.0,0.0,0.0
2016-06-30,403.62,2.13,405.75,153.3,60.64,-9.42,63.78,9.25,0.0,69.1,59.09,0.8,59.9,8.87,51.03,0.0,51.03,7.97,43.05,43.05,22.25,1.93,1.93,0.0,0.0,0.0,0.0,0.0
2016-09-30,459.26,3.45,462.7,143.2,89.16,8.08,62.42,12.62,0.0,84.13,63.09,1.31,64.4,6.03,58.38,0.0,58.38,9.09,49.29,49.29,22.25,2.22,2.22,0.0,0.0,0.0,0.0,0.0
2016-12-31,422.92,2.55,425.46,144.78,73.66,1.6,63.74,14.95,0.0,71.1,55.64,0.03,55.66,11.19,44.47,0.0,44.47,7.17,37.31,37.31,22.25,1.68,1.68,0.0,0.0,0.0,0.0,0.0
2017-03-31,488.54,0.0,488.54,159.71,92.02,1.35,66.73,15.56,0.0,84.95,68.22,14.15,82.37,2.55,79.81,0.0,79.81,23.91,55.91,55.91,22.25,2.52,2.52,0.0,0.0,0.0,0.0,0.0
2017-06-30,438.6,0.0,438.6,143.94,89.22,0.76,68.88,13.19,0.0,74.74,47.88,0.55,48.43,6.29,42.14,0.0,42.14,8.02,34.12,34.12,22.25,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2017-09-30,474.55,0.0,474.55,161.73,87.03,5.73,67.58,13.82,0.0,78.44,60.22,0.62,60.84,7.92,52.92,0.0,52.92,12.78,40.14,40.14,22.25,1.81,1.81,0.0,0.0,0.0,0.0,0.0
2017-12-31,509.93,0.0,509.93,203.99,84.01,-27.28,72.28,26.3,0.0,89.17,61.46,4.23,65.69,6.27,59.42,0.0,59.42,12.76,46.66,46.66,22.25,2.1,2.1,0.0,0.0,0.0,0.0,0.0
2018-03-31,544.13,0.0,544.13,227.29,71.0,-24.45,75.2,27.73,0.0,111.94,55.43,1.3,56.73,12.19,44.53,0.0,44.53,8.81,35.72,35.72,22.25,1.61,1.61,0.0,0.0,0.0,0.0,0.0
2018-06-30,537.26,0.0,537.26,217.61,51.51,6.28,79.02,10.83,0.0,96.29,75.71,0.58,76.29,13.45,62.84,0.0,62.84,17.47,45.37,45.37,22.25,2.04,2.04,0.0,0.0,0.0,0.0,0.0
2018-09-30,564.45,0.0,564.45,239.68,61.79,-6.98,84.0,11.26,0.0,111.73,62.97,1.0,63.97,15.5,48.47,0.0,48.47,10.65,37.82,37.82,22.25,1.7,1.7,0.0,0.0,0.0,0.0,0.0
2018-12-31,578.89,0.0,578.89,253.5,64.4,-9.14,81.0,13.6,0.0,113.2,62.34,1.57,63.91,6.25,57.66,0.0,57.66,16.25,41.41,41.41,22.25,1.86,1.86,0.0,0.0,0.0,0.0,0.0
2019-03-31,583.23,0.0,583.23,235.65,67.81,-0.56,83.68,14.3,0.0,132.98,49.36,2.9,52.27,9.38,42.89,0.0,42.89,8.73,34.16,34.16,22.25,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2019-06-30,573.71,0.0,573.71,232.16,59.45,0.52,84.48,16.94,0.0,104.48,75.68,1.14,76.82,8.95,67.87,0.0,67.87,19.73,48.14,48.14,22.25,2.17,2.17,0.0,0.0,0.0,0.0,0.0
2019-09-30,589.35,0.0,589.35,204.17,91.47,0.12,88.41,17.02,0.0,112.43,75.74,8.55,84.29,10.81,73.49,0.0,73.49,21.34,52.15,52.15,22.25,2.35,2.35,0.0,0.0,0.0,0.0,0.0
2019-12-31,595.43,0.0,595.43,212.0,67.45,24.66,84.59,17.32,0.0,158.08,31.32,1.28,32.6,9.22,23.38,0.0,23.38,4.29,19.09,19.09,22.25,0.86,0.86,0.0,0.0,0.0,0.0,0.0
2020-03-31,524.19,0.0,524.19,202.5,66.73,-12.95,86.64,16.27,0.0,111.19,53.8,0.11,53.91,8.26,45.65,0.0,45.65,6.85,38.79,38.79,22.25,1.75,1.75,0.0,0.0,0.0,0.0,0.0
2020-06-30,200.68,0.0,200.68,68.76,18.84,6.97,56.57,14.27,0.0,48.7,-13.43,4.61,-8.82,5.05,-13.87,0.0,-13.87,-5.37,-8.49,-8.49,22.25,-0.38,-0.38,0.0,0.0,0.0,0.0,0.0
2020-09-30,519.83,0.0,519.83,182.22,50.44,28.3,76.39,16.22,0.0,96.62,69.63,1.24,70.87,1.79,69.08,0.0,69.08,17.64,51.44,51.44,22.25,2.32,2.32,0.0,0.0,0.0,0.0,0.0
2020-12-31,654.36,0.0,654.36,232.89,77.66,17.6,85.04,16.22,0.0,119.32,105.63,1.18,106.81,1.07,105.74,-11.81,93.93,28.04,65.88,65.88,22.25,2.97,2.97,0.0,0.0,0.0,0.0,0.0
2021-03-31,738.62,0.0,738.62,283.4,110.46,-18.14,100.27,15.92,0.0,135.81,110.9,3.67,114.57,2.89,111.68,0.0,111.68,28.45,83.23,83.23,22.25,3.75,3.75,0.0,0.0,0.0,0.0,0.0
2021-06-30,448.88,0.0,448.88,246.66,57.05,-105.46,88.69,16.33,0.0,100.75,44.87,4.91,49.78,2.71,47.07,0.0,47.07,13.19,33.89,33.89,22.25,1.53,1.53,0.0,0.0,0.0,0.0,0.0
2021-09-30,808.29,0.0,808.29,280.92,108.47,29.69,99.6,16.85,0.0,128.88,143.89,6.82,150.71,1.56,149.14,0.0,149.14,46.06,103.08,103.08,22.25,4.64,4.64,0.0,0.0,0.0,0.0,0.0
2021-12-31,848.45,0.0,848.45,327.7,134.15,-17.05,99.86,17.16,0.0,152.09,134.54,5.83,140.36,2.14,138.22,0.0,138.22,40.95,97.27,97.27,22.25,4.38,4.38,0.0,0.0,0.0,0.0,0.0
2022-03-31,895.26,0.0,895.26,366.27,106.57,-13.34,111.69,17.2,0.0,163.13,143.74,5.21,148.95,3.2,145.75,0.0,145.75,54.72,91.03,91.03,22.25,4.1,4.1,0.0,0.0,0.0,0.0,0.0
2022-06-30,881.48,0.0,881.48,347.54,133.52,-15.43,115.22,17.83,0.0,155.35,127.45,5.98,133.44,3.87,129.57,0.0,129.57,33.1,96.47,96.47,22.25,4.34,4.34,0.0,0.0,0.0,0.0,0.0
2022-09-30,900.2,0.0,900.2,318.71,132.97,36.55,113.8,17.81,0.0,194.47,85.9,19.47,105.37,3.44,101.93,0.0,101.93,25.71,76.22,76.22,22.25,3.43,3.43,0.0,0.0,0.0,0.0,0.0
2022-12-31,877.17,0.0,877.17,352.72,121.92,4.13,108.85,18.03,0.0,164.53,107.0,6.07,113.07,3.96,109.11,0.0,109.11,27.75,81.36,81.36,22.25,3.66,3.66,0.0,0.0,0.0,0.0,0.0
2023-03-31,961.81,0.0,961.81,382.84,113.05,13.61,119.65,18.72,-49.37,219.32,143.99,13.6,157.59,4.09,153.5,0.0,153.5,40.71,112.79,112.79,22.25,5.08,5.08,0.0,0.0,0.0,0.0,0.0
2023-06-30,882.39,0.0,882.39,392.54,107.51,-35.56,126.98,21.83,0.0,160.75,108.34,9.9,118.24,5.67,112.57,0.0,112.57,28.46,84.11,84.11,22.25,3.79,3.79,0.0,0.0,0.0,0.0,0.0
2023-09-30,987.92,0.0,987.92,403.03,135.71,-18.83,129.95,22.1,0.0,197.67,118.29,8.75,127.05,5.68,121.37,0.0,121.37,31.04,90.33,90.33,22.25,4.07,4.07,0.0,0.0,0.0,0.0,0.0
2023-12-31,934.31,0.0,934.31,396.81,119.49,-12.77,129.05,21.6,0.0,194.69,85.46,8.75,94.21,7.7,86.5,0.0,86.5,21.9,64.61,64.61,22.25,2.91,2.91,0.0,0.0,0.0,0.0,0.0
2024-03-31,1025.64,0.0,1025.64,454.92,88.63,26.4,128.67,20.91,24.06,179.26,102.79,12.05,114.84,7.09,107.75,0.0,107.75,30.73,77.02,77.02,22.25,3.47,3.47,0.0,0.0,0.0,0.0,0.0
2024-06-30,952.23,0.0,952.23,409.63,137.29,-6.45,142.84,21.18,0.0,149.9,97.83,13.86,111.69,8.21,103.48,0.0,103.48,29.58,73.91,73.91,22.25,3.33,3.33,0.0,0.0,0.0,0.0,0.0
2024-09-30,1063.19,0.0,1063.19,525.48,108.46,-18.9,149.49,21.71,0.0,176.28,100.67,10.91,111.57,9.63,101.94,0.0,101.94,26.25,75.69,75.69,22.25,3.41,3.41,0.0,0.0,0.0,0.0,0.0
2024-12-31,1003.5,0.0,1003.5,493.97,122.13,-45.32,151.06,22.02,0.0,177.87,81.77,13.43,95.2,7.9,87.3,0.0,87.3,23.46,63.84,63.84,22.25,2.87,2.87,0.0,0.0,0.0,0.0,0.0
