Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Deferred Tax Assets [Net],Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,46.57,46.57,2646.74,2646.74,2693.31,1359.99,179.1,0.47,30.33,1569.88,107.02,562.5,661.65,104.15,1435.31,5698.5,2025.43,0.0,131.4,0.0,2156.84,570.35,151.69,26.14,2905.02,770.54,508.41,525.21,251.66,346.58,391.08,2793.48,5698.5,1224.51,135.16,0.0,1826.87,47.93,8.68,0.0,570.35,66.1,706.18,59.09,59.24,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,46.57,46.57,3449.11,3449.11,3495.67,1574.49,163.91,0.53,32.28,1771.21,77.98,628.62,249.89,152.4,1108.89,6375.77,1956.09,0.0,207.68,0.0,2163.77,648.79,184.7,23.25,3020.5,454.95,537.18,559.47,591.81,474.4,737.46,3355.27,6375.77,1943.89,128.58,0.0,2701.08,48.57,8.68,11.56,638.77,16.04,439.95,67.09,68.03,52.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,46.57,46.57,3534.95,3534.95,3581.52,1393.28,236.97,61.01,21.74,1712.99,896.1,431.7,526.39,30.46,1884.65,7179.16,2270.96,5.97,321.94,0.29,2599.17,697.76,20.38,433.05,3750.35,723.21,366.35,1420.16,374.69,45.3,499.11,3428.81,7179.16,393.0,152.28,0.0,2429.85,58.13,8.68,0.0,91.28,49.18,765.31,49.16,65.31,241.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,46.57,46.57,4185.36,4185.36,4231.93,790.35,303.29,29.82,26.89,1150.35,907.68,463.95,889.29,33.82,2294.74,7677.03,2361.21,12.4,374.26,0.29,2748.16,948.69,3.76,472.29,4172.9,823.17,426.49,1379.94,278.17,25.25,571.1,3504.12,7677.03,364.95,0.0,0.0,0.0,0.0,8.68,0.0,368.74,93.12,1098.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,93.13,93.13,4521.15,4521.15,4614.28,909.8,254.46,15.37,19.46,1199.09,1166.6,688.87,639.31,57.81,2552.58,8365.95,2514.61,13.01,302.4,0.29,2830.31,1676.52,20.96,386.69,4914.48,384.0,538.05,1790.8,187.69,2.8,548.13,3451.47,8365.95,537.01,0.0,0.0,0.0,0.0,55.24,0.0,1100.33,178.38,1305.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,93.13,93.13,5305.09,5305.09,5398.22,1418.16,270.21,0.11,25.1,1713.57,1621.99,811.87,349.29,44.13,2827.27,9939.06,2610.45,23.43,712.62,0.29,3346.79,1651.6,21.49,511.84,5531.72,540.3,760.42,2258.36,369.84,2.77,475.65,4407.34,9939.06,608.34,751.84,0.0,0.0,3744.25,55.24,228.85,1963.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,93.13,93.13,5261.94,5261.94,5355.06,1562.56,131.06,48.79,48.65,1791.06,1408.35,611.25,506.95,44.76,2571.31,9717.44,2788.98,18.79,894.53,0.29,3702.58,1290.1,55.28,406.6,5454.56,1062.5,757.6,1654.91,444.2,17.74,325.93,4262.87,9717.44,585.7,548.07,0.0,0.0,2675.31,55.24,142.27,287.76,53.42,1009.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,93.13,93.13,5855.5,5855.5,5948.63,1760.93,234.58,177.18,46.58,2219.26,1556.02,800.93,541.61,48.11,2946.66,11114.55,3445.09,13.92,269.92,0.29,3729.22,1495.57,32.56,622.17,5879.52,2073.47,874.86,1580.38,280.13,2.84,423.36,5235.03,11114.55,902.87,330.18,0.0,0.0,1975.18,55.24,107.61,291.1,422.57,1650.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,93.13,93.13,7016.65,7016.65,7109.78,1300.65,288.79,239.99,31.31,1860.73,2598.54,966.99,258.25,46.57,3870.34,12840.85,3290.83,10.29,248.01,0.29,3549.42,2000.05,34.22,805.62,6389.3,1899.49,1111.06,2481.05,382.84,30.3,546.81,6451.55,12840.85,671.8,469.71,0.0,0.0,3688.12,55.24,98.58,472.35,294.3,1605.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,93.13,93.13,7606.87,7606.87,7700.0,1203.18,200.01,384.64,22.03,1809.86,3232.45,1212.67,192.11,47.02,4684.25,14194.1,3232.44,5.26,303.23,0.29,3541.22,3526.4,131.7,608.84,7808.15,752.7,1263.84,3243.37,402.37,22.58,701.1,6385.95,14194.1,370.52,656.26,0.0,0.0,4475.62,55.24,185.69,1224.59,144.08,608.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,93.13,93.13,8475.66,8475.66,8568.78,1282.06,152.35,326.5,53.79,1814.7,3142.5,1287.12,276.34,98.21,4804.17,15187.65,3151.75,4.66,376.04,0.29,3532.74,3456.12,43.83,552.09,7584.78,1008.98,1329.49,3618.18,1053.92,103.69,488.63,7602.87,15187.65,236.19,838.57,0.0,0.0,4935.78,55.24,141.71,447.52,321.45,687.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,95.63,95.63,10868.64,10868.64,10964.27,659.42,106.65,307.29,90.98,1164.35,3322.26,1386.33,282.21,140.84,5131.63,17260.25,3126.56,2.77,838.13,0.0,3967.47,4780.08,5.85,412.1,9165.5,1264.76,1540.17,3819.96,928.54,15.13,526.19,8094.75,17260.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
