Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,1037.12,22.67,1059.79,358.12,-9.42,95.9,81.21,286.87,247.11,25.12,272.23,22.64,249.59,-4.22,245.37,81.56,163.81,163.81,46.57,0.0,7.03,7.03,0.0,0.0,0.0,0.0,0.0
2016-03-31,1011.31,0.0,1011.31,322.67,31.2,89.84,74.51,262.62,230.47,29.14,259.61,24.35,235.26,0.0,235.26,69.69,165.57,165.57,46.57,0.0,7.11,7.11,0.0,0.0,0.0,0.0,0.0
2016-06-30,888.76,15.66,904.42,325.82,-15.05,91.58,73.96,257.66,170.45,25.64,196.09,17.02,179.07,0.0,179.07,57.01,122.06,122.06,46.57,0.0,5.24,5.24,0.0,0.0,0.0,0.0,0.0
2016-09-30,872.28,18.61,890.89,317.15,-10.33,90.42,72.61,245.98,175.06,30.91,205.97,18.94,187.03,0.0,187.03,60.14,126.89,126.89,46.57,0.0,5.45,5.45,0.0,0.0,0.0,0.0,0.0
2016-12-31,919.4,24.3,943.7,341.91,-34.31,90.47,73.89,285.04,186.7,20.75,207.45,18.28,189.17,0.0,189.17,60.55,128.62,128.62,46.57,0.0,5.52,5.52,0.0,0.0,0.0,0.0,0.0
2017-03-31,1125.66,0.0,1125.66,387.91,7.44,103.48,74.39,306.9,245.54,22.19,267.73,18.53,249.2,38.02,287.22,79.72,207.5,207.5,46.57,0.0,8.91,8.91,0.0,0.0,0.0,0.0,0.0
2017-06-30,1200.79,0.0,1200.79,412.52,8.26,106.42,77.4,340.28,255.91,25.93,281.84,18.54,263.3,0.0,263.3,88.22,175.08,175.08,46.57,0.0,7.52,7.52,0.0,0.0,0.0,0.0,0.0
2017-09-30,1258.02,0.0,1258.02,450.73,-9.83,107.05,78.11,340.63,291.33,36.61,327.94,21.67,306.27,0.0,306.27,102.55,203.72,203.72,46.57,0.0,4.37,4.37,0.0,0.0,0.0,0.0,0.0
2017-12-31,1390.55,0.0,1390.55,517.18,-21.62,110.92,80.73,367.74,335.6,21.93,357.53,14.3,343.23,0.0,343.23,115.06,228.17,228.17,93.13,0.0,4.9,4.9,0.0,0.0,0.0,0.0,0.0
2018-03-31,1466.61,0.0,1466.61,534.74,-4.97,111.51,70.51,407.63,347.19,34.22,381.41,30.33,351.08,-133.21,217.87,117.54,100.33,100.33,93.13,0.0,2.16,2.16,0.0,0.0,0.0,0.0,0.0
2018-06-30,1479.66,0.0,1479.66,557.02,-22.4,122.87,82.39,393.58,346.21,34.26,380.47,25.29,355.18,0.0,355.18,120.72,234.46,234.46,93.13,0.0,5.04,5.04,0.0,0.0,0.0,0.0,0.0
2018-09-30,1679.21,0.0,1679.21,662.86,-6.74,121.92,91.44,466.79,342.95,33.8,376.75,32.08,344.67,0.0,344.67,117.18,227.49,227.49,93.13,0.0,4.88,4.88,0.0,0.0,0.0,0.0,0.0
2018-12-31,1692.52,0.0,1692.52,680.55,-57.16,122.26,90.66,421.04,435.17,47.85,483.02,13.55,469.47,0.0,469.47,159.64,309.83,309.83,93.13,0.0,6.65,6.65,0.0,0.0,0.0,0.0,0.0
2019-03-31,1668.6,0.0,1668.6,656.46,-34.91,119.24,82.15,410.53,435.13,50.12,485.25,31.48,453.77,0.0,453.77,154.26,299.51,299.51,93.13,0.0,6.43,6.43,0.0,0.0,0.0,0.0,0.0
2019-06-30,1346.57,0.0,1346.57,549.53,-51.24,123.79,88.6,374.96,260.93,40.1,301.03,38.79,262.24,0.0,262.24,88.1,174.13,174.13,93.13,0.0,3.74,3.74,0.0,0.0,0.0,0.0,0.0
2019-09-30,1259.45,0.0,1259.45,468.0,37.66,121.74,89.31,311.93,230.81,49.53,280.33,29.15,251.18,0.0,251.18,6.31,244.87,244.87,93.13,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0
2019-12-31,1076.68,0.0,1076.68,381.78,38.3,117.93,82.26,303.11,153.31,39.78,193.09,35.59,157.5,0.0,157.5,29.69,127.81,127.81,93.13,0.0,2.74,2.74,0.0,0.0,0.0,0.0,0.0
2020-03-31,881.18,0.0,881.18,368.23,-43.36,118.91,84.7,327.09,25.61,31.48,57.09,41.5,15.59,-93.91,-78.33,-5.03,-73.3,-73.3,93.13,0.0,-1.57,-1.57,0.0,0.0,0.0,0.0,0.0
2020-06-30,426.97,0.0,426.97,133.41,51.03,113.78,80.84,131.58,-83.67,41.96,-41.7,29.9,-71.61,0.0,-71.61,-15.3,-56.31,-56.31,93.13,0.0,-1.21,-1.21,0.0,0.0,0.0,0.0,0.0
2020-09-30,881.46,0.0,881.46,352.12,-31.73,110.81,88.27,293.72,68.27,31.31,99.58,7.52,92.06,-2.91,89.15,18.91,70.25,70.25,93.13,0.0,1.51,1.51,0.0,0.0,0.0,0.0,0.0
2020-12-31,1035.73,0.0,1035.73,454.39,-71.34,110.22,96.35,327.64,118.47,35.23,153.7,26.84,126.86,-5.47,121.39,28.68,92.71,92.71,93.13,0.0,1.99,1.99,0.0,0.0,0.0,0.0,0.0
2021-03-31,1307.35,0.0,1307.35,555.94,-29.37,113.43,100.62,308.25,258.47,31.96,290.43,13.66,276.77,-0.8,275.97,70.52,205.45,205.45,93.13,0.0,4.41,4.41,0.0,0.0,0.0,0.0,0.0
2021-06-30,1371.85,0.0,1371.85,537.98,-16.89,121.64,101.9,337.74,289.48,33.29,322.77,40.57,282.2,-61.65,220.55,53.86,166.69,166.69,93.13,0.0,3.58,3.58,0.0,0.0,0.0,0.0,0.0
2021-09-30,1606.59,0.0,1606.59,668.92,-30.55,127.5,102.57,355.4,382.76,32.24,415.0,14.17,400.82,0.0,400.82,89.07,311.76,311.76,93.13,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0
2021-12-31,1602.1,0.0,1602.1,711.49,-43.35,128.4,103.12,397.71,304.73,35.82,340.55,11.82,328.73,95.93,424.66,87.26,337.4,337.4,93.13,0.0,7.25,7.25,0.0,0.0,0.0,0.0,0.0
2022-03-31,1674.08,0.0,1674.08,728.88,-3.89,128.26,104.2,389.66,326.97,66.16,393.13,40.74,352.38,-2.48,349.91,87.95,261.96,261.96,93.13,0.0,5.63,5.63,0.0,0.0,0.0,0.0,0.0
2022-06-30,1759.39,0.0,1759.39,781.6,-54.39,135.65,106.44,461.44,328.65,25.94,354.58,26.34,328.24,-3.05,325.19,81.54,243.66,243.66,93.13,0.0,5.23,5.23,0.0,0.0,0.0,0.0,0.0
2022-09-30,1863.94,0.0,1863.94,886.87,-58.73,135.13,106.55,447.65,346.46,47.74,394.19,35.74,358.45,-0.6,357.85,89.73,268.12,268.12,93.13,0.0,5.76,5.76,0.0,0.0,0.0,0.0,0.0
2022-12-31,1952.1,0.0,1952.1,845.84,14.31,136.49,107.91,420.38,427.17,37.75,464.92,84.85,380.07,4.28,384.35,95.17,289.18,289.18,93.13,0.0,6.21,6.21,0.0,0.0,0.0,0.0,0.0
2023-03-31,1997.28,0.0,1997.28,836.35,31.49,135.73,105.06,505.78,382.88,39.08,421.95,65.76,356.19,-40.84,315.35,70.83,244.52,244.52,93.13,0.0,5.25,5.25,0.0,0.0,0.0,0.0,0.0
2023-06-30,2127.29,0.0,2127.29,936.5,5.45,149.38,108.87,487.29,439.8,47.23,487.03,70.52,416.51,0.0,416.51,105.0,311.5,311.5,93.13,0.0,6.69,6.69,0.0,0.0,0.0,0.0,0.0
2023-09-30,2249.39,0.0,2249.39,1049.99,-75.59,150.64,112.85,517.55,493.95,42.38,536.33,72.63,463.7,-2.1,461.6,115.61,345.99,345.99,93.13,0.0,7.43,7.43,0.0,0.0,0.0,0.0,0.0
2023-12-31,2263.38,0.0,2263.38,957.06,-8.0,150.99,112.42,500.17,550.74,34.55,585.29,80.89,504.41,0.0,504.41,126.6,377.81,377.81,93.13,0.0,8.11,8.11,0.0,0.0,0.0,0.0,0.0
2024-03-31,2328.59,0.0,2328.59,937.52,27.16,150.44,107.91,554.31,551.25,38.18,589.43,63.38,526.05,-13.34,512.72,123.06,389.66,389.66,93.13,8475.66,8.37,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-30,2338.1,0.0,2338.1,927.24,50.5,162.61,109.43,546.28,542.04,44.59,586.63,70.18,516.45,-145.66,370.78,101.36,269.42,269.42,93.13,0.0,5.79,5.79,0.0,0.0,0.0,0.0,0.0
2024-09-30,2246.67,0.0,2246.67,932.14,-15.4,161.73,108.34,542.77,517.08,34.8,551.89,63.51,488.38,13.54,501.91,140.75,361.16,361.16,93.13,0.0,7.75,7.75,0.0,0.0,0.0,0.0,0.0
2024-12-31,2095.94,0.0,2095.94,830.16,9.92,158.34,110.39,487.68,499.45,31.39,530.84,57.31,473.53,-0.92,472.61,126.57,346.04,346.04,95.63,0.0,7.38,7.38,0.0,0.0,0.0,0.0,0.0
2025-03-31,2163.03,0.0,2163.03,901.59,-43.99,153.93,112.21,534.82,504.47,48.08,552.54,58.81,493.73,-20.27,473.46,127.84,345.63,345.63,95.63,0.0,7.23,7.23,0.0,0.0,0.0,0.0,0.0
