Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,51.32,51.32,2468.96,2468.96,2520.27,73.22,63.18,19.74,168.62,2232.72,1538.97,2654.25,12.64,6438.58,9127.47,686.67,4.97,10.36,0.0,702.0,1164.31,0.0,256.45,118.73,2241.48,0.0,1598.75,1341.01,68.79,2817.48,1059.95,6885.98,9127.47,2056.03,28.62,7.34,1.37,0.06,0.0,20.67,0.33,1164.31,0.0,12.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,111.19,111.19,3093.24,3093.24,3204.43,262.51,53.47,21.08,351.28,1662.69,1765.56,2415.28,33.91,5877.44,9433.15,627.35,4.93,7.85,0.0,640.14,1156.78,0.0,139.89,147.6,2084.4,0.0,1803.09,1363.22,112.69,2755.42,1314.33,7348.76,9433.15,2227.74,115.86,24.29,1.63,1.91,0.0,20.67,0.71,1156.78,0.0,14.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,111.19,111.19,3149.63,3149.63,3260.82,101.86,49.74,22.8,174.41,1716.57,2771.05,1326.94,5.92,5820.47,9255.69,580.18,3.73,7.64,35.84,627.39,956.78,81.45,11.55,204.35,1881.52,0.23,1656.77,3086.63,215.85,1149.44,1265.25,7374.17,9255.69,1764.6,84.94,27.66,3.11,6.6,0.0,20.67,1.31,1082.61,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,111.19,111.19,3331.1,3331.1,3442.29,9.11,75.45,8.75,93.31,1528.26,2868.82,986.42,24.94,5408.44,8944.03,589.95,2.25,1.27,48.13,641.61,1028.69,135.42,0.0,253.49,2059.2,0.0,1525.83,3535.81,109.46,586.08,1127.65,6884.83,8944.03,1766.52,0.0,0.0,0.0,0.0,0.0,20.67,0.0,1089.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,120.13,120.13,4121.52,4121.52,4241.65,118.53,124.31,15.1,257.95,1045.09,3388.19,1838.88,28.81,6300.97,10800.56,747.83,1.58,22.93,58.65,830.99,1023.74,179.25,487.27,355.59,2876.84,0.0,1695.56,4505.64,65.88,145.17,1511.47,7923.72,10800.56,1253.0,0.0,0.0,0.0,0.0,0.0,20.67,0.0,1204.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,120.13,120.13,4636.65,4636.65,4756.78,319.97,107.93,21.79,449.69,1416.31,4384.39,2111.54,39.89,7952.13,13158.6,1108.6,1.07,13.16,200.08,1322.91,919.27,172.64,321.05,523.7,3259.57,0.0,512.94,3049.57,298.96,175.48,5862.08,9899.03,13158.6,1138.87,0.0,0.0,94.9,0.0,0.0,20.67,0.0,919.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,121.97,121.97,4983.66,4983.66,5105.63,173.67,46.62,37.41,257.7,1477.86,3936.42,1944.5,48.27,7407.05,12770.38,1047.47,0.8,14.83,211.32,1274.42,888.7,205.5,364.48,599.36,3332.46,0.0,514.83,2408.26,316.87,230.18,5967.78,9437.92,12770.38,641.66,123.76,0.0,0.39,0.0,0.0,20.67,0.0,878.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,121.97,121.97,5247.46,5247.46,5369.43,98.6,22.96,44.98,166.54,1427.91,3690.4,1991.1,57.14,7166.55,12702.52,1038.58,0.71,21.53,178.39,1239.21,1058.82,41.14,146.06,607.14,3092.37,15.03,526.8,2520.6,438.51,154.02,5955.19,9610.15,12702.52,870.24,0.0,85.95,0.09,0.0,1.25,20.67,0.0,980.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,121.97,121.97,5681.2,5681.2,5803.17,82.03,19.91,52.52,154.46,1102.05,4260.66,2441.94,64.33,7868.98,13826.61,1063.71,0.72,7.02,263.32,1334.77,893.42,54.14,197.49,630.89,3110.71,1.07,787.78,2384.27,558.54,210.32,6773.92,10715.9,13826.61,567.05,0.0,59.93,0.1,0.0,6.97,20.67,0.0,891.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,125.57,125.57,6196.33,6196.33,6321.9,83.08,22.19,56.2,161.47,896.49,4800.55,3346.48,72.78,9116.3,15599.67,1163.35,7.65,14.74,221.78,1407.52,873.42,47.53,176.48,873.86,3378.81,1.1,1077.84,2788.09,645.63,195.18,7513.02,12220.86,15599.67,363.45,0.0,87.04,0.46,0.0,1.77,20.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,125.57,125.57,6687.12,6687.12,6812.69,53.02,21.96,69.44,144.42,952.01,6095.06,3250.93,80.91,10378.91,17336.02,1175.16,17.3,147.56,144.64,1484.66,1033.35,58.7,238.46,878.29,3693.46,0.0,1433.78,2652.76,1044.14,130.29,8381.59,13642.56,17336.02,522.66,0.0,30.89,0.71,0.0,0.0,20.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
