Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,1697.92,24.6,1722.52,947.89,-189.6,68.99,27.11,736.8,131.33,52.01,183.34,126.34,57.0,0.0,57.0,15.8,41.21,41.21,111.19,0.74,0.74,44.09,79.31,7.01,61.06,12.6
2015-09-30,2066.52,29.92,2096.44,1080.92,-6.45,76.98,27.98,760.57,156.44,51.54,207.98,131.07,76.91,0.0,76.91,21.96,54.95,54.95,111.19,0.99,0.99,44.13,79.39,7.0,61.34,12.6
2015-12-31,2052.79,1.25,2054.04,840.09,154.74,77.65,27.4,796.16,158.0,41.48,199.48,119.93,79.55,0.0,79.55,22.91,56.64,56.64,111.19,1.02,1.02,0.0,0.0,0.0,0.0,0.0
2016-03-31,2446.18,5.98,2452.16,993.04,80.27,77.43,27.47,1092.31,181.64,51.46,233.1,130.26,102.84,-20.32,82.52,12.47,70.05,70.05,111.19,1.26,1.26,0.0,0.0,0.0,0.0,0.0
2016-06-30,1889.99,11.15,1901.14,798.41,-85.3,76.95,27.74,945.34,138.0,28.62,166.62,93.98,72.64,0.0,72.64,20.3,52.34,52.34,111.19,0.94,0.94,0.0,0.0,0.0,0.0,0.0
2016-09-30,1947.53,0.33,1947.86,766.36,87.04,84.63,28.24,838.77,142.82,25.09,167.91,98.61,69.3,4.77,74.07,22.89,51.18,51.18,111.19,0.92,0.92,0.0,0.0,0.0,0.0,0.0
2016-12-31,1903.48,0.17,1903.65,679.03,74.91,82.91,28.44,892.59,145.77,39.29,185.06,100.89,84.17,-7.78,76.39,18.12,58.27,58.27,111.19,1.05,1.05,0.0,0.0,0.0,0.0,0.0
2017-03-31,2139.42,0.0,2139.42,752.08,63.15,87.06,27.64,1062.97,146.52,47.08,193.6,102.22,91.38,-47.33,44.05,-19.66,63.71,63.71,111.19,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2017-06-30,2013.73,0.0,2013.73,605.36,163.95,81.54,27.55,991.9,143.43,20.87,164.3,86.12,78.18,12.42,90.6,27.17,63.43,63.43,111.19,1.14,1.14,0.0,0.0,0.0,0.0,0.0
2017-09-30,1300.12,0.0,1300.12,429.82,-42.82,85.79,29.04,702.98,95.31,42.24,137.55,88.76,48.79,-58.98,-10.19,-30.49,20.3,20.3,111.19,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2017-12-31,1850.69,0.0,1850.69,800.02,-164.87,92.72,29.74,867.7,225.38,28.08,253.46,104.32,149.14,-30.0,119.14,18.78,100.36,100.36,111.19,1.81,1.81,0.0,0.0,0.0,0.0,0.0
2018-03-31,2394.79,0.0,2394.79,1100.08,-115.0,104.06,31.14,1001.22,273.29,24.64,297.93,99.74,198.19,-30.0,168.19,65.48,102.71,102.71,120.13,1.76,1.76,0.0,0.0,0.0,0.0,0.0
2018-06-30,2359.6,0.0,2359.6,899.45,0.0,97.39,34.33,1095.0,233.43,29.54,262.97,101.56,161.41,0.0,161.41,57.74,103.67,103.67,120.13,1.73,1.73,0.0,0.0,0.0,0.0,0.0
2018-09-30,3104.81,0.0,3104.81,1326.85,0.0,107.78,35.72,1305.09,329.37,33.07,362.44,108.16,254.28,-47.5,206.78,81.13,125.65,125.65,120.13,2.09,2.09,0.0,0.0,0.0,0.0,0.0
2018-12-31,3226.48,0.0,3226.48,1295.93,0.0,114.88,38.97,1423.19,353.51,19.61,373.12,124.54,248.58,0.0,248.58,88.35,160.23,160.23,120.13,2.67,2.67,0.0,0.0,0.0,0.0,0.0
2019-03-31,3388.87,0.0,3388.87,1241.36,0.0,119.27,40.35,1630.57,357.32,36.03,393.35,117.0,276.35,-11.43,264.92,90.56,174.36,174.36,120.13,2.9,2.9,0.0,0.0,0.0,0.0,0.0
2019-06-30,2187.68,0.0,2187.68,763.92,0.0,112.34,43.7,1044.83,222.89,25.02,247.91,125.85,122.06,0.0,122.06,40.74,81.32,81.32,120.13,1.35,1.35,0.0,0.0,0.0,0.0,0.0
2019-09-30,1732.0,0.0,1732.0,588.99,0.0,115.27,44.88,794.72,188.14,70.32,258.46,130.75,127.71,-16.5,111.21,31.17,80.04,80.04,120.13,1.34,1.34,0.0,0.0,0.0,0.0,0.0
2019-12-31,2117.16,0.0,2117.16,807.93,0.0,110.48,45.02,948.74,204.99,31.87,236.86,141.76,95.1,-22.88,72.22,-38.09,110.31,110.31,120.13,1.83,1.83,0.0,0.0,0.0,0.0,0.0
2020-03-31,2181.96,0.0,2181.96,783.85,0.0,97.14,43.92,1020.44,236.61,24.06,260.67,119.51,141.16,6.71,147.87,37.5,110.37,110.37,121.97,1.82,1.82,0.0,0.0,0.0,0.0,0.0
2020-06-30,1178.77,0.0,1178.77,407.72,0.0,86.55,43.5,568.87,72.13,32.64,104.77,115.85,-11.08,0.0,-11.08,-28.01,16.93,16.93,121.97,0.28,0.28,0.0,0.0,0.0,0.0,0.0
2020-09-30,1540.8,0.0,1540.8,476.81,0.0,82.62,43.4,771.57,166.4,37.34,203.74,117.72,86.02,0.0,86.02,27.61,58.41,58.41,121.97,0.96,0.96,0.0,0.0,0.0,0.0,0.0
2020-12-31,1918.38,0.0,1918.38,618.77,0.0,90.33,43.88,969.97,195.43,24.47,219.9,106.5,113.4,0.0,113.4,43.1,70.3,70.3,121.97,1.15,1.15,0.0,0.0,0.0,0.0,0.0
2021-03-31,2617.72,0.0,2617.72,874.57,0.0,89.85,43.31,1363.56,246.43,21.15,267.58,117.71,149.87,0.0,149.87,34.38,115.49,115.49,121.97,1.89,1.89,0.0,0.0,0.0,0.0,0.0
2021-06-30,1892.63,0.0,1892.63,645.74,0.0,95.28,44.74,951.93,154.94,19.29,174.23,103.72,70.51,0.0,70.51,18.83,51.68,51.68,121.97,0.85,0.85,0.0,0.0,0.0,0.0,0.0
2021-09-30,2199.03,0.0,2199.03,743.06,0.0,106.2,46.08,1113.15,190.54,24.24,214.78,116.34,98.44,31.14,129.58,25.32,104.26,104.26,121.97,1.71,1.7,0.0,0.0,0.0,0.0,0.0
2021-12-31,2703.93,0.0,2703.93,829.49,0.0,111.96,45.92,1469.67,246.89,19.71,266.6,116.41,150.19,-20.0,130.19,39.22,90.97,90.97,121.97,1.49,1.48,0.0,0.0,0.0,0.0,0.0
2022-03-31,3134.3,0.0,3134.3,1174.52,0.0,115.63,45.6,1577.21,221.34,44.97,266.31,123.13,143.18,134.5,277.68,34.53,243.15,243.15,121.97,3.99,3.95,0.0,0.0,0.0,0.0,0.0
2022-06-30,2958.63,0.0,2958.63,1227.44,0.0,118.57,47.55,1331.38,233.69,31.1,264.79,108.54,156.25,0.0,156.25,36.22,120.03,120.03,124.17,1.97,1.97,0.0,0.0,0.0,0.0,0.0
2022-09-30,3003.71,0.0,3003.71,1159.31,0.0,131.52,49.0,1424.25,239.63,32.79,272.42,122.29,150.13,0.0,150.13,28.5,121.63,121.63,125.57,1.93,1.93,0.0,0.0,0.0,0.0,0.0
2022-12-31,3312.66,0.0,3312.66,1178.48,0.0,133.73,50.91,1651.64,297.9,57.41,355.31,137.78,217.53,0.0,217.53,67.65,149.88,149.88,125.57,2.41,2.41,0.0,0.0,0.0,0.0,0.0
2023-03-31,4016.32,0.0,4016.32,1185.76,0.0,136.6,52.35,2270.12,371.49,30.95,402.44,141.39,261.05,0.0,261.05,83.38,177.67,177.67,125.57,2.83,2.83,0.0,0.0,0.0,0.0,0.0
2023-06-30,3838.25,0.0,3838.25,3249.9,0.0,137.02,52.09,70.74,328.5,27.7,356.2,132.3,223.9,0.0,223.9,61.64,162.26,162.26,125.57,2.58,2.58,0.0,0.0,0.0,0.0,0.0
2023-09-30,4283.22,0.0,4283.22,1680.81,0.0,152.07,52.51,2171.82,226.01,28.46,254.47,153.76,100.71,0.0,100.71,31.67,69.04,69.04,125.57,1.1,1.1,0.0,0.0,0.0,0.0,0.0
2023-12-31,4746.92,0.0,4746.92,1865.37,0.0,173.27,52.82,2228.95,426.51,26.27,452.78,154.79,297.99,0.0,297.99,85.17,212.82,212.82,125.57,3.39,3.39,0.0,0.0,0.0,0.0,0.0
2024-03-31,5446.02,0.0,5446.02,2146.67,0.0,178.49,51.79,2611.18,457.89,41.67,499.56,154.26,345.3,-56.55,288.75,101.39,187.36,187.36,125.57,2.99,2.99,0.0,0.0,0.0,0.0,0.0
2024-06-30,4713.28,0.0,4713.28,1959.81,0.0,176.41,53.13,2137.42,386.51,34.08,420.59,153.17,267.42,0.0,267.42,66.68,200.74,200.74,125.57,3.2,3.2,0.0,0.0,0.0,0.0,0.0
2024-09-30,4444.98,0.0,4444.98,1685.6,0.0,188.85,53.86,2169.35,347.32,35.05,382.37,164.54,217.83,0.0,217.83,57.28,160.55,160.55,125.57,2.55,2.55,0.0,0.0,0.0,0.0,0.0
2024-12-31,4670.98,0.0,4670.98,1901.58,0.0,193.2,52.92,2166.69,356.59,48.77,405.36,160.95,244.41,0.0,244.41,59.01,185.4,185.4,125.57,2.95,2.95,0.0,0.0,0.0,0.0,0.0
2025-03-31,5376.05,0.0,5376.05,2230.81,0.0,200.23,53.01,2449.74,442.26,69.11,511.37,174.04,337.33,-38.63,298.7,84.3,214.4,214.4,125.57,3.41,3.41,0.0,0.0,0.0,0.0,0.0
