Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Loans And Advances,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,85.1,85.1,9243.9,9243.9,9329.0,901.5,125.2,4.7,33.5,1064.9,1763.0,842.3,1029.4,479.5,4114.2,14508.1,2693.7,54.6,576.1,0.0,3324.4,1740.1,0.0,535.8,0.0,5600.3,1066.4,1592.1,4561.5,665.1,194.0,8907.8,14508.1,2051.8,1264.8,0.0,7405.9,194.8,55.87,2.3,1866.7,1076.2,0.0,828.7,1103.1,193.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,85.2,85.2,10548.8,10548.8,10634.0,939.1,129.0,25.5,49.8,1143.4,2185.7,716.0,1237.4,539.5,4678.6,16456.0,3129.4,120.0,488.3,0.0,3737.7,1760.1,0.0,553.8,1.1,6052.7,2102.2,1723.3,4711.7,901.4,99.0,10403.3,16456.0,1919.4,1252.3,0.0,7414.6,72.4,55.87,3.2,1886.8,2142.2,0.0,865.7,1151.2,197.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,85.3,85.3,11520.1,11520.1,11605.4,994.4,35.5,57.1,66.5,1153.5,2089.6,719.2,1409.5,580.4,4798.7,17557.6,3593.8,835.5,615.0,0.0,5044.3,1776.1,0.0,639.6,2.7,7462.7,2112.2,1699.6,3893.5,1268.0,289.0,10094.9,17557.6,972.6,1306.5,0.0,7261.8,278.7,55.87,2.3,1968.8,0.0,2112.2,832.6,1200.3,204.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,82.9,82.9,11517.7,11517.7,11600.6,485.2,0.0,41.1,62.3,588.6,1869.9,778.7,1401.0,208.4,4258.0,16447.2,4043.3,798.8,540.0,0.0,5382.1,1802.8,82.1,193.2,393.2,7853.4,1299.1,1809.7,4405.4,66.8,1012.8,8593.8,16447.2,940.6,0.0,0.0,0.0,0.0,55.87,3.5,3218.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,83.0,83.0,11724.8,11724.8,11807.8,488.0,0.0,31.3,53.3,572.6,2100.8,1061.0,1384.7,173.4,4719.9,17100.3,3979.0,738.3,675.0,0.0,5392.3,1953.7,93.1,199.1,423.6,8061.8,1682.8,1856.8,4203.8,120.7,1174.4,9038.5,17100.3,721.1,1891.6,0.0,7262.3,0.0,55.87,3.0,3700.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,83.0,83.0,12601.1,12601.1,12684.1,345.4,55.5,28.5,54.7,484.1,546.3,1031.6,1316.7,184.7,3079.3,16247.5,3950.4,732.3,400.1,0.0,5082.8,1819.1,0.0,33.2,379.2,7314.3,2114.4,2015.6,3717.7,113.2,972.3,8933.2,16247.5,696.5,1910.4,0.0,0.0,8867.3,55.87,3.8,4033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,83.1,83.1,15108.8,15108.8,15191.9,19.3,0.0,29.6,54.5,103.4,1043.6,1068.4,1861.2,207.3,4180.5,19475.8,3769.8,664.1,384.1,27.7,4845.7,3367.1,612.9,1.2,542.2,9369.1,2118.4,2190.4,4638.7,39.2,1120.0,10106.7,19475.8,1068.6,3961.6,0.0,0.0,8419.3,55.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,83.2,83.2,16900.5,16900.5,16983.7,0.0,0.0,60.5,25.1,85.6,1180.9,1336.4,1744.3,298.7,4560.3,21629.6,3579.2,2265.1,877.1,23.7,6745.1,3392.2,254.8,1.2,292.1,10685.4,1257.0,2819.7,4080.0,1646.5,1141.0,10944.2,21629.6,1062.8,3442.0,0.0,0.0,9769.9,55.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,83.2,83.2,18253.0,18253.0,18336.2,0.0,0.0,103.9,10.4,114.3,2171.1,1666.2,1885.6,322.2,6045.1,24495.6,4024.0,2126.5,1186.4,13.9,7350.8,3024.3,19.4,1.2,616.3,11012.0,1912.4,3347.8,4945.4,2030.5,1247.5,13483.6,24495.6,827.4,4040.1,0.0,0.0,10154.4,55.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,83.3,83.3,20390.9,20390.9,20474.2,0.0,339.2,113.8,7.9,460.9,0.6,1764.5,2369.4,305.2,4439.7,25374.8,4737.9,2468.8,899.1,13.9,8119.7,3142.2,254.6,1.1,68.9,11586.5,4297.8,3043.0,4288.9,645.8,1512.8,13788.3,25374.8,830.2,4148.4,0.0,0.0,12880.3,55.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,83.4,83.4,24157.4,24157.4,24240.8,0.0,416.1,155.0,9.3,580.4,710.0,2044.8,2455.0,328.3,5538.1,30359.3,5109.4,2479.7,1171.9,39.1,8800.1,3202.7,316.1,61.7,162.8,12543.4,4117.9,4018.9,4623.9,1216.9,3838.3,17815.9,30359.3,1763.6,4534.8,0.0,0.0,14670.2,55.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
