Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-09-30,567.35,0.0,567.35,158.12,81.34,45.09,78.41,10.2,111.55,82.65,9.17,91.81,0.24,91.58,91.58,31.89,59.69,59.69,11.27,52.99,52.99,0.0,0.0,0.0,0.0,0.0
2017-12-31,645.77,0.0,645.77,204.41,112.22,13.51,86.92,10.3,102.16,116.25,24.66,140.91,0.21,140.69,140.69,48.99,91.7,91.7,11.27,81.41,81.41,0.0,0.0,0.0,0.0,0.0
2018-03-31,678.67,0.0,678.67,275.26,102.07,-32.79,73.97,10.33,110.38,139.44,7.91,147.35,1.31,146.03,146.03,52.98,93.05,93.05,11.27,82.6,82.6,0.0,0.0,0.0,0.0,0.0
2018-06-30,700.66,0.0,700.66,137.21,221.49,3.55,68.14,10.39,115.89,143.99,9.42,153.4,0.2,153.2,153.2,53.6,99.61,99.61,11.27,88.42,88.42,0.0,0.0,0.0,0.0,0.0
2018-09-30,682.86,0.0,682.86,166.29,188.6,0.06,89.56,10.85,143.42,84.08,14.64,98.72,0.14,98.58,98.58,34.74,63.84,63.84,11.27,56.67,56.67,0.0,0.0,0.0,0.0,0.0
2018-12-31,736.0,0.0,736.0,295.98,102.6,-9.94,64.44,10.3,126.04,146.59,10.02,156.61,0.14,156.47,156.47,55.08,101.39,101.39,11.27,90.0,90.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,689.23,0.0,689.23,267.93,120.47,-7.55,78.92,10.34,131.33,87.79,2.03,89.82,0.62,89.2,89.2,31.05,58.15,58.15,11.27,51.62,51.62,0.0,0.0,0.0,0.0,0.0
2019-06-30,742.0,0.0,742.0,216.01,168.94,23.03,80.99,14.47,112.21,126.34,5.64,131.98,0.84,131.13,131.13,46.23,84.9,84.9,11.27,75.37,75.37,0.0,0.0,0.0,0.0,0.0
2019-09-30,701.58,0.0,701.58,246.36,165.27,-5.06,70.5,13.32,105.59,105.59,9.77,115.36,0.77,114.59,114.59,22.44,92.15,92.15,11.27,81.8,81.8,0.0,0.0,0.0,0.0,0.0
2019-12-31,694.09,0.0,694.09,280.38,119.96,16.23,74.37,14.24,110.45,78.46,13.46,91.92,1.11,90.81,90.81,23.06,67.75,67.75,11.27,60.14,60.14,0.0,0.0,0.0,0.0,0.0
2020-03-31,627.21,0.0,627.21,285.81,137.4,-42.42,71.96,15.35,185.81,-26.7,11.46,-15.24,0.89,-16.13,-16.13,9.7,-25.83,-25.83,11.27,-22.93,-22.93,0.0,0.0,0.0,0.0,0.0
2020-06-30,319.52,0.0,319.52,117.78,92.02,-8.67,83.42,14.5,80.9,-60.43,7.08,-53.35,0.83,-54.17,-54.17,-14.26,-39.91,-39.91,11.27,-35.43,-35.43,0.0,0.0,0.0,0.0,0.0
2020-09-30,647.83,0.0,647.83,185.35,146.55,61.54,73.42,16.14,74.19,90.64,6.06,96.71,0.45,96.26,96.26,25.61,70.65,70.65,11.27,62.89,62.89,0.0,0.0,0.0,0.0,0.0
2020-12-31,683.78,0.0,683.78,292.97,120.82,-1.7,93.61,15.2,97.18,65.7,6.49,72.2,0.86,71.34,71.34,18.66,52.68,52.68,11.27,46.75,46.75,0.0,0.0,0.0,0.0,0.0
2021-03-31,769.23,0.0,769.23,342.11,175.95,-30.3,86.33,13.83,99.55,81.76,7.55,89.31,0.3,89.01,89.01,23.33,65.69,65.69,11.27,58.31,58.31,0.0,0.0,0.0,0.0,0.0
2021-06-30,688.54,0.0,688.54,333.57,193.89,-69.2,88.06,14.28,97.79,30.14,8.07,38.21,0.58,37.64,37.64,9.67,27.96,27.96,11.27,24.82,24.82,0.0,0.0,0.0,0.0,0.0
2021-09-30,776.89,0.0,776.89,308.79,116.99,54.18,88.63,12.84,115.61,79.83,8.33,88.17,0.69,87.48,87.48,22.59,64.88,64.88,11.27,57.6,57.6,0.0,0.0,0.0,0.0,0.0
2021-12-31,763.69,0.0,763.69,294.75,139.06,27.61,93.06,13.22,110.36,85.63,6.06,91.69,0.49,91.2,91.2,23.46,67.74,67.74,11.27,60.13,60.13,0.0,0.0,0.0,0.0,0.0
2022-03-31,849.18,0.0,849.18,363.72,171.99,-21.13,79.65,12.94,105.5,136.51,8.75,145.26,1.88,143.39,143.39,37.79,105.59,105.59,11.27,93.73,93.73,0.0,0.0,0.0,0.0,0.0
2022-06-30,889.77,0.0,889.77,426.7,203.32,-63.62,93.64,13.88,118.58,97.28,10.97,108.25,0.53,107.72,107.72,27.48,80.25,80.25,11.27,71.23,71.23,0.0,0.0,0.0,0.0,0.0
2022-09-30,924.98,0.0,924.98,393.57,186.6,14.86,93.27,14.25,122.04,100.38,34.02,134.4,0.38,134.02,134.02,34.16,99.86,99.86,11.27,88.65,88.65,0.0,0.0,0.0,0.0,0.0
2022-12-31,932.22,0.0,932.22,361.25,201.13,12.09,88.78,13.88,114.5,140.6,11.19,151.8,0.56,151.23,151.23,38.46,112.77,112.77,11.27,100.11,100.11,0.0,0.0,0.0,0.0,0.0
2023-03-31,986.47,0.0,986.47,384.3,222.05,-2.47,89.85,14.1,113.23,165.41,8.04,173.45,5.63,167.82,167.82,44.55,123.27,123.27,11.27,109.42,109.42,0.0,0.0,0.0,0.0,0.0
2023-06-30,976.85,0.0,976.85,404.66,211.93,-21.09,99.19,13.66,123.84,144.66,12.84,157.5,0.96,156.54,156.54,39.87,116.67,116.67,11.27,103.57,103.57,0.0,0.0,0.0,0.0,0.0
2023-09-30,975.42,0.0,975.42,338.67,215.45,33.11,86.51,12.61,123.55,165.51,14.73,180.24,0.74,179.5,179.5,45.7,133.8,133.8,11.27,118.77,118.77,0.0,0.0,0.0,0.0,0.0
2023-12-31,941.77,0.0,941.77,375.45,168.77,15.75,87.99,12.85,127.09,153.88,13.91,167.79,0.76,167.02,167.02,42.46,124.57,124.57,11.27,110.58,110.58,0.0,0.0,0.0,0.0,0.0
2024-03-31,1032.72,0.0,1032.72,379.93,225.47,10.08,84.87,12.72,130.69,188.96,27.03,215.98,0.74,215.24,215.24,54.0,161.24,161.24,11.27,143.13,143.13,0.0,0.0,0.0,0.0,0.0
2024-06-30,995.04,0.0,995.04,406.92,206.5,-37.32,98.55,13.32,126.08,181.0,18.37,199.37,2.66,196.71,196.71,50.23,146.48,146.48,11.27,130.03,130.03,0.0,0.0,0.0,0.0,0.0
2024-09-30,1110.8,0.0,1110.8,452.77,258.03,-38.19,107.75,13.99,147.12,169.34,18.17,187.51,4.4,183.11,183.11,49.33,133.78,133.78,11.27,118.76,118.76,0.0,0.0,0.0,0.0,0.0
2024-12-31,1089.95,0.0,1089.95,490.08,154.63,22.35,110.86,14.01,157.94,140.07,16.83,156.9,2.79,154.11,154.11,40.34,113.77,113.77,11.27,100.99,100.99,0.0,0.0,0.0,0.0,0.0
