Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,R & D Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-12-31,896.97,0.72,897.69,190.59,51.56,-31.06,111.9,21.61,45.54,134.9,372.65,2.8,375.45,0.67,374.78,0.0,374.78,94.65,280.13,0.0,280.13,37.7,14.86,14.86,4.88,25.87,13.97,100.0,74.13
2016-03-31,587.35,0.98,588.33,112.51,59.4,-20.98,92.8,24.11,73.04,132.02,115.43,2.62,118.05,0.81,117.24,0.0,117.24,28.22,89.02,0.0,89.02,37.7,4.72,4.72,0.0,0.0,0.0,0.0,0.0
2016-06-30,687.62,0.96,688.58,162.86,62.67,-27.7,108.65,19.07,63.1,147.03,152.9,0.4,153.3,0.59,152.71,0.0,152.71,32.97,119.74,0.0,119.74,37.7,6.35,6.35,0.0,0.0,0.0,0.0,0.0
2016-09-30,828.83,0.74,829.57,193.11,67.21,-12.53,110.87,20.26,95.14,208.87,146.64,0.39,147.03,0.39,146.64,0.0,146.64,32.81,113.83,0.0,113.83,37.7,6.04,6.04,0.0,0.0,0.0,0.0,0.0
2016-12-31,797.63,0.86,798.49,186.38,59.28,-23.07,122.03,21.74,99.14,158.87,174.12,0.21,174.33,0.28,174.05,0.0,174.05,36.22,137.83,0.0,137.83,37.7,7.31,7.31,0.0,0.0,0.0,0.0,0.0
2017-03-31,642.75,0.73,643.48,139.98,41.16,15.4,130.49,21.83,0.0,217.89,76.73,0.89,77.62,1.3,76.32,0.0,76.32,17.08,59.24,0.0,59.24,37.7,3.14,3.14,0.0,0.0,0.0,0.0,0.0
2017-06-30,590.11,0.0,590.11,125.24,56.06,-13.16,151.3,21.82,0.0,183.83,65.02,0.23,65.25,0.83,64.42,0.0,64.42,13.75,50.67,0.0,50.67,37.7,2.69,2.69,0.0,0.0,0.0,0.0,0.0
2017-09-30,762.01,0.0,762.01,161.16,46.25,27.82,152.51,25.63,0.0,197.6,151.04,7.61,158.65,0.12,158.53,0.0,158.53,36.43,122.1,0.0,122.1,37.7,6.48,6.48,0.0,0.0,0.0,0.0,0.0
2017-12-31,754.91,0.0,754.91,218.96,56.55,-51.42,139.12,26.38,0.0,231.23,134.09,0.32,134.41,0.64,133.77,0.0,133.77,28.73,105.04,0.0,105.04,37.7,5.57,5.57,0.0,0.0,0.0,0.0,0.0
2018-03-31,838.22,0.0,838.22,220.38,44.3,0.57,139.79,27.92,0.0,226.39,178.87,0.28,179.15,0.64,178.51,0.0,178.51,34.32,144.19,0.0,144.19,37.7,7.65,7.65,0.0,0.0,0.0,0.0,0.0
2018-06-30,811.42,0.0,811.42,201.64,53.56,-17.23,152.41,25.34,0.0,249.46,146.24,0.16,146.4,1.1,145.3,0.0,145.3,31.32,113.98,0.0,113.98,37.7,6.05,6.05,0.0,0.0,0.0,0.0,0.0
2018-09-30,1095.43,0.0,1095.43,239.83,63.07,-30.66,169.17,26.2,0.0,304.97,322.85,2.01,324.86,4.82,320.04,0.0,320.04,68.98,251.06,0.0,251.06,37.7,13.32,13.32,0.0,0.0,0.0,0.0,0.0
2018-12-31,904.72,0.0,904.72,201.74,62.49,9.61,183.96,26.56,0.0,241.87,178.49,3.36,181.85,4.62,177.23,0.0,177.23,38.72,138.51,0.0,138.51,37.7,7.35,7.35,0.0,0.0,0.0,0.0,0.0
2019-03-31,848.7,0.0,848.7,206.84,51.33,-42.14,178.92,27.49,0.0,300.73,125.53,0.89,126.42,4.34,122.08,0.0,122.08,14.42,107.66,0.0,107.66,37.7,5.71,5.71,0.0,0.0,0.0,0.0,0.0
2019-06-30,896.74,0.0,896.74,232.01,62.13,-58.75,195.49,32.5,0.0,241.08,192.28,3.18,195.46,4.66,190.8,0.0,190.8,35.58,155.22,0.0,155.22,37.7,8.23,8.23,0.0,0.0,0.0,0.0,0.0
2019-09-30,1134.9,0.0,1134.9,239.77,78.08,-40.87,201.79,32.51,0.0,295.4,328.22,0.28,328.5,6.63,321.87,0.0,321.87,53.18,268.69,0.0,268.69,37.7,14.25,14.25,0.0,0.0,0.0,0.0,0.0
