Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,84.62,84.62,2205.19,2205.19,2289.81,744.46,47.46,9.61,74.4,875.93,210.34,479.69,337.72,139.19,1166.94,4332.68,831.39,4.77,507.58,0.0,1343.74,149.38,0.0,106.49,60.74,1660.35,172.48,694.51,1317.43,218.49,80.88,188.54,2672.33,4332.68,215.56,182.41,0.0,1566.48,119.76,77.8,0.0,149.38,0.0,172.48,252.92,13.99,74.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,84.62,84.62,2620.97,2620.97,2705.59,2185.22,188.84,6.94,97.12,2478.12,100.0,630.23,426.39,169.26,1325.88,6509.59,905.31,1858.19,627.78,0.0,3391.28,150.35,0.0,186.05,50.28,3777.96,283.48,781.15,1194.0,69.68,103.41,299.91,2731.63,6509.59,745.24,238.36,0.0,1413.59,52.35,77.8,0.0,150.35,0.0,283.48,225.95,14.62,39.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,84.62,84.62,3622.69,3622.69,3707.31,1784.27,171.3,9.02,114.69,2079.28,0.0,665.17,789.83,46.95,1501.95,7288.54,943.76,1737.63,983.69,0.0,3665.08,153.91,0.0,151.71,180.04,4150.74,764.24,970.13,911.5,82.37,40.19,369.37,3136.98,7288.54,342.97,364.97,0.0,2918.54,0.0,77.8,0.0,153.91,764.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,84.62,84.62,4369.09,4369.09,4453.71,2208.74,100.73,6.88,126.34,2442.69,0.0,547.95,551.16,55.4,1154.51,8050.91,1832.87,1690.62,462.44,10.63,3996.56,148.41,0.0,108.82,251.54,4505.33,787.43,1032.29,1018.47,78.22,42.69,586.48,3545.49,8050.91,394.39,530.41,0.0,0.0,2006.64,77.8,0.0,148.41,0.0,787.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,84.62,84.62,4471.87,4471.87,4556.49,4111.46,0.0,15.47,149.1,4276.03,1040.2,775.72,1091.57,80.06,2987.55,11820.07,2299.28,5129.25,422.77,24.61,7875.91,149.83,0.82,2.48,151.89,8180.93,475.22,1299.4,1108.04,57.12,110.12,589.24,3639.05,11820.07,313.53,359.99,0.0,0.0,1458.01,77.8,0.0,149.83,0.0,475.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,84.62,84.62,4930.65,4930.65,5015.27,3739.99,7.51,12.91,163.77,3924.18,726.6,582.33,1694.82,84.07,3087.82,12027.27,2673.3,4751.85,470.88,26.7,7922.73,134.87,0.0,2.61,218.11,8278.32,351.35,1358.3,1356.01,237.84,3.79,441.66,3748.95,12027.27,374.94,552.15,0.0,0.0,2210.26,77.8,0.0,134.87,0.0,351.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,84.62,84.62,5036.35,5036.35,5120.97,3124.45,0.0,74.85,176.72,3376.02,789.31,682.07,1822.33,93.77,3387.48,11884.47,2813.15,4384.35,513.33,23.08,7733.91,134.87,67.76,2.29,126.38,8065.21,0.02,1507.76,1508.94,390.95,3.64,407.95,3819.26,11884.47,325.37,606.54,0.0,0.0,2079.25,77.8,0.0,134.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,84.62,84.62,5945.48,5945.48,6030.1,2941.07,0.0,10.14,193.93,3145.14,1443.36,648.05,387.56,106.83,2585.8,11761.04,2745.31,3995.93,554.84,33.27,7329.35,174.87,28.33,2.02,84.59,7619.16,139.05,1911.74,1544.26,66.42,3.08,477.33,4141.88,11761.04,1155.38,713.61,0.0,0.0,2153.94,77.8,0.0,174.87,0.0,139.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,84.62,84.62,6260.8,6260.8,6345.42,1971.6,193.56,7.79,210.83,2383.78,1371.81,624.21,307.0,120.34,2423.36,11152.56,2619.36,3631.89,543.54,23.96,6818.75,183.66,0.0,1.75,88.35,7092.51,183.98,1797.11,1541.35,69.46,2.61,465.54,4060.05,11152.56,1296.42,333.74,0.0,0.0,1841.91,77.8,0.0,183.66,0.0,183.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,169.23,169.23,6286.73,6286.73,6455.96,2331.78,401.3,29.2,244.54,3006.82,2233.78,610.63,414.11,150.63,3409.15,12871.93,2687.49,5284.36,674.9,23.03,8669.78,205.12,0.0,2.5,67.45,8944.85,156.09,1602.23,1729.44,147.61,1.71,290.0,3927.08,12871.93,1448.95,373.53,0.0,0.0,2099.42,162.41,0.0,205.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,169.23,169.23,6659.53,6659.53,6828.76,1603.78,655.81,17.49,282.15,2559.23,1729.18,759.76,328.92,170.74,2988.6,12376.59,3204.97,4780.95,203.94,22.29,8212.15,322.27,0.0,2.51,98.6,8635.53,141.04,1565.59,1571.94,108.76,3.05,350.68,3741.06,12376.59,1395.4,468.65,0.0,0.0,2323.91,162.41,0.0,322.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
