Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-06-30,1926.59,0.0,1926.59,807.4,164.04,163.19,352.19,439.77,191.18,630.95,342.65,288.3,-11.0,277.3,89.06,188.24,0.0,188.24,270.5,0.59,0.59,0.0,0.0,0.0,0.0,0.0
2017-09-30,1879.88,0.0,1879.88,752.9,147.77,157.67,230.91,590.63,181.02,771.65,394.39,377.26,-228.67,148.59,108.27,40.32,10.0,50.32,270.5,0.08,0.08,0.0,0.0,0.0,0.0,0.0
2017-12-31,1958.77,0.0,1958.77,881.14,152.43,161.91,275.98,487.31,260.72,748.03,351.97,396.06,-110.91,285.15,-223.22,508.37,15.91,524.28,270.5,1.83,1.83,0.0,0.0,0.0,0.0,0.0
2018-03-31,1841.59,0.0,1841.59,747.01,144.23,188.74,357.73,403.88,271.21,675.09,332.66,342.43,-4336.32,-3993.89,-167.69,-3826.2,-112.92,-3939.12,270.5,-14.65,-14.65,0.0,0.0,0.0,0.0,0.0
2018-06-30,1945.68,0.0,1945.68,884.04,145.32,157.05,242.64,516.63,202.93,719.56,344.07,375.49,1111.27,1486.76,319.33,1167.43,-33.66,1133.77,270.5,4.09,4.09,0.0,0.0,0.0,0.0,0.0
2018-09-30,1818.41,0.0,1818.41,835.9,150.97,157.83,268.17,405.54,143.09,548.63,332.83,215.8,103.42,319.22,20.94,298.28,-32.92,265.36,270.5,0.88,0.88,0.0,0.0,0.0,0.0,0.0
2018-12-31,1998.9,0.0,1998.9,888.69,147.16,157.25,227.89,577.91,70.71,648.62,379.12,269.5,-195.64,73.86,-215.7,289.56,-33.99,255.57,270.5,0.84,0.84,0.0,0.0,0.0,0.0,0.0
2019-03-31,2169.83,0.0,2169.83,1016.67,194.12,160.57,311.39,487.08,99.62,586.7,444.33,142.37,-95.83,46.54,-32.59,79.13,-25.27,53.86,270.5,0.11,0.11,0.0,0.0,0.0,0.0,0.0
2019-06-30,2036.54,0.0,2036.54,867.18,147.27,163.05,230.27,628.77,374.09,1002.86,386.96,615.9,-276.97,338.93,23.28,315.65,-19.14,296.51,270.5,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2019-09-30,1993.21,0.0,1993.21,828.53,154.5,162.07,231.71,616.4,121.07,737.47,385.38,352.09,-180.45,171.64,11.52,160.12,-5.51,154.61,270.5,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2019-12-31,1932.22,0.0,1932.22,802.07,156.66,188.45,234.14,550.9,1.32,552.22,378.43,173.79,-176.66,-2.87,-23.61,20.74,-13.8,6.94,270.5,0.13,0.13,0.0,0.0,0.0,0.0,0.0
2020-03-31,1764.42,0.0,1764.42,725.42,152.28,172.18,274.57,439.97,86.14,526.11,359.61,166.5,-323.67,-157.17,-219.01,61.84,-371.78,-309.94,270.5,-1.3,-1.3,0.0,0.0,0.0,0.0,0.0
2020-06-30,1412.42,0.0,1412.42,558.03,152.0,163.25,199.21,339.93,90.09,430.02,390.98,39.04,56.15,95.19,27.48,67.71,-22.78,44.93,270.5,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2020-09-30,1550.28,0.0,1550.28,0.0,158.87,167.37,931.24,292.8,232.38,525.18,387.2,137.98,104.06,242.04,77.81,164.23,-19.23,145.0,319.56,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2020-12-31,1657.59,0.0,1657.59,0.0,154.14,168.31,1003.51,331.63,699.87,1031.5,366.35,665.15,-112.33,552.82,63.35,489.47,85.05,574.52,319.56,1.66,1.66,0.0,0.0,0.0,0.0,0.0
2021-03-31,1560.3,0.0,1560.3,676.7,184.08,169.96,345.83,183.73,226.62,410.35,374.24,36.11,142.45,178.56,-67.67,246.23,-89.23,157.0,319.56,0.36,0.36,0.0,0.0,0.0,0.0,0.0
2021-06-30,1818.39,0.0,1818.39,0.0,156.67,146.65,1121.5,393.57,426.49,820.06,388.52,431.54,-30.05,401.49,203.45,198.04,0.0,198.04,319.56,0.53,0.53,0.0,0.0,0.0,0.0,0.0
2021-09-30,1838.74,0.0,1838.74,0.0,162.21,149.75,1178.91,347.87,526.12,873.99,356.13,517.86,1577.38,2095.24,220.12,1875.12,0.0,1875.12,319.56,5.86,5.86,0.0,0.0,0.0,0.0,0.0
2021-12-31,2147.2,0.0,2147.2,0.0,158.66,147.32,1444.18,397.04,54.94,451.98,365.21,86.77,11.71,98.48,49.81,48.67,0.0,48.67,319.56,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2022-03-31,3119.95,0.0,3119.95,0.0,219.32,287.26,2648.56,-35.19,1896.29,1861.1,527.83,1333.27,-12.58,1320.69,-967.61,2288.3,0.0,2288.3,319.56,7.16,7.16,0.0,0.0,0.0,0.0,0.0
2022-06-30,4828.92,0.0,4828.92,0.0,176.91,290.61,4543.9,-182.5,721.61,539.11,562.85,-23.74,441.18,417.44,-4.0,421.44,0.0,421.44,319.56,1.32,1.32,0.0,0.0,0.0,0.0,0.0
2022-09-30,4552.15,0.0,4552.15,0.0,163.79,286.39,4192.31,-90.34,1151.02,1060.68,555.76,504.92,1023.77,1528.69,328.46,1200.23,0.0,1200.23,319.56,3.75,3.75,0.0,0.0,0.0,0.0,0.0
2022-12-31,5296.17,0.0,5296.17,0.0,181.16,288.65,4204.24,622.12,1730.25,2352.37,538.81,1813.56,199.85,2013.41,509.07,1504.34,0.0,1504.34,319.56,4.7,4.7,0.0,0.0,0.0,0.0,0.0
2023-03-31,3050.54,0.0,3050.54,1801.58,224.31,301.82,628.2,94.63,482.51,577.14,569.18,7.96,143.47,151.43,9.54,141.89,0.0,141.89,319.56,0.45,0.45,0.0,0.0,0.0,0.0,0.0
2023-06-30,5192.24,0.0,5192.24,0.0,190.43,289.88,3772.58,939.35,443.43,1382.78,597.76,785.02,-186.47,598.55,152.14,446.41,0.0,446.41,319.56,1.4,1.4,0.0,0.0,0.0,0.0,0.0
2023-09-30,5014.31,0.0,5014.31,0.0,184.05,286.65,3809.8,733.81,234.42,968.23,587.6,380.63,81.19,461.82,51.56,410.26,0.0,410.26,319.56,1.28,1.28,0.0,0.0,0.0,0.0,0.0
2023-12-31,4926.24,0.0,4926.24,0.0,183.88,284.32,3845.59,612.45,469.26,1081.71,533.32,548.39,136.85,685.24,158.16,527.08,0.0,527.08,319.56,1.33,1.65,0.0,0.0,0.0,0.0,0.0
2024-03-31,4960.57,0.0,4960.57,0.0,236.35,327.61,3970.05,426.56,705.28,1131.84,538.77,593.07,172.42,765.49,-80.62,846.11,0.0,846.11,319.56,2.64,2.64,0.0,0.0,0.0,0.0,0.0
2024-06-30,5774.12,0.0,5774.12,0.0,166.35,297.87,4293.2,1016.7,764.97,1781.67,548.78,1232.89,-281.05,951.84,214.8,737.04,0.0,737.04,319.56,2.3,2.3,0.0,0.0,0.0,0.0,0.0
2024-09-30,4889.44,0.0,4889.44,0.0,199.3,292.82,3225.05,1172.27,808.15,1980.42,525.49,1454.93,-259.6,1195.33,186.72,1008.61,0.0,1008.61,319.56,3.16,3.15,0.0,0.0,0.0,0.0,0.0
2024-12-31,5731.0,0.0,5731.0,0.0,196.08,306.17,4044.83,1183.92,708.84,1892.76,511.6,1381.16,-321.87,1059.29,81.37,977.92,0.0,977.92,319.56,3.06,3.06,0.0,0.0,0.0,0.0,0.0
2025-03-31,5964.88,0.0,5964.88,0.0,228.09,297.02,4520.13,919.64,207.51,1127.15,509.54,617.61,-208.75,408.86,-0.25,409.11,0.0,409.11,319.56,1.28,1.28,0.0,0.0,0.0,0.0,0.0
