Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Intangible Assets Under Development,Other Assets,Service Line Contribution From Consumers,Raw Materials,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,237.33,237.33,12890.03,12890.03,13127.36,1500.0,7175.99,881.14,86.1,164.23,8307.46,1579.53,1057.68,4305.99,661.01,7604.21,30539.03,8532.81,65.82,684.49,9373.72,12361.09,0.0,2898.79,2369.94,27003.54,1.36,710.67,1320.1,67.86,873.08,562.42,3535.49,30539.03,21759.26,80.13,1355.1,189.05,94.43,2.84,0.0,335.65,1.13,561.4,11885.15,1.36,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,270.48,270.48,15457.51,15457.51,15727.99,1500.0,8795.63,1024.98,93.93,149.9,10064.44,1764.78,1304.66,2705.56,493.76,6268.76,33561.19,9458.95,141.99,472.35,10149.49,13208.89,0.0,3549.34,2937.16,29844.88,42.0,669.18,1576.13,279.27,373.3,776.43,3716.31,33561.19,4161.86,182.5,792.63,35.42,98.0,3.15,0.0,419.19,1.13,759.07,12732.95,42.0,76.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,270.48,270.48,15079.98,15079.98,15350.46,1500.0,8983.62,1543.94,243.56,151.57,10922.69,1507.09,1263.26,3997.53,73.59,6841.47,34614.62,8251.53,140.54,485.72,9087.49,14031.71,0.0,3644.45,2953.61,29717.26,0.22,689.05,1057.23,45.89,106.0,2998.97,4897.36,34614.62,3447.28,0.0,0.0,0.0,1283.0,0.0,200.0,0.0,1.13,705.37,13652.41,0.22,209.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,270.5,270.5,16321.47,16321.47,16591.97,1500.0,8847.86,1468.88,254.89,170.75,10742.38,2391.98,1346.23,8206.99,52.95,11998.15,40832.5,8358.3,189.87,666.19,9470.0,22340.31,0.0,22.82,2776.46,34609.59,130.08,671.09,1234.82,156.35,0.0,4030.57,6222.91,40832.5,16876.66,250.0,971.0,0.0,42.0,0.0,340.0,0.0,1.13,1068.43,22066.21,130.08,254.68,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,270.5,270.5,12718.03,12718.03,12988.53,1500.0,8123.84,235.99,312.23,182.1,8854.16,4326.46,1105.68,7711.8,15.44,13159.38,36502.07,7873.55,93.18,418.78,8385.51,18382.45,0.0,22.09,2043.03,28833.08,10.0,474.22,972.05,58.42,402.25,5752.05,7668.99,36502.07,18444.68,162.0,1087.0,0.0,24.0,0.0,398.0,0.0,1.13,185.92,22564.87,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,270.5,270.5,13919.1,13919.1,14189.6,1500.0,8749.72,583.49,249.05,195.55,9777.81,6731.8,1102.14,4818.49,14.74,12667.17,38134.58,7545.96,83.89,368.1,7997.95,21270.77,0.0,51.35,1788.67,31108.74,42.0,579.51,1256.44,95.79,119.2,4932.9,7025.84,38134.58,18410.14,110.0,1222.0,0.0,4.0,0.0,116.0,0.0,1.13,316.07,21244.92,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,270.5,270.5,13491.47,13491.47,13761.97,1500.0,9825.33,307.25,412.97,222.46,10768.01,6212.31,1001.87,4310.3,62.02,11586.5,37616.48,7974.07,62.22,402.87,8439.16,21327.2,0.0,42.1,1920.44,31728.9,20.0,635.01,1108.68,178.94,550.09,3394.86,5887.58,37616.48,17148.46,228.0,1070.0,0.0,3.0,0.0,125.0,0.0,1.13,161.01,21304.86,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,319.56,319.56,16559.0,16559.0,16878.56,1500.0,13168.52,135.36,377.51,261.38,13942.77,5595.7,1137.0,3789.55,25.37,10547.62,42868.95,8200.75,55.39,285.45,8541.59,26128.4,0.0,490.18,2463.95,37624.12,240.01,632.94,910.87,142.67,1523.89,1794.45,5244.83,42868.95,17904.26,133.0,706.0,0.0,4.0,0.0,809.0,0.0,1.13,236.28,26090.45,240.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,319.56,319.56,10560.24,10560.24,10879.8,0.0,18087.97,0.0,3325.33,274.0,21687.3,6620.41,4079.89,3841.41,44.59,14586.3,47153.4,23708.53,37.43,965.15,24711.11,10711.38,250.0,453.17,2605.66,38731.32,67.6,2292.33,1085.51,78.55,1328.48,3569.61,8422.08,47153.4,4975.32,0.0,0.0,0.0,4678.0,0.0,4656.0,0.0,1.13,3089.45,10091.0,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,319.56,319.56,13380.03,13380.03,13699.59,0.0,11272.3,617.29,3728.83,285.94,15904.36,10593.18,1985.02,5972.8,17.76,18568.76,48172.71,23699.59,22.46,1272.56,24994.61,12064.55,0.0,2.68,3011.41,40073.25,64.17,2457.95,2020.9,295.92,0.0,3260.52,8099.46,48172.71,7610.04,0.0,0.0,49.0,7649.0,0.0,3386.0,0.0,1.13,1472.21,11423.86,64.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,319.56,319.56,15468.1,15468.1,15787.66,0.0,13373.21,996.19,3739.35,280.7,18389.45,6152.95,4081.38,6049.69,27.82,16311.84,50488.95,23522.28,19.99,1798.53,25340.8,13013.8,0.0,4.25,3952.76,42311.61,392.4,2119.53,1742.08,618.59,0.0,3304.74,8177.34,50488.95,2933.33,0.0,0.0,66.0,7087.0,0.0,1318.0,0.0,1.13,2298.91,11997.25,392.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
