Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,6.33,6.33,217.64,217.64,223.97,20.2,7.91,27.47,64.58,33.36,37.69,76.07,17.53,164.66,453.21,151.7,0.0,5.2,0.0,0.0,156.91,0.0,0.0,185.21,12.13,104.58,106.62,30.71,0.5,268.0,453.21,13.56,1.06,0.0,4.68,0.0,3.16,0.0,12.13,9.0,28.3,13.46,3.35,2.56,63.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,6.5,6.5,345.2,345.2,351.71,27.82,9.27,25.59,76.92,45.02,48.66,99.87,22.06,215.61,644.24,214.18,0.5,7.66,0.0,0.0,222.33,0.0,0.0,254.35,47.76,125.89,161.22,29.53,0.27,389.88,644.24,17.9,0.94,0.0,6.37,0.0,3.16,0.0,47.76,14.24,32.02,25.22,7.8,3.18,63.71,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,6.5,6.5,414.52,414.52,421.02,34.39,9.83,40.21,89.77,20.85,57.36,128.87,28.69,235.76,746.55,225.34,0.45,4.24,0.0,0.0,230.03,19.64,0.0,286.46,47.47,132.18,188.43,59.39,1.59,460.1,746.55,35.92,1.07,0.0,8.01,0.0,3.16,19.64,47.5,5.34,36.78,31.03,6.37,2.19,74.64,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,6.5,6.5,517.89,517.89,524.39,37.41,11.63,6.6,55.64,28.85,76.43,172.66,2.79,280.73,860.76,265.07,1.32,0.16,0.0,0.0,266.55,28.03,38.7,333.28,90.75,129.19,220.71,37.65,49.19,527.48,860.76,35.6,0.0,0.0,0.0,0.0,3.16,28.03,87.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,6.5,6.5,598.45,598.45,604.95,41.19,16.7,6.62,64.52,24.35,77.81,174.82,3.72,280.7,950.18,278.78,0.7,4.89,0.36,0.0,284.72,30.58,40.22,355.53,108.59,160.9,267.66,23.04,34.46,594.65,950.18,47.42,96.01,0.0,0.0,13.29,3.16,30.58,101.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,6.5,6.5,693.65,693.65,700.16,45.79,22.52,6.48,74.8,18.19,94.19,199.25,2.72,314.35,1089.31,304.16,0.86,10.72,0.53,0.0,316.27,55.04,24.14,395.45,157.05,179.18,297.01,10.38,50.24,693.85,1089.31,75.25,95.87,0.0,0.0,14.06,3.16,55.04,143.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,6.5,6.5,766.39,766.39,772.89,32.57,38.89,10.37,81.83,15.16,83.98,169.51,2.41,271.07,1125.78,349.2,1.19,0.53,0.0,0.0,350.92,72.95,19.9,443.76,189.49,204.49,220.91,1.6,65.53,682.02,1125.78,50.61,75.93,0.0,0.0,14.36,3.16,30.63,189.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,6.5,6.5,867.9,867.9,874.4,32.66,37.72,10.09,80.47,12.43,142.85,170.53,2.39,328.19,1283.06,329.03,0.76,0.6,0.0,0.0,330.38,79.09,19.4,428.87,434.05,169.68,206.71,9.84,33.91,854.19,1283.06,43.25,62.96,0.0,0.0,14.36,3.16,32.0,434.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,6.5,6.5,999.24,999.24,1005.75,34.21,38.55,8.9,81.66,19.2,137.68,180.83,2.38,340.09,1427.49,320.08,0.46,0.58,0.0,0.0,321.13,40.2,16.28,377.6,527.16,287.71,164.08,14.83,56.11,1049.89,1427.49,26.87,80.54,0.0,0.0,23.48,3.16,40.2,527.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,6.5,6.5,1162.71,1162.71,1169.22,36.11,48.93,8.81,93.85,18.34,210.0,151.18,13.04,392.56,1655.63,319.89,0.52,16.93,0.03,0.0,337.38,34.27,17.68,389.33,634.52,376.41,188.27,25.32,41.79,1266.3,1655.63,42.94,60.77,0.0,0.0,16.5,3.16,34.27,634.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,6.5,6.5,1336.04,1336.04,1342.54,46.47,46.27,9.38,102.11,16.29,182.05,166.08,16.1,380.53,1825.18,353.13,0.95,12.96,0.0,1.57,368.61,31.58,9.47,409.66,775.89,358.64,201.34,34.12,45.52,1415.51,1825.18,13.32,20.43,0.0,0.0,48.06,3.16,25.57,775.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
