Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,7712.71,131.76,7844.47,2833.36,1022.24,41.97,357.92,74.93,892.73,1184.24,1437.08,122.96,1560.04,4.67,1555.37,9.76,1565.13,495.97,1069.16,1069.16,216.38,0.0,4.94,4.94,70.94,32.78,145.44,100.0,67.22
2015-09-30,7595.64,135.75,7731.39,2899.88,975.97,20.68,375.39,76.14,921.04,1201.79,1260.5,194.36,1454.86,4.53,1450.33,-12.14,1438.19,456.02,982.17,982.17,216.39,0.0,4.45,4.45,0.0,0.0,0.0,0.0,0.0
2015-12-31,7605.82,158.13,7763.95,2689.63,976.05,76.7,396.92,82.16,920.75,1273.72,1348.02,145.07,1493.09,4.49,1488.6,-79.61,1408.99,437.33,971.66,971.66,216.39,0.0,4.49,4.49,0.0,0.0,0.0,0.0,0.0
2016-03-31,7585.0,136.0,7721.0,2844.0,977.0,-52.0,443.0,88.0,865.0,1172.0,1384.0,101.0,1485.0,2.0,1483.0,51.0,1534.0,420.0,1114.0,1114.0,216.39,0.0,5.15,5.15,0.0,0.0,0.0,0.0,0.0
2016-06-30,7987.0,140.0,8127.0,2918.0,1089.0,-52.0,427.0,93.0,880.0,1230.0,1542.0,108.0,1650.0,6.0,1644.0,71.0,1715.0,541.0,1174.0,1174.0,216.0,0.0,5.42,5.42,0.0,0.0,0.0,0.0,0.0
2016-09-30,7697.55,145.14,7842.69,2754.46,1087.63,119.95,396.0,94.5,851.38,1228.65,1310.12,252.83,1562.95,4.94,1558.01,18.24,1576.25,480.65,1095.6,1095.6,216.43,0.0,5.06,5.06,0.0,0.0,0.0,0.0,0.0
2016-12-31,7512.52,193.46,7705.98,2573.97,1021.22,149.45,409.26,100.2,885.12,1311.52,1255.24,82.44,1337.68,4.56,1333.12,153.05,1486.17,448.24,1037.93,1037.93,216.43,0.0,4.8,4.79,0.0,0.0,0.0,0.0,0.0
2017-03-31,8100.0,113.0,8213.0,3116.0,968.0,-62.0,388.0,108.0,853.0,1299.0,1543.0,83.0,1626.0,6.0,1620.0,-1.0,1619.0,436.0,1183.0,1183.0,216.43,0.0,5.47,5.47,0.0,0.0,0.0,0.0,0.0
2017-06-30,8401.0,128.0,8529.0,2904.0,1128.0,52.0,419.0,114.0,905.0,1255.0,1752.0,113.0,1865.0,6.0,1859.0,-13.0,1846.0,563.0,1283.0,1283.0,216.0,0.0,5.93,5.93,0.0,0.0,0.0,0.0,0.0
2017-09-30,8199.0,110.0,8309.0,2885.0,1061.0,-17.0,435.0,115.0,1023.0,1240.0,1567.0,204.0,1771.0,6.0,1765.0,36.0,1801.0,525.0,1276.0,1276.0,216.0,0.0,5.9,5.9,0.0,0.0,0.0,0.0,0.0
2017-12-31,8323.0,267.0,8590.0,3188.0,768.0,-51.0,491.0,121.0,1107.0,1407.0,1559.0,152.0,1711.0,5.0,1706.0,-21.0,1685.0,359.0,1326.0,1326.0,216.0,0.0,6.13,6.13,0.0,0.0,0.0,0.0,0.0
2018-03-31,9003.0,94.0,9097.0,3514.0,855.0,-55.0,400.0,128.0,1070.0,1265.0,1920.0,100.0,2020.0,4.0,2016.0,-64.0,1952.0,601.0,1351.0,1351.0,216.0,0.0,6.24,6.24,0.0,0.0,0.0,0.0,0.0
2018-06-30,9356.0,131.0,9487.0,3379.0,905.0,80.0,442.0,127.0,1153.0,1277.0,2124.0,135.0,2259.0,7.0,2252.0,-59.0,2193.0,664.0,1529.0,1529.0,216.0,0.0,7.06,7.06,0.0,0.0,0.0,0.0,0.0
2018-09-30,9138.0,96.0,9234.0,3343.0,1182.0,-90.0,438.0,130.0,1106.0,1236.0,1889.0,305.0,2194.0,7.0,2187.0,-35.0,2152.0,627.0,1525.0,1525.0,216.0,0.0,7.04,7.04,0.0,0.0,0.0,0.0,0.0
2018-12-31,9357.0,201.0,9558.0,3199.0,1337.0,-118.0,465.0,133.0,1186.0,1443.0,1913.0,106.0,2019.0,7.0,2012.0,-62.0,1950.0,506.0,1444.0,1444.0,216.0,0.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0
2019-03-31,9809.0,136.0,9945.0,3319.0,1284.0,140.0,402.0,134.0,1107.0,1372.0,2187.0,118.0,2305.0,7.0,2298.0,-71.0,2227.0,689.0,1538.0,1538.0,216.0,0.0,7.11,7.1,0.0,0.0,0.0,0.0,0.0
2019-06-30,9984.0,130.0,10114.0,3161.0,1333.0,154.0,452.0,214.0,1161.0,1206.0,2433.0,147.0,2580.0,24.0,2556.0,7.0,2563.0,808.0,1755.0,1755.0,216.0,0.0,8.11,8.11,0.0,0.0,0.0,0.0,0.0
2019-09-30,9708.0,144.0,9852.0,3229.0,1447.0,-191.0,430.0,237.0,1198.0,1296.0,2206.0,180.0,2386.0,31.0,2355.0,-47.0,2308.0,460.0,1848.0,1848.0,216.0,0.0,8.54,8.54,0.0,0.0,0.0,0.0,0.0
2019-12-31,9696.0,112.0,9808.0,2793.0,1561.0,136.0,454.0,232.0,1163.0,1256.0,2213.0,140.0,2353.0,25.0,2328.0,-99.0,2229.0,613.0,1616.0,1616.0,216.0,0.0,7.47,7.47,0.0,0.0,0.0,0.0,0.0
2020-03-31,8885.0,126.0,9011.0,2389.0,2001.0,-220.0,355.0,255.0,1164.0,1257.0,1810.0,266.0,2076.0,26.0,2050.0,-58.0,1992.0,473.0,1519.0,1519.0,216.0,0.0,7.02,7.02,0.0,0.0,0.0,0.0,0.0
2020-06-30,10406.0,154.0,10560.0,3575.0,1686.0,-174.0,592.0,242.0,797.0,1440.0,2402.0,156.0,2558.0,29.0,2529.0,-118.0,2411.0,530.0,1881.0,1881.0,235.0,0.0,8.01,8.01,0.0,0.0,0.0,0.0,0.0
2020-09-30,11276.0,166.0,11442.0,4107.0,1499.0,-231.0,559.0,249.0,1139.0,1500.0,2620.0,151.0,2771.0,29.0,2742.0,-81.0,2661.0,652.0,2009.0,2009.0,235.0,0.0,8.55,8.55,0.0,0.0,0.0,0.0,0.0
2020-12-31,11682.0,180.0,11862.0,3420.0,1887.0,152.0,556.0,272.0,1388.0,1605.0,2582.0,97.0,2679.0,41.0,2638.0,-42.0,2596.0,675.0,1921.0,1921.0,235.0,0.0,8.18,8.18,0.0,0.0,0.0,0.0,0.0
2021-03-31,11947.0,185.0,12132.0,3849.0,2045.0,-138.0,522.0,249.0,1413.0,1484.0,2708.0,109.0,2817.0,9.0,2808.0,14.0,2822.0,679.0,2143.0,2143.0,235.0,0.0,9.12,9.12,0.0,0.0,0.0,0.0,0.0
2021-06-30,11730.0,185.0,11915.0,3551.0,2223.0,131.0,618.0,244.0,1024.0,1521.0,2603.0,67.0,2670.0,11.0,2659.0,-26.0,2633.0,572.0,2061.0,2061.0,235.0,0.0,8.77,8.77,0.0,0.0,0.0,0.0,0.0
2021-09-30,12724.0,0.0,12724.0,4092.0,2229.0,-163.0,582.0,265.0,1215.0,1637.0,2867.0,113.0,2980.0,26.0,2954.0,0.0,2954.0,767.0,2187.0,2187.0,235.0,0.0,9.31,9.31,0.0,0.0,0.0,0.0,0.0
2021-12-31,12900.0,192.0,13092.0,3875.0,2333.0,61.0,657.0,255.0,1189.0,1698.0,3024.0,91.0,3115.0,25.0,3090.0,-66.0,3024.0,781.0,2243.0,2243.0,235.0,0.0,9.55,9.55,0.0,0.0,0.0,0.0,0.0
2022-03-31,13190.0,272.0,13462.0,4351.0,2489.0,-48.0,542.0,261.0,1290.0,1593.0,2984.0,122.0,3106.0,36.0,3070.0,58.0,3128.0,801.0,2327.0,2327.0,235.0,0.0,9.9,9.9,0.0,0.0,0.0,0.0,0.0
2022-06-30,14016.0,256.0,14272.0,4719.0,2930.0,-135.0,597.0,260.0,1328.0,1586.0,2987.0,137.0,3124.0,26.0,3098.0,-12.0,3086.0,797.0,2289.0,2289.0,235.0,0.0,9.74,9.74,0.0,0.0,0.0,0.0,0.0
2022-09-30,14514.0,237.0,14751.0,5197.0,3136.0,-339.0,709.0,248.0,1041.0,1630.0,3129.0,115.0,3244.0,25.0,3219.0,-28.0,3191.0,575.0,2616.0,2616.0,235.0,0.0,11.13,11.13,0.0,0.0,0.0,0.0,0.0
2022-12-31,14986.0,242.0,15228.0,4767.0,2892.0,338.0,676.0,260.0,1200.0,1818.0,3277.0,228.0,3505.0,26.0,3479.0,-102.0,3377.0,872.0,2505.0,2505.0,235.0,0.0,10.67,10.67,0.0,0.0,0.0,0.0,0.0
2023-03-31,14638.0,255.0,14893.0,4546.0,3010.0,83.0,683.0,262.0,1290.0,1810.0,3209.0,160.0,3369.0,24.0,3345.0,80.0,3425.0,873.0,2552.0,2552.0,235.0,0.0,10.86,10.86,0.0,0.0,0.0,0.0,0.0
2023-06-30,14931.0,217.0,15148.0,4471.0,2893.0,224.0,651.0,257.0,1481.0,1907.0,3264.0,185.0,3449.0,47.0,3402.0,-37.0,3365.0,893.0,2472.0,2472.0,235.0,0.0,10.52,10.52,0.0,0.0,0.0,0.0,0.0
2023-09-30,15027.0,249.0,15276.0,4412.0,2843.0,-34.0,708.0,269.0,1720.0,1933.0,3425.0,283.0,3708.0,72.0,3636.0,-5.0,3631.0,914.0,2717.0,2717.0,235.0,0.0,11.56,11.56,0.0,0.0,0.0,0.0,0.0
2023-12-31,14928.0,260.0,15188.0,4600.0,2944.0,-177.0,649.0,282.0,1593.0,2039.0,3258.0,285.0,3543.0,81.0,3462.0,-30.0,3432.0,913.0,2519.0,2519.0,235.0,0.0,10.72,10.72,0.0,0.0,0.0,0.0,0.0
2024-03-31,14693.0,164.0,14857.0,4308.0,2864.0,-21.0,774.0,289.0,1586.0,1911.0,3146.0,220.0,3366.0,102.0,3264.0,-17.0,3247.0,841.0,2406.0,2406.0,235.0,50738.0,10.25,10.25,0.0,0.0,0.0,0.0,0.0
2024-06-30,15166.0,173.0,15339.0,4478.0,3018.0,-48.0,602.0,298.0,1644.0,2039.0,3308.0,257.0,3565.0,85.0,3480.0,-48.0,3432.0,894.0,2538.0,2538.0,235.0,0.0,10.8,10.8,0.0,0.0,0.0,0.0,0.0
2024-09-30,15508.0,0.0,15508.0,4598.0,3195.0,-200.0,765.0,305.0,0.0,3503.0,3342.0,309.0,3651.0,99.0,3552.0,-16.0,3536.0,924.0,2612.0,2612.0,235.0,0.0,11.12,11.12,0.0,0.0,0.0,0.0,0.0
2024-12-31,15195.0,213.0,15408.0,4287.0,3187.0,127.0,684.0,308.0,1466.0,2087.0,3262.0,312.0,3574.0,105.0,3469.0,509.0,3978.0,977.0,3001.0,3001.0,235.0,0.0,12.77,12.77,0.0,0.0,0.0,0.0,0.0
2025-03-31,15000.0,214.0,15214.0,4335.0,3184.0,15.0,789.0,313.0,1454.0,1971.0,3153.0,299.0,3452.0,75.0,3377.0,-23.0,3354.0,861.0,2493.0,2493.0,235.0,0.0,10.61,10.61,0.0,0.0,0.0,0.0,0.0
