Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2017-09-30,1430.18,0.0,1430.18,53.14,96.85,1094.98,185.21,95.36,280.57,0.03,280.54,0.0,280.54,57.6,222.94,0.0,0.0,222.94,243.72,9.15,9.15,11.02,45.2,13.36,100.0,54.8
2017-12-31,1639.55,0.0,1639.55,99.12,99.49,1094.86,346.08,72.67,418.75,0.02,418.73,0.0,418.73,129.65,289.08,0.0,0.0,289.08,243.72,11.86,11.86,11.02,45.2,13.36,100.0,54.8
2018-03-31,1640.59,0.0,1640.59,80.82,101.04,1131.31,327.42,40.92,368.34,0.02,368.32,0.0,368.32,74.68,293.64,0.0,0.0,293.64,243.72,12.05,12.05,0.0,0.0,0.0,0.0,0.0
2018-06-30,1568.27,0.0,1568.27,70.11,102.21,1107.97,287.98,62.06,350.04,0.02,350.02,0.0,350.02,97.65,252.37,0.0,0.0,252.37,243.72,5.18,5.18,0.0,0.0,0.0,0.0,0.0
2018-09-30,1822.28,0.0,1822.28,80.17,104.77,1237.94,399.4,69.23,468.63,0.02,468.61,0.0,468.61,132.56,336.05,0.0,0.0,336.05,243.72,6.89,6.89,0.0,0.0,0.0,0.0,0.0
2018-12-31,1657.07,0.0,1657.07,76.78,105.88,1161.91,312.5,74.12,386.62,0.02,386.6,0.0,386.6,111.92,274.68,0.0,0.0,274.68,243.72,4.51,4.51,0.0,0.0,0.0,0.0,0.0
2019-03-31,1834.29,0.0,1834.29,109.72,111.72,1257.34,355.51,128.82,484.33,0.68,483.65,0.0,483.65,131.34,352.31,0.0,0.0,352.31,304.65,5.78,5.78,0.0,0.0,0.0,0.0,0.0
2019-06-30,1638.93,0.0,1638.93,80.57,125.33,1155.09,277.94,58.26,336.2,11.23,324.97,0.0,324.97,97.14,227.83,0.0,0.0,227.83,304.65,3.74,3.74,0.0,0.0,0.0,0.0,0.0
2019-09-30,1738.65,0.0,1738.65,82.92,127.83,1230.23,297.67,63.66,361.33,8.12,353.21,-861.05,-507.84,-185.82,-322.02,0.0,0.0,-322.02,304.65,-5.29,-5.29,0.0,0.0,0.0,0.0,0.0
2019-12-31,1527.58,0.0,1527.58,89.78,126.26,1066.1,245.44,62.64,308.08,5.96,302.12,0.0,302.12,126.63,175.49,0.0,0.0,175.49,304.65,2.88,2.88,0.0,0.0,0.0,0.0,0.0
2020-03-31,1568.63,0.0,1568.63,60.23,133.58,1033.94,340.88,95.17,436.05,10.76,425.29,-20.58,404.71,110.23,294.48,0.0,0.0,294.48,304.65,4.83,4.83,0.0,0.0,0.0,0.0,0.0
2020-06-30,1189.14,0.0,1189.14,79.6,126.02,950.51,33.01,58.8,91.81,8.47,83.34,0.0,83.34,21.67,61.67,0.0,0.0,61.67,304.65,1.01,1.01,0.0,0.0,0.0,0.0,0.0
2020-09-30,1502.73,0.0,1502.73,84.19,127.15,1105.59,185.8,71.31,257.11,8.51,248.6,0.0,248.6,61.02,187.58,0.0,0.0,187.58,304.65,3.08,3.08,0.0,0.0,0.0,0.0,0.0
2020-12-31,1753.83,0.0,1753.83,132.74,136.39,1249.21,235.49,82.17,317.66,8.4,309.26,0.0,309.26,71.36,237.9,0.0,0.0,237.9,304.65,3.9,3.9,0.0,0.0,0.0,0.0,0.0
2021-03-31,1939.27,0.0,1939.27,128.61,132.36,1621.66,56.64,73.2,129.84,8.58,121.26,-83.36,37.9,21.72,16.18,0.0,0.0,16.18,304.65,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2021-06-30,1807.54,0.0,1807.54,98.51,130.32,1275.51,303.2,55.52,358.72,13.91,344.81,0.0,344.81,89.94,254.87,0.0,0.0,254.87,304.65,4.18,4.18,0.0,0.0,0.0,0.0,0.0
2021-09-30,1823.92,0.0,1823.92,99.71,136.15,1297.74,290.32,75.01,365.33,13.52,351.81,-0.08,351.73,87.64,264.09,0.0,0.0,264.09,304.65,4.33,4.33,0.0,0.0,0.0,0.0,0.0
2021-12-31,1919.98,0.0,1919.98,96.15,132.43,1368.2,323.2,63.22,386.42,13.16,373.26,0.0,373.26,86.73,286.53,0.0,0.0,286.53,304.65,4.7,4.7,0.0,0.0,0.0,0.0,0.0
2022-03-31,2043.01,0.0,2043.01,121.23,130.92,1509.03,281.83,69.38,351.21,13.99,337.22,0.0,337.22,80.37,256.85,0.0,0.0,256.85,304.65,4.22,4.22,0.0,0.0,0.0,0.0,0.0
2022-06-30,1978.3,0.0,1978.3,103.35,131.24,1402.62,341.09,62.9,403.99,13.91,390.08,0.0,390.08,98.77,291.31,0.0,0.0,291.31,304.65,4.78,4.78,0.0,0.0,0.0,0.0,0.0
2022-09-30,1970.68,0.0,1970.68,92.25,134.09,1379.78,364.56,51.98,416.54,14.33,402.21,0.0,402.21,99.41,302.8,0.0,0.0,302.8,304.65,4.97,4.97,0.0,0.0,0.0,0.0,0.0
2022-12-31,1988.43,0.0,1988.43,107.67,135.65,1454.4,290.71,113.63,404.34,14.21,390.13,0.0,390.13,93.63,296.5,0.0,0.0,296.5,304.65,4.87,4.87,0.0,0.0,0.0,0.0,0.0
2023-03-31,2165.99,0.0,2165.99,124.09,153.11,1597.18,291.61,95.51,387.12,14.56,372.56,-1.25,371.31,92.84,278.47,0.0,0.0,278.47,304.65,4.57,4.57,0.0,0.0,0.0,0.0,0.0
2023-06-30,1919.34,0.0,1919.34,105.94,137.75,1421.8,253.85,81.47,335.32,14.13,321.19,0.0,321.19,77.07,244.12,0.0,0.0,244.12,304.65,4.01,4.01,0.0,0.0,0.0,0.0,0.0
2023-09-30,2190.4,0.0,2190.4,122.23,148.6,1530.92,388.65,102.45,491.1,14.67,476.43,0.0,476.43,118.73,357.7,0.0,0.0,357.7,304.65,5.87,5.87,0.0,0.0,0.0,0.0,0.0
2023-12-31,2205.12,0.0,2205.12,111.82,154.27,1581.6,357.43,100.68,458.11,17.53,440.58,0.0,440.58,106.15,334.43,0.0,0.0,334.43,304.65,5.49,5.49,0.0,0.0,0.0,0.0,0.0
2024-03-31,2317.63,0.0,2317.63,122.83,160.26,1705.79,328.75,93.67,422.42,19.0,403.42,-7.14,396.28,101.74,294.54,0.0,0.0,294.54,304.65,4.83,4.83,0.0,0.0,0.0,0.0,0.0
2024-06-30,2097.07,0.0,2097.07,116.76,164.93,1548.43,266.95,92.41,359.36,18.08,341.28,0.0,341.28,85.93,255.35,0.0,0.0,255.35,304.65,4.19,4.19,0.0,0.0,0.0,0.0,0.0
2024-09-30,2283.03,0.0,2283.03,115.0,161.71,1593.08,413.24,130.07,543.31,17.66,525.65,-33.32,492.33,121.28,371.05,0.0,0.0,371.05,304.65,6.09,6.09,0.0,0.0,0.0,0.0,0.0
2024-12-31,2201.9,0.0,2201.9,123.97,81.02,1619.67,377.24,99.49,476.73,17.13,459.6,0.0,459.6,116.16,343.44,0.0,0.0,343.44,304.65,5.64,5.64,0.0,0.0,0.0,0.0,0.0
