Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2014-03-31,27.67,27.67,727.37,727.37,755.04,0.0,51.99,0.0,1.74,53.73,401.47,67.09,26.66,6.2,501.42,1310.19,478.1,1.24,63.58,542.92,41.72,0.37,623.02,0.0,497.29,149.6,5.78,4.67,687.17,1310.19,53.57,5.62,0.05,606.86,0.0,36.63,4.97,0.0,0.0,38.01,29.83,146.47,1.89,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,27.67,27.67,798.23,798.23,825.9,24.91,55.08,0.0,3.62,83.61,278.16,62.85,27.84,4.54,373.39,1282.9,541.7,1.09,62.94,605.73,42.44,0.24,682.76,10.0,443.69,108.07,5.59,3.7,600.14,1282.9,24.68,1.84,0.05,300.64,0.0,30.34,4.97,0.0,10.0,34.35,29.09,295.35,0.71,17.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,27.67,27.67,892.95,892.95,920.62,21.72,39.06,6.84,3.47,71.09,299.55,83.35,36.62,5.76,425.28,1416.99,567.11,0.98,102.71,670.8,45.79,20.02,736.61,31.38,430.75,173.7,8.32,36.23,680.38,1416.99,66.05,801.6,0.06,290.5,0.0,40.44,19.45,28.63,2.75,0.0,0.0,804.41,1.85,25.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,22.93,22.93,830.17,830.17,853.1,14.48,36.4,8.68,4.07,63.63,613.9,101.51,69.97,6.72,792.1,1708.83,606.28,0.85,158.65,765.78,47.13,22.37,835.28,0.0,624.35,207.78,5.79,35.63,873.55,1708.83,0.0,785.08,0.0,217.15,0.0,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,22.93,22.93,999.42,999.42,1022.35,7.24,38.53,8.8,4.38,58.95,632.39,122.83,52.03,6.23,813.48,1894.78,771.06,0.69,54.3,826.05,42.62,14.66,883.33,0.0,723.73,229.31,6.94,51.47,1011.45,1894.78,34.65,285.68,0.0,576.29,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,22.93,22.93,1185.31,1185.31,1208.24,0.78,39.66,8.57,5.23,54.24,209.24,168.79,68.07,6.58,452.68,1715.16,752.3,0.72,60.73,813.75,27.64,29.56,870.95,24.8,501.64,217.96,16.43,83.38,844.21,1715.16,25.09,391.71,0.0,972.97,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,22.93,22.93,1303.53,1303.53,1326.46,1.44,34.92,16.93,6.52,59.81,145.6,134.81,63.16,6.26,349.83,1736.1,786.56,0.64,12.19,799.39,17.53,21.31,838.23,4.6,598.71,154.24,101.36,38.96,897.87,1736.1,94.18,463.4,0.0,452.27,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,22.93,22.93,1642.61,1642.61,1665.54,2.12,43.76,13.58,6.62,66.08,150.61,170.16,115.32,6.2,442.29,2173.91,730.25,0.49,106.31,837.05,35.62,37.26,909.93,155.98,723.41,225.38,97.85,61.36,1263.98,2173.91,170.9,373.23,0.0,1485.91,0.0,0.0,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,22.93,22.93,2104.3,2104.3,2127.23,2.62,45.49,18.33,6.93,73.37,266.19,187.68,104.15,5.4,563.42,2764.02,770.58,0.41,245.97,1016.96,63.59,45.67,1126.22,662.1,666.16,224.41,17.97,67.16,1637.8,2764.02,112.77,462.87,0.0,1138.98,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,22.93,22.93,2420.0,2420.0,2442.93,3.09,57.42,9.85,7.39,77.75,217.58,144.7,72.55,5.05,439.88,2960.56,1041.41,0.72,86.99,1129.12,101.14,28.89,1259.15,575.59,665.1,277.96,100.18,82.58,1701.41,2960.56,82.36,498.38,0.0,1448.85,0.0,0.0,34.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,45.87,45.87,2723.24,2723.24,2769.11,1.94,73.75,10.48,10.27,96.44,192.99,172.09,68.49,3.93,437.5,3303.05,1035.95,0.59,152.55,1189.09,185.23,50.79,1425.11,664.27,785.85,321.76,18.9,87.16,1877.94,3303.05,129.68,558.96,0.0,1749.52,22.93,0.0,22.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
