Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2016-06-30,780.8,1.11,781.91,465.53,127.07,-1.56,24.02,17.03,86.04,63.78,1.49,65.27,2.24,63.03,63.03,14.77,48.26,0.0,48.26,27.67,3.49,3.49,0.0,0.0,0.0,0.0,0.0
2016-09-30,629.04,0.94,629.98,446.52,31.81,6.85,20.98,17.73,74.09,32.0,4.2,36.2,1.27,34.93,34.93,5.1,29.83,0.0,29.83,27.67,2.16,2.16,0.0,0.0,0.0,0.0,0.0
2016-12-31,864.39,3.22,867.61,694.52,51.42,-66.77,23.7,17.66,90.39,56.69,3.43,60.12,2.66,57.46,57.46,12.1,45.36,0.0,45.36,27.67,3.29,3.29,0.0,0.0,0.0,0.0,0.0
2017-03-31,1062.78,0.0,1062.78,717.32,182.72,-32.11,22.64,19.0,101.7,51.51,7.61,59.12,16.62,42.5,42.5,8.85,33.65,0.0,33.65,22.93,2.47,2.47,0.0,0.0,0.0,0.0,0.0
2017-06-30,690.43,0.0,690.43,486.92,60.53,-0.6,19.28,18.25,84.51,21.54,1.03,22.57,2.42,20.15,20.15,3.31,16.84,0.0,16.84,22.93,1.47,1.47,0.0,0.0,0.0,0.0,0.0
2017-09-30,770.54,0.0,770.54,504.33,81.96,17.61,21.84,18.76,97.15,28.89,4.01,32.9,4.13,28.77,28.77,7.83,20.94,0.0,20.94,22.93,1.83,1.83,0.0,0.0,0.0,0.0,0.0
2017-12-31,1013.4,0.0,1013.4,730.83,48.76,-10.14,28.77,19.35,107.78,88.05,7.16,95.21,4.6,90.61,90.61,27.41,63.2,0.0,63.2,22.93,5.51,5.51,0.0,0.0,0.0,0.0,0.0
2018-03-31,880.76,0.0,880.76,623.41,6.19,-14.08,28.48,19.93,119.85,96.98,2.43,99.41,6.79,92.62,92.62,13.73,78.89,0.0,78.89,22.93,6.88,6.88,0.0,0.0,0.0,0.0,0.0
2018-06-30,804.15,0.0,804.15,429.95,28.91,103.78,26.89,23.48,116.96,74.18,5.05,79.23,6.88,72.35,72.35,19.3,53.05,0.0,53.05,22.93,4.63,4.63,0.0,0.0,0.0,0.0,0.0
2018-09-30,776.31,0.0,776.31,487.57,87.38,-20.58,25.48,24.72,122.18,49.56,1.75,51.31,5.43,45.88,45.88,12.74,33.14,0.0,33.14,22.93,2.89,2.89,0.0,0.0,0.0,0.0,0.0
2018-12-31,1177.47,0.0,1177.47,926.33,94.41,-137.73,33.35,24.07,124.83,112.21,2.05,114.26,4.81,109.45,109.45,28.99,80.46,0.0,80.46,22.93,7.02,7.02,0.0,0.0,0.0,0.0,0.0
2019-03-31,1263.51,0.0,1263.51,882.0,50.88,99.96,22.23,23.37,144.27,40.8,2.79,43.59,1.71,41.88,41.88,10.37,31.51,0.0,31.51,22.93,2.75,2.75,0.0,0.0,0.0,0.0,0.0
2019-06-30,1011.44,0.0,1011.44,629.58,162.88,30.3,22.86,25.1,109.86,30.86,2.68,33.54,2.36,31.18,31.18,8.5,22.68,0.0,22.68,22.93,1.98,1.98,0.0,0.0,0.0,0.0,0.0
2019-09-30,908.36,0.0,908.36,584.43,104.91,56.27,22.05,25.55,95.72,19.43,0.82,20.25,2.92,17.33,17.33,2.78,14.55,0.0,14.55,22.93,1.27,1.27,0.0,0.0,0.0,0.0,0.0
2019-12-31,998.63,0.0,998.63,778.07,29.56,-42.35,30.06,25.36,102.73,75.2,2.37,77.57,1.78,75.79,75.79,21.63,54.16,0.0,54.16,22.93,4.72,4.72,0.0,0.0,0.0,0.0,0.0
2020-03-31,898.16,0.0,898.16,681.92,42.76,-50.86,26.94,24.77,117.2,55.43,3.66,59.09,2.04,57.05,57.05,2.6,54.45,0.0,54.45,22.93,4.75,4.75,0.0,0.0,0.0,0.0,0.0
2020-06-30,828.27,0.0,828.27,492.35,160.66,-10.48,22.55,27.29,87.33,48.57,6.04,54.61,1.44,53.17,53.17,15.84,37.33,0.0,37.33,22.93,3.26,3.26,0.0,0.0,0.0,0.0,0.0
2020-09-30,989.29,0.0,989.29,610.85,96.76,24.87,29.39,26.76,117.28,83.38,10.92,94.3,1.17,93.13,93.13,20.26,72.87,0.0,72.87,22.93,6.36,6.36,0.0,0.0,0.0,0.0,0.0
2020-12-31,1211.2,0.0,1211.2,843.5,117.99,-82.14,32.32,25.6,142.32,131.61,10.42,142.03,1.06,140.97,140.97,31.45,109.52,0.0,109.52,22.93,4.78,4.78,0.0,0.0,0.0,0.0,0.0
2021-03-31,1676.54,0.0,1676.54,996.04,273.13,-33.25,43.55,23.6,207.62,165.85,1.45,167.3,2.1,165.2,165.2,46.78,118.42,0.0,118.42,22.93,5.16,5.16,0.0,0.0,0.0,0.0,0.0
2021-06-30,1025.0,0.0,1025.0,481.75,171.19,43.52,28.86,25.77,132.0,141.91,9.18,151.09,0.58,150.51,150.51,36.68,113.83,0.0,113.83,22.93,4.96,4.96,0.0,0.0,0.0,0.0,0.0
2021-09-30,1151.82,0.0,1151.82,594.82,166.87,59.04,40.98,23.58,143.96,122.56,14.69,137.25,1.32,135.93,135.93,32.77,103.16,0.0,103.16,22.93,4.5,4.5,0.0,0.0,0.0,0.0,0.0
2021-12-31,1238.0,0.0,1238.0,780.23,87.8,12.97,37.23,24.89,160.58,134.31,10.44,144.74,2.03,142.71,142.71,37.58,105.13,0.0,105.13,22.93,4.59,4.59,0.0,0.0,0.0,0.0,0.0
2022-03-31,1255.49,0.0,1255.49,769.37,81.56,-27.93,40.7,23.09,177.68,191.02,19.73,210.75,1.75,209.0,209.0,55.7,153.3,0.0,153.3,22.93,6.69,6.69,0.0,0.0,0.0,0.0,0.0
2022-06-30,1272.86,0.0,1272.86,767.98,186.09,-77.12,24.95,23.84,203.93,143.19,15.94,159.13,3.75,155.38,155.38,40.78,114.6,0.0,114.6,22.93,5.0,5.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,1077.77,0.0,1077.77,723.27,21.14,27.76,22.26,23.7,189.72,69.92,16.25,86.17,2.58,83.59,83.59,19.49,64.1,0.0,64.1,22.93,2.8,2.8,0.0,0.0,0.0,0.0,0.0
2022-12-31,1129.86,0.0,1129.86,810.77,32.77,-37.31,40.29,23.8,175.82,83.72,27.87,111.59,2.48,109.11,109.11,27.2,81.91,0.0,81.91,22.93,3.57,3.57,0.0,0.0,0.0,0.0,0.0
2023-03-31,1428.5,0.0,1428.5,982.99,106.05,2.18,33.71,23.32,196.5,83.75,13.82,97.57,4.45,93.12,93.12,23.56,69.56,0.0,69.56,22.93,3.03,3.03,0.0,0.0,0.0,0.0,0.0
2023-06-30,1162.99,0.0,1162.99,747.52,71.47,28.79,29.44,30.3,183.58,71.89,26.44,98.33,6.17,92.16,92.16,21.34,70.82,0.0,70.82,22.93,3.09,3.09,0.0,0.0,0.0,0.0,0.0
2023-09-30,1115.72,0.0,1115.72,657.07,99.49,42.54,32.72,30.49,180.39,73.02,42.17,115.19,5.87,109.32,109.32,26.33,82.99,0.0,82.99,22.93,3.62,3.62,0.0,0.0,0.0,0.0,0.0
2023-12-31,1301.78,0.0,1301.78,996.07,34.57,-98.23,35.62,30.05,208.38,95.32,38.62,133.94,2.98,130.96,130.96,30.3,100.66,0.0,100.66,22.93,4.39,4.39,0.0,0.0,0.0,0.0,0.0
2024-03-31,1346.44,0.0,1346.44,832.31,110.79,60.26,36.35,30.3,195.24,81.19,37.27,118.46,3.36,115.1,115.1,23.7,91.4,0.0,91.4,45.87,1.99,1.99,0.0,0.0,0.0,0.0,0.0
2024-06-30,1090.44,0.0,1090.44,750.66,25.58,-0.57,31.9,30.82,177.12,74.93,28.82,103.75,3.39,100.36,100.36,23.62,76.74,0.0,76.74,45.87,1.67,1.67,0.0,0.0,0.0,0.0,0.0
2024-09-30,1124.64,0.0,1124.64,767.47,40.55,7.05,31.52,31.25,167.98,78.82,19.89,98.71,4.26,94.45,94.45,24.92,69.53,0.0,69.53,45.87,1.52,1.52,0.0,0.0,0.0,0.0,0.0
2024-12-31,1130.88,0.0,1130.88,758.42,57.42,-20.41,29.91,31.82,182.53,91.19,9.38,100.57,2.87,97.7,97.7,25.84,71.86,0.0,71.86,45.87,1.57,1.57,0.0,0.0,0.0,0.0,0.0
2025-03-31,1266.62,0.0,1266.62,790.0,138.48,57.94,40.8,31.75,177.06,30.59,25.61,56.2,6.2,50.0,50.0,17.31,32.69,0.0,32.69,45.87,0.71,0.71,0.0,0.0,0.0,0.0,0.0
