Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Money Received Against Share Warrants,Intangible Assets Under Development,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2014-03-31,23.44,23.44,302.08,302.08,0.0,325.51,93.94,34.58,0.05,0.96,129.53,261.51,61.55,29.28,18.99,371.33,826.38,230.01,0.0,14.54,0.0,247.94,86.6,69.77,11.57,415.87,180.71,182.25,4.05,33.62,9.88,410.51,826.38,6.29,0.15,95.31,0.0,0.97,0.05,86.55,0.0,0.0,5.61,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,23.44,23.44,318.38,318.38,0.0,341.81,83.6,44.54,0.05,1.28,129.48,272.05,39.76,43.6,19.98,375.4,846.69,295.18,0.0,20.08,0.0,318.87,88.1,66.59,11.5,485.05,183.35,120.16,9.61,39.22,9.29,361.63,846.69,37.44,1.31,104.91,0.0,0.97,0.05,88.05,0.0,0.0,11.81,0.0,0.0,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,23.44,23.44,323.79,323.79,0.0,347.23,142.73,46.97,0.0,2.18,191.88,282.49,145.99,71.79,28.77,529.04,1068.15,328.69,3.36,25.52,0.0,357.57,89.89,68.64,0.05,516.15,262.35,263.14,1.03,22.72,2.76,552.0,1068.15,97.95,2.92,63.98,0.0,0.97,0.0,89.89,246.47,0.21,650.42,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,23.59,23.59,787.14,787.14,0.0,810.73,97.8,62.12,4.04,6.28,170.24,340.99,442.96,73.11,0.18,857.24,1838.21,488.83,3.69,116.96,12.3,621.78,391.16,0.24,77.92,1091.1,362.3,252.86,0.64,0.65,130.66,747.11,1838.21,486.41,0.0,0.0,0.0,0.97,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,23.73,23.73,881.86,881.86,0.0,905.59,75.0,77.55,28.92,6.53,188.0,564.97,352.87,130.88,0.25,1048.97,2142.56,702.62,3.24,39.57,10.91,756.34,391.83,0.0,64.74,1212.91,503.68,339.02,1.17,0.86,84.92,929.65,2142.56,124.89,0.0,0.0,0.0,0.97,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,23.85,23.85,983.93,983.93,0.0,1007.78,139.93,94.98,45.47,8.03,288.41,451.89,624.17,204.59,0.61,1281.26,2577.45,799.19,2.85,22.49,0.0,824.53,392.29,0.5,88.73,1306.05,680.25,421.61,24.78,0.79,143.97,1271.4,2577.45,74.92,0.0,0.0,0.0,0.97,0.0,392.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,24.87,24.87,1241.23,1241.23,9.14,1275.24,245.29,72.16,45.57,12.73,375.75,244.61,587.5,90.79,0.51,923.41,2574.4,954.71,2.39,6.24,0.0,963.34,395.59,75.0,75.82,1509.75,590.27,306.94,39.92,1.04,126.48,1064.65,2574.4,186.39,90.68,0.0,277.88,0.97,0.15,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,24.98,24.98,1420.03,1420.03,3.78,1448.79,224.48,76.39,49.55,11.69,362.11,208.42,696.87,103.13,0.57,1008.99,2819.89,890.01,1.62,52.89,0.0,944.52,525.81,107.29,74.57,1652.19,550.39,87.18,344.49,1.11,184.53,1167.7,2819.89,109.54,1.67,0.0,119.2,0.97,0.1,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,50.06,50.06,1693.46,1693.46,1.57,1745.09,172.4,78.19,50.26,11.12,311.97,215.6,896.7,36.73,0.81,1149.84,3206.9,899.29,1.06,42.94,62.51,1005.8,754.08,0.42,102.82,1863.12,673.88,327.97,223.29,1.02,117.62,1343.78,3206.9,72.29,61.74,0.0,385.67,25.95,0.21,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,55.47,55.47,2515.48,2515.48,0.0,2570.95,64.62,103.34,78.06,16.89,262.91,333.96,1265.0,70.24,0.91,1670.11,4503.97,1317.6,138.72,36.23,62.51,1555.06,960.71,347.45,92.36,2955.58,1057.54,104.29,255.66,1.2,129.7,1548.39,4503.97,72.62,5.56,0.0,370.46,25.95,1.06,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,55.51,55.51,2833.88,2833.88,0.0,2889.39,35.37,105.68,72.78,19.21,233.04,94.86,1296.44,75.39,0.69,1467.38,4589.81,1235.22,139.97,116.82,62.51,1554.52,1344.89,111.36,108.64,3119.41,993.92,24.11,73.17,1.03,378.17,1470.4,4589.81,142.26,97.68,0.0,385.67,25.95,0.0,5.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,55.51,55.51,3031.31,3031.31,0.0,3086.82,658.14,103.87,86.81,20.89,869.71,11.03,1379.62,94.14,0.88,1485.67,5442.2,1600.82,2.15,168.91,0.0,1771.88,1577.34,61.79,170.79,3581.8,977.53,89.74,413.47,1.31,378.35,1860.4,5442.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
