Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %
2017-06-30,1148.69,972.22,1.25,23.0,648.83,1757.13,165.41,184.77,39.18,647.49,-14.6,0.0,662.09,224.5,437.59,437.59,3401.0,0.0,7.69,1.29,1.28,2004.06,803.72,4.13,1.7,1.52
2017-09-30,1211.15,973.41,1.14,34.13,145.23,1757.96,158.02,164.13,40.17,244.79,-100.37,0.0,345.16,111.5,233.66,233.66,3401.88,0.0,7.68,0.69,0.68,2001.54,804.99,3.92,1.61,0.78
2017-12-31,1222.93,1027.86,2.44,30.5,230.79,1788.76,171.4,199.0,40.62,314.72,108.61,0.0,206.11,60.0,146.11,146.11,3402.68,0.0,7.68,0.43,0.43,2776.67,1206.28,5.62,2.52,0.49
2018-03-31,1140.18,1067.82,3.44,69.85,93.05,1828.07,181.14,265.23,43.52,56.39,242.46,0.0,-186.07,-228.0,41.93,41.93,3404.07,0.0,7.68,0.12,0.12,1779.06,891.16,3.31,1.69,0.14
2018-06-30,1250.33,998.75,4.81,67.26,198.72,1831.31,201.56,199.43,45.45,242.12,33.99,0.0,208.13,26.58,181.55,181.55,3404.11,0.0,7.68,0.53,0.53,1774.47,881.08,3.24,1.63,0.58
2018-09-30,1341.35,947.44,3.11,42.25,119.32,1882.94,209.75,293.0,49.09,18.7,601.38,0.0,-582.69,-213.0,-369.69,-369.69,3404.41,0.0,7.68,-1.09,-1.09,895.5,321.18,1.63,0.59,-1.19
2018-12-31,2632.06,976.95,6.91,48.15,304.32,2518.9,358.86,724.51,58.16,307.96,212.53,-2599.35,-2503.91,-965.9,-1538.01,-1538.01,3404.41,0.0,7.68,-3.22,-3.17,1670.85,796.02,1.97,0.95,-3.92
2019-03-31,2594.11,982.51,8.35,43.81,316.21,2515.93,348.03,738.93,60.63,281.48,698.2,0.0,-416.72,-198.69,-218.03,-218.03,4781.68,0.0,5.47,-0.46,-0.45,2136.04,1106.63,2.43,1.27,-0.55
2019-06-30,2766.62,960.84,16.49,49.17,310.45,2618.65,361.09,728.16,77.93,317.74,1280.76,0.0,-963.02,-345.66,-617.36,-617.36,4782.48,0.0,5.47,-1.29,-1.27,2418.56,1215.13,2.66,1.35,-1.47
2019-09-30,2883.39,1062.47,12.6,59.71,348.96,2655.09,404.37,816.74,73.4,417.52,317.36,0.0,100.16,779.66,-679.5,-679.5,4782.77,0.0,5.47,-1.42,-1.38,2306.26,1010.96,2.62,1.17,-1.63
2019-12-31,2983.59,1028.68,6.06,81.83,578.98,2565.89,398.57,953.8,79.18,681.71,2304.76,0.0,-1623.05,15.85,-1638.89,-1638.89,4789.46,0.0,5.46,-3.43,-3.38,2511.36,1071.63,2.83,1.23,-4.02
2020-03-31,3000.95,865.29,45.38,44.25,483.77,2392.37,363.56,1163.94,0.0,519.77,412.38,0.0,107.39,35.85,71.54,71.54,4809.9,0.0,5.43,0.15,0.15,2279.56,808.57,2.6,0.94,0.18
2020-06-30,3005.92,750.45,35.08,39.94,484.85,2205.49,443.16,775.96,0.0,891.63,764.09,0.0,127.55,34.0,93.55,93.55,5672.34,0.0,4.61,0.19,0.19,1741.66,436.59,1.99,0.51,0.24
2020-09-30,2981.74,759.98,16.32,42.64,168.44,2140.95,488.68,997.23,0.0,342.26,215.85,0.0,126.41,25.0,101.41,101.41,5672.34,0.0,4.61,0.18,0.18,1486.11,390.95,1.62,0.43,0.26
2020-12-31,3040.02,844.13,30.89,37.42,759.26,2208.55,525.54,1316.69,0.0,660.94,482.23,0.0,178.71,49.2,129.51,129.51,5672.91,0.0,4.61,0.23,0.23,1289.24,320.62,1.33,0.33,0.33
2021-03-31,3214.84,684.65,29.88,63.5,841.14,2032.61,519.59,1635.97,0.0,645.85,602.73,0.0,43.12,-84.7,127.81,127.81,5675.85,0.0,4.61,0.23,0.22,4303.01,1883.28,4.15,1.86,0.33
2021-06-30,3341.17,709.4,9.04,29.68,848.77,1904.5,554.4,1477.93,0.0,1001.22,1878.61,0.0,-877.39,-247.35,-630.04,-630.04,6206.84,0.0,4.21,-1.02,-1.02,4667.13,2293.18,4.61,2.32,-1.52
2021-09-30,3408.17,595.38,36.29,60.74,779.71,1828.42,635.76,1723.53,0.0,692.58,474.95,0.0,217.63,65.89,151.74,151.74,6212.11,0.0,4.21,0.24,0.24,4485.53,2150.34,4.27,2.09,0.35
2021-12-31,3598.96,687.13,117.09,25.98,768.63,1849.2,721.74,1857.12,0.0,769.73,391.85,0.0,377.88,96.82,281.06,281.06,6215.24,0.0,4.21,0.45,0.45,4456.94,1914.0,3.96,1.74,0.64
2022-03-31,3825.7,623.46,78.82,25.66,831.24,1884.4,784.63,1889.33,0.0,826.52,369.47,0.0,457.05,114.32,342.73,342.73,6217.71,0.0,4.2,0.55,0.54,4469.13,1808.07,3.7,1.53,0.76
2022-06-30,4169.75,652.99,65.27,33.67,855.67,2170.58,830.16,1832.79,0.0,943.82,307.99,0.0,635.83,161.5,474.33,474.33,6219.09,0.0,4.2,0.76,0.75,4354.75,1653.82,3.36,1.3,0.97
2022-09-30,4603.43,801.76,24.31,40.19,1061.34,2467.51,918.61,1976.21,0.0,1168.7,424.17,0.0,744.53,188.96,555.57,555.57,6221.34,0.0,4.2,0.89,0.88,4396.19,1479.97,3.18,1.09,1.07
2022-12-31,4999.88,823.02,32.64,56.28,1152.48,2626.52,952.78,2224.23,0.0,1260.77,450.23,0.0,810.54,205.93,604.61,604.61,6236.69,0.0,4.19,0.97,0.96,4302.64,1464.16,2.96,1.03,1.11
2023-03-31,5386.32,954.43,26.15,57.45,1397.48,2827.6,1040.68,2394.89,0.0,1558.66,482.43,0.0,1076.23,273.61,802.62,802.62,6618.12,0.0,3.95,1.28,1.26,3884.45,1304.05,2.51,0.86,1.41
2023-06-30,5844.32,941.77,29.02,52.61,1413.82,3122.6,1152.75,2505.85,0.0,1500.34,476.17,0.0,1024.17,259.01,765.16,765.16,6628.18,0.0,3.94,1.16,1.14,3603.38,1149.03,2.17,0.7,1.26
2023-09-30,6324.64,967.52,21.46,42.55,1429.63,3405.98,1190.1,2679.47,0.0,1510.25,528.36,0.0,981.89,230.57,751.32,751.32,6722.45,0.0,3.89,1.13,1.11,3747.8,1192.5,2.11,0.68,1.16
2023-12-31,6747.47,1035.36,20.69,75.88,1516.55,3592.83,1221.67,3018.98,0.0,1562.47,654.81,0.0,907.66,191.98,715.68,715.68,7066.82,0.0,3.7,1.02,1.0,3775.39,1250.34,2.04,0.68,1.06
2024-03-31,6999.46,1173.04,22.47,24.24,1642.0,3750.34,1328.01,3118.95,0.0,1663.91,722.31,0.0,941.6,217.25,724.35,724.35,7069.92,0.0,3.7,1.02,1.01,3718.36,1160.46,1.88,0.6,1.03
2024-06-30,7367.2,1327.59,23.86,69.95,1619.15,4093.7,1337.35,3094.25,0.0,1882.45,994.4,0.0,888.05,207.4,680.65,680.65,7081.12,0.0,3.69,0.96,0.95,3904.2,1195.28,1.9,0.59,0.91
2024-09-30,7581.0,1281.76,33.29,60.88,1727.3,4169.08,1424.07,3129.23,0.0,1961.85,1731.94,0.0,229.91,29.22,200.69,200.69,7482.73,0.0,3.49,0.27,0.27,4195.19,1037.61,1.92,0.48,0.25
2024-12-31,7915.12,1313.54,29.2,85.16,1779.85,4440.96,1420.33,3502.64,0.0,1758.94,1337.92,0.0,421.02,81.59,339.43,339.43,7320.05,0.0,9.11,0.46,0.46,4399.32,1161.96,1.94,0.52,0.41
2025-03-31,7971.2,1394.5,28.2,19.04,1895.41,4505.78,1528.15,3462.81,0.0,1811.61,1450.47,0.0,361.14,57.06,304.08,304.08,7322.11,0.0,9.1,0.42,0.41,4433.58,1229.92,1.87,0.53,0.36
