Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%)
2015-06-30,572.63,123.65,3.5,6.26,104.89,482.41,48.26,83.11,197.16,45.1,0.0,152.06,40.5,111.56,111.56,59.66,0.0,16.09,1.87,1.77,359.44,234.33,2.01,1.32,1.57,59.66,100.0
2015-09-30,582.95,143.26,2.59,6.12,94.52,494.83,48.93,80.49,205.2,49.85,0.0,155.35,47.5,107.85,107.85,59.82,0.0,15.41,1.81,1.71,398.29,255.94,2.1,1.36,1.45,59.82,100.0
2015-12-31,598.22,140.46,2.75,5.54,103.31,494.12,63.25,86.03,206.89,64.83,0.0,142.06,29.0,113.06,113.06,59.82,2635.87,14.94,1.89,1.79,459.86,286.82,2.37,1.49,1.5,0.0,0.0
2016-03-31,613.8,133.6,4.05,4.81,107.26,491.81,52.73,94.93,224.04,70.81,0.0,153.23,41.0,112.23,112.23,59.82,0.0,15.8,1.88,1.83,511.98,323.15,2.41,1.53,1.46,0.0,0.0
2016-06-30,633.9,129.65,4.53,4.12,111.11,492.18,63.11,92.24,235.78,70.75,0.0,165.03,41.5,123.53,123.53,59.82,0.0,0.0,2.07,2.01,555.03,333.98,2.62,1.59,1.55,0.0,0.0
2016-09-30,647.77,134.17,4.48,4.25,104.19,489.48,76.91,91.73,236.74,67.0,0.0,169.74,46.0,123.74,123.74,59.82,0.0,0.0,2.07,2.02,597.97,358.6,2.69,1.63,1.5,0.0,0.0
2016-12-31,656.55,139.15,10.6,4.7,142.8,504.02,80.33,95.87,273.58,91.96,0.0,181.62,55.0,126.62,126.62,60.11,0.0,0.0,2.12,2.07,649.93,370.66,2.98,1.72,1.45,0.0,0.0
2017-03-31,651.99,135.53,7.64,4.75,125.85,489.35,77.78,110.99,247.64,71.26,0.0,176.38,47.5,128.88,128.88,60.11,0.0,0.0,2.14,2.1,681.98,408.34,2.83,1.71,1.5,0.0,0.0
2017-06-30,691.17,123.82,6.05,4.49,135.33,483.15,76.53,104.22,296.96,116.64,0.0,180.32,40.0,140.32,140.32,60.11,0.0,0.0,2.33,2.29,734.96,425.96,3.05,1.79,1.6,0.0,0.0
2017-09-30,701.06,129.95,5.5,4.37,155.25,486.02,82.72,107.33,320.06,129.3,0.0,190.76,46.0,144.76,144.76,66.35,0.0,0.0,2.22,2.19,780.39,440.98,3.07,1.76,1.58,0.0,0.0
2017-12-31,724.61,131.46,5.33,3.95,121.69,500.23,79.88,110.49,296.45,85.66,0.0,210.79,56.0,154.79,154.79,66.35,0.0,0.0,2.33,2.3,859.79,447.82,3.3,1.74,1.64,0.0,0.0
2018-03-31,723.55,137.53,5.82,3.76,119.82,502.72,76.76,116.73,294.28,86.15,0.0,208.13,56.0,152.13,152.13,66.47,0.0,0.0,2.29,2.28,856.55,474.78,3.03,1.7,1.58,0.0,0.0
2018-06-30,742.54,138.88,4.39,3.69,129.11,514.73,87.3,117.18,299.41,77.76,0.0,221.65,60.0,161.65,161.65,66.54,0.0,0.0,2.43,2.42,851.12,473.49,3.02,1.7,1.64,0.0,0.0
2018-09-30,777.12,141.55,4.5,3.32,118.55,528.46,93.0,127.63,295.95,67.96,0.0,227.99,60.0,167.99,167.99,73.19,0.0,0.0,2.3,2.29,847.88,497.78,2.85,1.69,1.62,0.0,0.0
2018-12-31,819.66,138.28,5.75,2.93,119.83,548.53,92.74,138.32,306.86,78.75,0.0,228.11,50.0,178.11,178.11,73.19,0.0,0.0,2.43,2.43,891.92,527.6,2.91,1.74,1.68,0.0,0.0
2019-03-31,838.34,134.89,8.68,2.65,146.89,563.95,91.4,138.32,337.78,90.67,0.0,247.11,72.0,175.11,175.11,73.45,0.0,0.0,2.39,2.37,977.05,591.46,2.95,1.81,1.63,0.0,0.0
2019-06-30,868.62,141.08,16.99,2.54,163.29,612.36,100.37,128.41,351.4,115.75,0.0,235.65,50.0,185.65,185.65,73.45,0.0,0.0,2.53,2.49,1076.22,599.96,3.34,1.89,1.63,0.0,0.0
2019-09-30,861.76,160.24,12.36,2.46,194.97,625.28,113.09,146.95,346.48,107.95,0.0,238.53,45.0,193.53,193.53,73.53,0.0,0.0,2.63,2.6,1135.44,624.08,3.41,1.9,1.62,0.0,0.0
2019-12-31,883.6,163.13,11.88,2.26,142.37,633.6,113.36,147.85,308.43,81.0,0.0,227.43,35.0,192.43,192.43,73.58,0.0,0.0,2.62,2.58,1185.43,649.41,3.5,1.95,1.57,0.0,0.0
2020-03-31,880.6,145.47,13.58,2.03,179.31,622.18,93.83,169.88,335.09,450.38,0.0,-115.29,-20.0,-95.29,-95.29,73.73,0.0,0.0,-1.29,-1.28,1413.4,778.49,4.09,2.29,-0.77,0.0,0.0
2020-06-30,892.18,140.08,15.24,1.85,160.59,612.4,116.42,125.09,356.04,157.0,0.0,199.04,45.0,154.04,154.04,73.73,0.0,0.0,2.09,2.07,1346.09,716.35,3.9,2.11,1.23,0.0,0.0
2020-09-30,898.82,152.16,8.2,1.77,169.32,585.82,119.87,139.92,384.67,177.0,0.0,207.67,50.0,157.67,157.67,73.84,0.0,0.0,2.14,2.12,1220.58,631.44,3.44,1.81,1.23,0.0,0.0
2020-12-31,890.67,146.96,8.79,1.6,229.77,558.98,120.19,140.2,458.43,218.5,0.0,239.93,70.0,169.93,169.93,73.84,0.0,0.0,2.3,2.28,1071.69,527.15,2.94,1.47,1.29,0.0,0.0
2021-03-31,826.14,143.61,5.24,1.36,145.08,547.83,107.23,181.67,284.7,238.52,0.0,46.19,-65.0,111.19,111.19,73.88,0.0,0.0,1.51,1.49,1893.19,1075.19,5.11,2.97,0.84,0.0,0.0
2021-06-30,855.97,136.3,3.96,1.2,195.65,549.83,129.26,130.97,383.02,170.03,0.0,212.99,40.0,172.99,172.99,73.88,0.0,0.0,2.34,2.31,2035.35,1242.17,5.59,3.49,1.29,0.0,0.0
2021-09-30,863.21,154.16,3.73,1.09,202.75,543.93,126.96,148.95,405.1,148.0,0.0,257.1,75.0,182.1,182.1,73.88,0.0,0.0,2.46,2.43,2119.34,1294.05,5.58,3.48,1.32,0.0,0.0
2021-12-31,864.65,165.56,4.01,1.03,160.0,545.27,133.78,146.58,369.62,123.5,0.0,246.12,50.0,196.12,196.12,73.94,0.0,0.0,2.65,2.62,1998.55,1295.91,5.21,3.44,1.36,0.0,0.0
2022-03-31,870.16,174.5,4.27,0.99,202.95,549.25,113.6,150.17,439.85,170.9,0.0,268.96,60.0,208.96,208.96,73.96,0.0,0.0,2.83,2.8,1933.18,1191.1,4.7,2.95,1.42,0.0,0.0
2022-06-30,901.81,189.51,7.19,0.92,217.54,574.53,132.72,162.59,447.14,152.0,0.0,295.14,70.0,225.14,225.14,73.96,0.0,0.0,3.04,3.01,1903.51,1161.24,4.65,2.89,1.46,0.0,0.0
2022-09-30,955.27,213.34,11.74,0.83,173.47,613.29,141.19,143.72,456.45,105.0,0.0,351.45,75.0,276.45,276.45,73.96,0.0,0.0,3.74,3.7,1861.82,1128.7,4.36,2.69,1.72,0.0,0.0
2022-12-31,969.5,216.83,18.53,0.79,224.33,649.91,126.8,155.92,497.34,224.5,0.0,272.84,55.0,217.84,217.84,74.01,0.0,0.0,2.94,2.92,1988.67,1124.47,4.62,2.67,1.34,0.0,0.0
2023-03-31,974.33,215.45,37.53,0.76,195.02,713.81,129.66,162.57,417.04,159.0,0.0,258.04,40.0,218.04,218.04,74.04,0.0,0.0,2.95,2.92,1920.16,1017.64,4.37,2.36,1.33,0.0,0.0
2023-06-30,1008.88,221.35,35.26,0.68,191.48,743.62,132.15,167.61,414.27,152.0,0.0,262.27,35.0,227.27,227.27,74.04,0.0,0.0,3.08,3.05,2081.07,1038.59,4.91,2.51,1.4,0.0,0.0
2023-09-30,1028.03,239.27,36.09,0.66,182.07,765.62,158.21,175.67,386.61,56.0,0.0,330.61,50.0,280.61,280.61,74.04,0.0,0.0,3.78,3.75,2034.63,998.73,4.66,2.34,1.69,0.0,0.0
2023-12-31,1035.91,246.51,43.21,0.62,192.88,810.31,155.62,189.15,364.03,46.0,0.0,318.03,65.0,253.03,253.03,74.06,0.0,0.0,3.42,3.39,1968.11,940.9,4.47,2.19,1.49,0.0,0.0
2024-03-31,1080.56,251.76,39.66,2.13,175.23,827.54,167.83,202.16,351.82,32.0,0.0,319.82,65.0,254.82,254.82,74.07,0.0,0.0,3.44,3.42,1854.43,898.68,3.99,1.97,1.48,0.0,0.0
2024-06-30,1086.47,262.09,38.36,1.72,192.13,843.47,174.4,189.41,373.49,39.0,0.0,334.49,70.0,264.49,264.49,74.07,0.0,0.0,3.57,3.54,1806.45,853.5,3.88,1.87,1.51,0.0,0.0
2024-09-30,1143.47,270.99,16.35,3.13,226.32,851.46,183.53,197.09,428.18,70.0,0.0,358.18,73.0,285.18,285.18,74.07,0.0,0.0,3.85,3.82,1725.5,775.02,3.54,1.62,1.59,0.0,0.0
2024-12-31,1198.96,268.91,9.06,1.81,228.39,890.99,178.52,201.61,436.0,75.0,0.0,361.0,75.0,286.0,286.0,74.1,0.0,0.0,3.86,3.83,1693.04,701.54,3.36,1.42,1.57,0.0,0.0
2025-03-31,1243.25,271.36,16.34,1.78,251.22,932.4,196.54,214.04,440.96,78.0,0.0,362.96,75.0,287.96,287.96,74.1,0.0,0.0,3.89,3.86,1638.17,653.07,3.09,1.25,1.53,0.0,0.0
