Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Other Long Term Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Trade/Other Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,39.08,39.08,1696.83,1696.83,1735.91,89.67,190.3,200.85,225.76,126.43,140.39,693.42,2619.64,635.83,2.26,3.38,0.0,641.47,157.56,7.67,0.02,806.72,342.66,883.0,423.38,23.97,119.01,20.89,1812.92,2619.64,146.27,37.96,3.36,529.25,4.32,0.0,157.56,342.66,100.17,0.47,397.14,6.07,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,39.08,39.08,1714.53,1714.53,1753.61,82.12,123.84,143.99,186.81,136.54,102.7,570.05,2447.5,589.13,1.69,9.59,0.0,600.4,213.06,20.58,0.12,834.16,267.01,854.99,387.88,11.34,75.83,16.29,1613.34,2447.5,249.68,22.48,3.35,697.3,4.52,0.0,218.66,267.01,41.72,0.01,341.19,5.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,39.08,39.08,1738.08,1738.08,1777.16,72.8,74.06,179.92,158.16,87.34,55.41,480.82,2332.04,539.36,1.52,65.49,0.0,606.37,172.76,15.76,0.07,794.95,376.32,632.02,442.17,5.77,62.63,18.17,1537.08,2332.04,294.08,21.61,1.91,510.42,4.5,0.0,178.36,376.32,0.0,1.26,137.83,3.6,28.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,39.08,39.08,1812.78,1812.78,1851.86,84.03,85.83,126.82,210.84,93.2,34.19,465.05,2402.74,615.52,1.09,32.06,0.0,648.67,98.49,8.32,14.1,769.58,565.43,512.63,406.81,41.06,3.29,103.94,1633.16,2402.74,0.0,0.0,0.0,0.0,0.0,0.0,98.49,565.43,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,39.08,39.08,2562.71,2562.71,2601.79,94.5,94.54,155.29,394.82,218.62,30.9,799.63,3495.96,642.61,0.67,8.12,0.0,651.4,208.26,7.87,12.47,880.0,1032.84,669.94,758.82,31.12,3.56,119.68,2615.96,3495.96,302.55,344.11,0.0,0.0,758.87,0.0,208.26,1032.84,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,39.08,39.08,4614.34,4614.34,4653.42,113.59,113.6,359.59,572.76,209.78,34.05,1176.18,5943.2,606.19,1.12,16.77,0.0,624.08,574.9,8.11,10.09,1217.18,1991.47,1820.83,704.52,30.2,4.23,174.77,4726.02,5943.2,358.52,1754.71,0.0,0.0,2569.24,0.0,574.9,1991.47,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,39.08,39.08,3771.29,3771.29,3810.37,81.09,81.09,415.61,177.0,120.04,38.17,750.82,4642.28,576.41,0.86,34.68,0.0,611.95,587.04,3.38,15.64,1218.01,1411.7,1209.15,402.41,18.8,4.94,377.27,3424.27,4642.28,149.56,1160.3,0.0,0.0,1329.67,0.0,587.04,1411.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,39.08,39.08,3968.77,3968.77,4007.85,89.07,89.07,223.4,218.49,214.21,39.32,695.42,4792.34,567.1,0.59,79.51,0.0,647.2,837.72,3.08,38.17,1526.17,1676.55,823.42,361.57,51.31,1.74,351.58,3266.17,4792.34,146.17,307.77,0.0,0.0,714.09,0.0,837.72,1676.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,39.08,39.08,4447.86,4447.86,4486.94,110.07,110.07,343.74,417.8,274.92,34.86,1071.32,5668.33,533.78,0.37,142.0,0.0,676.15,812.0,1.07,146.59,1635.81,1503.35,1470.6,537.67,103.98,0.82,416.1,4032.52,5668.33,409.86,891.57,0.0,0.0,939.38,0.0,812.0,1503.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,39.08,39.08,4602.88,4602.88,4641.96,106.23,106.23,335.23,290.06,620.85,36.25,1282.39,6030.58,658.11,0.21,126.28,0.85,785.45,902.25,0.99,72.09,1760.78,1265.29,2189.91,522.8,70.97,0.84,219.99,4269.8,6030.58,432.34,995.36,0.0,0.0,794.04,0.0,902.25,1265.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,39.08,39.08,5307.28,5307.28,5346.36,138.23,138.23,95.65,149.88,630.76,40.15,916.44,6401.03,821.32,0.34,144.99,0.0,966.65,878.36,1.09,68.15,1914.25,2576.71,1221.0,539.43,45.59,1.05,103.0,4486.78,6401.03,304.33,372.31,0.0,0.0,951.97,0.0,878.36,2576.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
