Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2019-12-31,422.0,0.0,422.0,0.0,101.96,34.06,0.0,200.99,84.99,27.1,112.09,13.2,98.89,0.0,98.89,23.9,74.99,0.0,74.99,114.31,1.31,1.31,0.0,0.0,0.0,0.0,0.0
2020-03-31,351.0,0.0,351.0,0.0,101.96,32.52,40.68,139.92,35.92,16.48,52.4,11.29,41.11,-16.14,24.97,9.39,15.58,0.0,15.58,114.31,0.27,0.27,0.0,0.0,0.0,0.0,0.0
2020-06-30,28.47,0.0,28.47,0.0,87.3,30.93,4.97,61.6,-156.33,9.97,-146.36,11.08,-157.44,0.0,-157.44,-39.22,-118.22,0.0,-118.22,114.31,-2.07,-2.07,0.0,0.0,0.0,0.0,0.0
2020-09-30,60.44,0.0,60.44,0.0,76.53,30.9,10.41,68.67,-126.07,9.05,-117.02,12.19,-129.21,-20.29,-149.5,-34.24,-115.26,0.0,-115.26,114.31,-2.02,-2.02,0.0,0.0,0.0,0.0,0.0
2020-12-31,155.9,0.0,155.9,0.0,74.16,29.69,24.57,84.5,-57.02,11.6,-45.42,9.65,-55.07,0.0,-55.07,-13.54,-41.53,0.0,-41.53,125.07,-0.67,-0.67,0.0,0.0,0.0,0.0,0.0
2021-03-31,187.89,0.0,187.89,0.0,77.42,28.44,30.03,107.16,-55.16,10.32,-44.84,7.51,-52.35,-28.69,-81.04,-12.92,-68.12,0.0,-68.12,125.07,-1.09,-1.09,0.0,0.0,0.0,0.0,0.0
2021-06-30,79.33,0.0,79.33,14.07,82.04,28.53,0.0,80.36,-125.67,10.87,-114.8,7.75,-122.55,0.0,-122.55,-29.46,-93.09,0.0,-93.09,125.07,-1.49,-1.49,0.0,0.0,0.0,0.0,0.0
2021-09-30,201.6,0.0,201.6,30.53,83.09,28.43,0.0,100.39,-40.84,15.69,-25.15,8.45,-33.6,-27.37,-60.97,-10.58,-50.39,0.0,-50.39,125.07,-0.81,-0.81,0.0,0.0,0.0,0.0,0.0
2021-12-31,314.35,0.0,314.35,0.0,85.86,28.47,0.0,160.15,39.87,9.97,49.84,8.47,41.37,0.0,41.37,8.8,32.57,0.0,32.57,125.07,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2022-03-31,265.58,0.0,265.58,0.0,91.22,29.42,0.0,153.17,-8.23,13.37,5.14,9.12,-3.98,13.19,9.21,16.51,-7.3,0.0,-7.3,125.07,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0
