Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Loans And Advances,Short Term Loans And Advances,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Raw Materials,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,114.31,114.31,2310.02,2533.27,2647.59,103.52,192.46,2.07,15.08,313.13,136.44,74.48,168.88,72.23,452.03,3412.74,2067.65,0.43,45.68,0.0,0.0,2113.76,703.95,0.0,3148.9,0.0,39.75,170.12,16.46,0.42,263.84,3412.74,386.06,37.23,0.03,2.79,573.74,54.67,179.45,602.83,223.25,331.19,37.09,3.87,11.94,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,114.31,114.31,2321.89,2543.0,2657.32,64.01,190.32,4.87,16.62,275.82,103.88,76.45,178.52,75.22,434.06,3367.2,1946.34,0.37,78.84,6.91,0.0,2032.46,729.08,0.0,3076.13,0.0,39.09,188.67,23.67,0.26,291.07,3367.2,395.76,33.68,0.04,2.43,512.37,54.67,249.15,627.95,221.12,314.59,39.38,5.01,10.29,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,114.31,114.31,2354.8,2573.52,2687.84,27.18,191.98,21.92,0.0,241.08,184.85,118.77,124.81,0.0,428.43,3357.34,1674.51,8.46,104.52,0.0,0.0,1787.49,699.37,587.33,3074.18,0.0,41.52,186.03,9.56,46.05,283.16,3357.34,359.33,59.1,0.0,0.0,562.5,54.67,325.35,640.05,218.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,114.31,114.31,2445.19,2653.84,2768.16,151.94,174.12,2.8,21.0,349.85,115.97,129.51,100.6,15.07,361.15,3479.16,1559.11,8.85,313.44,0.0,0.0,1881.4,763.68,498.03,3143.11,0.0,41.33,169.21,9.8,115.71,336.05,3479.16,388.95,116.0,0.0,0.0,425.5,54.67,392.74,704.26,208.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,114.31,114.31,2701.55,2701.55,2815.87,253.72,176.15,3.31,23.8,456.98,139.97,160.78,187.67,21.08,509.5,3782.35,2012.07,8.73,134.08,0.0,0.0,2154.89,763.01,540.62,3458.51,0.0,42.8,203.69,7.86,69.48,323.84,3782.35,218.87,84.1,0.0,0.0,435.5,54.67,533.15,705.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,114.31,114.31,2740.78,2740.78,2855.09,209.86,159.92,10.69,24.4,404.87,224.66,195.81,155.37,16.16,592.0,3851.96,1931.42,7.34,63.9,0.0,110.69,2113.35,828.52,564.18,3506.06,0.0,50.36,224.92,9.1,61.52,345.9,3851.96,252.49,59.83,0.0,0.0,514.47,54.67,431.52,771.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,114.31,114.31,2804.92,2804.92,2919.23,183.21,123.64,123.86,24.41,455.13,186.53,170.44,163.37,19.12,539.46,3913.82,2211.29,7.85,112.93,0.0,108.48,2440.56,812.17,329.77,3582.5,0.0,52.27,190.66,8.51,79.88,331.32,3913.82,202.2,69.7,0.0,0.0,468.51,54.67,235.6,771.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,125.07,125.07,2800.59,2800.59,2925.66,214.59,23.55,126.49,21.75,386.38,17.03,152.2,158.1,17.96,345.3,3657.34,2104.45,6.76,152.45,0.0,105.88,2369.53,765.74,333.11,3468.39,9.93,43.45,72.42,6.98,56.16,188.95,3657.34,196.26,16.77,0.0,0.0,37.84,59.82,263.2,771.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,125.07,125.07,2683.16,2683.16,2808.23,164.74,6.96,126.1,20.14,317.94,168.77,140.9,169.99,17.52,497.18,3623.35,2117.96,4.89,42.05,0.72,103.27,2268.89,709.89,313.7,3292.47,8.94,41.35,105.21,55.74,119.64,330.87,3623.35,196.42,6.3,0.0,0.0,123.13,59.82,489.3,652.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,125.07,125.07,2993.08,2993.08,3118.16,35.99,122.93,160.62,22.62,342.16,20.56,201.63,146.34,24.44,392.97,3853.28,2119.97,4.04,85.99,0.16,100.66,2310.81,709.9,322.92,3343.63,7.71,55.76,210.38,179.32,56.48,509.65,3853.28,110.91,40.6,0.0,0.0,537.96,59.82,464.26,652.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,125.07,125.07,3443.51,3443.51,3568.58,0.0,110.14,170.87,24.25,305.26,0.0,231.84,131.92,95.06,458.82,4332.66,2148.77,2.28,156.68,0.09,98.05,2405.86,684.1,339.79,3429.75,6.76,57.37,187.51,564.7,86.57,902.91,4332.66,141.6,40.5,0.0,0.0,596.51,59.82,848.36,652.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
